cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,191.07659600212386,362139,46759,39432192,29958368,0.6355954617067894,0.17782201106460058,1,1024,0,1,1,554.87730645,0.8079671171162721,0.05356762764414292,913.5403086635513
1024,128,931.4312675593831,421919,71834,32481280,29911648,0.23741370757043295,0.1031984136143915,0.39439080652026753,1024,0,1,1,2316.3326668888894,0.9113593291323553,0.01031144141770109,913.5403086635513
1024,1536,116.45936001580608,286864,63066,60628992,48810232,0.5090770837346467,0.22306494634061497,1,1024,0,1,1,486.47170885,0.6463157436086228,0.12573479843489055,913.5403086635513
1024,2048,121.90454483264645,225602,51461,43233280,30639296,0.5159273378368215,0.26216701024134637,1,1024,0,1,1,432.18984055,0.639531179132043,0.14870617996445792,913.5403086635513
1024,256,449.5596286293939,292030,32074,32219136,29778216,0.3369309441453887,0.14836649396426219,0.656672436003402,1024,0,1,1,1391.1659125263157,0.9137944963737524,0.013572150413185824,913.5403086635513
1024,512,227.04851741334127,337393,64384,32481280,30026632,0.38884579079003645,0.06263393630560633,0.8265801773349425,1024,0,1,1,1105.2047142105264,0.9173925121294437,0.012431087308513417,913.5403086635513
128,1024,171.73292195337459,482977,54971,39694336,30833416,0.5602805602358382,0.12252827413373549,1,128,0,1,1,599.9458954499999,0.802296873022641,0.06718361794845884,913.5403086635513
128,128,809.6489967939395,278271,40969,32743424,29713832,0.2634083708201838,0.12457384697247374,0.470735627726615,128,0,1,1,1940.6653222222221,0.9120154618711938,0.008449909599243596,913.5403086635513
128,1536,159.92479164510053,301890,61873,43495424,31411344,0.5815554076224865,0.20017831812169876,1,128,0,1,1,494.26148680000006,0.6473840019903088,0.11011742679430854,913.5403086635513
128,2048,161.2870540970641,310167,65648,51097600,29997128,0.5796746238972336,0.24163961499755074,1,128,0,1,1,473.780711,0.6852770652695738,0.12148672099421422,913.5403086635513
128,256,324.8553051762332,471497,65359,32481280,29974912,0.2758605264631937,0.049292827254796306,0.5349589016045373,128,0,1,1,1707.6831620588234,0.9146151952146032,0.012709037872650803,913.5403086635513
128,512,230.32432338620129,426841,38878,32743424,29696104,0.4160337367464929,0.06796208647315503,0.8817803521832607,128,0,1,1,1036.0179906500002,0.9066265339318262,0.010717300702158983,913.5403086635513
1536,1024,188.02042826822054,432004,75210,39432192,29759016,0.6091896769901421,0.1310535728835241,1,1536,0,1,1,539.11160625,0.8002647875355654,0.0861588807582112,913.5403086635513
1536,128,243.809817318897,375968,90530,32481280,29943584,0.35571369686138854,0.09060660008761452,0.6766477203407779,1536,0,1,1,1350.0973715,0.9178026160922295,0.009665371935113756,913.5403086635513
1536,1536,132.2020939264316,434210,62828,48476160,30478632,0.6597662078949131,0.24111808481040242,1,1536,0,1,1,395.490232,0.6686408917891113,0.11590234269856778,913.5403086635513
1536,2048,130.9055117311934,257586,50213,49000448,31061528,0.6103502397147561,0.2367548520876968,1,1536,0,1,1,400.42695949999995,0.6779778358889467,0.11285832875883527,913.5403086635513
1536,256,491.68167024365806,349331,23168,32743424,30199624,0.33879353835774056,0.12861822817224594,0.6348127250866118,1536,0,1,1,1439.0705676842108,0.9056064553956794,0.04121476430086035,913.5403086635513
1536,512,207.94714192982747,442710,67360,32481280,29622656,0.3840063872601178,0.05519778766066019,0.8521106590943907,1536,0,1,1,1072.09116435,0.9090225026308179,0.013504325337326536,913.5403086635513
2048,1024,150.17579421423395,419763,91286,39432192,29678344,0.6461394322669505,0.16721028878202143,1,2048,0,1,1,558.47079265,0.7547159573701702,0.07673917941700041,913.5403086635513
2048,128,618.4967361047512,330713,93422,31956992,29677800,0.23426291569998897,0.09318321600697574,0.43812131176146335,2048,0,1,1,2085.130953777778,0.9087049463414956,0.00889126519210363,913.5403086635513
2048,1536,160.97492013292216,289773,49562,60104704,48311088,0.5627596444268801,0.23204606329272306,1,2048,0,1,1,505.61225064999996,0.7072528435327066,0.08726026043306946,913.5403086635513
2048,2048,111.88663785638714,250749,32558,44544000,30569448,0.576086977218637,0.1903704883578559,1,2048,0,1,1,450.9456246,0.6634284140860109,0.11953359614658944,913.5403086635513
2048,256,483.3585485534737,408054,71114,32481280,29496432,0.43353697167935457,0.2344388469197051,0.766829873298774,2048,0,1,1,1191.3207094210527,0.915625937675105,0.010886096398153713,913.5403086635513
2048,512,267.61886469703944,429284,75859,32743424,29650360,0.4429185035680562,0.11842799561684243,0.935671767243148,2048,0,1,1,976.3469847499998,0.9146388951752801,0.009530572509410284,913.5403086635513
256,1024,149.73317413212183,355374,55789,39694336,30568264,0.5756084354408835,0.15875831033673482,1,256,0,1,1,528.1277852000001,0.7738879999750841,0.06015134030878796,913.5403086635513
256,128,1079.363719729813,342165,57727,32219136,29861496,0.2661929473863667,0.1448331306387636,0.43402656608519763,256,0,1,1,2104.802747222222,0.9171203792921894,0.01277526501259327,913.5403086635513
