cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,141.41653425379644,44904,11327,31285248,21574752,0.28346559504490665,0.1080292316935699,1,1024,0,1,1,360.47924945,0.7521047239639506,0.04655211753937242,481.9934361271188
1024,128,289.20607019841077,98824,31300,27320320,23184800,0.23412424206819724,0.07708559888707191,0.7072941660730194,1024,0,1,1,681.461065631579,0.8911712752066523,0.019096374207013985,481.9934361271188
1024,1536,169.33913925211397,173647,35679,66871296,47015232,0.346034657770681,0.22300304848945462,1,1024,0,1,1,407.23743104999994,0.6791193448224347,0.057899980478667464,481.9934361271188
1024,2048,136.23741465599915,119468,32054,66871296,47135824,0.3127525204123086,0.14765588981757335,1,1024,0,1,1,365.7194419500001,0.66588821252328,0.040877283217259246,481.9934361271188
1024,256,346.2522409996025,197887,60436,37212160,33434576,0.22133629244562575,0.09649147946393916,0.6755885669469514,1024,0,1,1,713.4422631,0.8804585200958023,0.03407350256298628,481.9934361271188
1024,512,196.02519840452436,178210,54047,37212160,32971200,0.2695891647167087,0.11391686524961962,0.9032315645037432,1024,0,1,1,533.6321881,0.8815769727399818,0.03661412153414866,481.9934361271188
128,1024,134.49894265174748,48933,20100,40804352,29991488,0.33717417924274506,0.17726673699024922,1,128,0,1,1,394.37599115,0.7616453746785127,0.041477182704739705,481.9934361271188
128,128,396.7875713526461,83152,12781,41533440,37922440,0.2237115562291774,0.1298588202579135,0.7154569924183616,128,0,1,1,673.6861072500001,0.8732987412885045,0.0455236176595287,481.9934361271188
128,1536,155.10332641307073,71499,32911,54386688,34651240,0.2626157995034287,0.1960294815881129,1,128,0,1,1,419.2540033,0.6571582193754306,0.04053196487207439,481.9934361271188
128,2048,139.93004039591136,68062,24181,54386688,34668992,0.2488609772107302,0.14523805837483417,1,128,0,1,1,351.22598955,0.6546326383426793,0.037634277750361746,481.9934361271188
128,256,198.68731864915804,188973,43224,18841600,14271536,0.19891769356881825,0.09739253325597418,0.771093383789037,128,0,1,1,625.077904,0.8675352255507998,0.05195803816037474,481.9934361271188
128,512,220.75744515030604,27892,17853,31752192,28232120,0.29299680184591137,0.08148410634693509,0.8323734894419221,128,0,1,1,579.0590909499999,0.8880201514175511,0.035980692243798656,481.9934361271188
1536,1024,127.30609276438378,39143,15802,38658048,30016712,0.3424395601097608,0.18695283714851538,1,1536,0,1,1,392.22797545,0.7859794974783731,0.035628213717016015,481.9934361271188
1536,128,187.20622249582274,100426,23758,27582464,23185752,0.2918066811772682,0.12506124967412827,1,1536,0,1,1,475.1419747222222,0.8776884241841743,0.03553170300425665,481.9934361271188
1536,1536,117.21530793647604,73688,35429,52043776,34060808,0.2844453808270365,0.13658656047021167,1,1536,0,1,1,406.59089574999996,0.6680213904473324,0.043658725328627614,481.9934361271188
1536,2048,167.52037001873757,31518,10892,44306432,27333360,0.2983709469262277,0.13857919632445367,1,1536,0,1,1,347.87217590000006,0.6686848439123523,0.05226970316749318,481.9934361271188
1536,256,280.39121252831507,97230,36134,27058176,23429416,0.22585081574473417,0.111841171778765,0.7016236988991821,1536,0,1,1,686.9685800000002,0.8797981040187555,0.03751799716068368,481.9934361271188
1536,512,190.82837483425354,38328,7421,31752192,28230528,0.3042699773005127,0.09016046224147002,0.8862092051461876,1536,0,1,1,543.88222705,0.8691946262210184,0.05221053401988442,481.9934361271188
2048,1024,125.44225845893266,91652,41264,50335744,38994416,0.30527876873614235,0.15148639376190431,1,2048,0,1,1,437.2454536,0.777675698390746,0.034915411049533183,481.9934361271188
