cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,848.6326220909077,1731829,125497,43175936,37135752,0.5896813907647517,0.3249677905090256,1,1024,0,1,1,829.8147553499999,0.8409297731672719,0.04470334735940057,3111.0819149152535
1024,128,1517.4617332102584,1901030,222413,36487168,32400976,0.3098628590983316,0.05439804112181815,0.4193283307231514,1024,0,1,1,7419.20277494737,0.9202925798244709,0.015714885153374658,3111.0819149152535
1024,1536,591.4032261510325,1926662,173732,53268480,40148560,0.5038814879467414,0.3019022095942137,1,1024,0,1,1,623.9926131499999,0.7310434544367899,0.06171436122486844,3111.0819149152535
1024,2048,358.16946159308617,1635875,146976,53268480,40462664,0.5017452135434836,0.28885369041318976,1,1024,0,1,1,515.6309798,0.7676709040690524,0.0660465590403365,3111.0819149152535
1024,256,2981.4686140485055,2128607,152038,37273600,34699736,0.26896120063450646,0.060288308791971404,0.5104649435012498,1024,0,1,1,6094.604447421052,0.9138074407977662,0.02209501639017923,3111.0819149152535
1024,512,1902.6622920966572,1893496,190374,36225024,33444816,0.39991780097994445,0.08064119255018765,1,1024,0,1,1,2424.3688142,0.9159509243751174,0.011963284268826417,3111.0819149152535
128,1024,686.3824019001936,1731935,148171,43175936,36215224,0.5335302347095727,0.2858698493214616,1,128,0,1,1,825.2241130000002,0.834275372228466,0.03556051280416609,3111.0819149152535
128,128,3534.829090325336,2128511,370820,36225024,33289616,0.18133630927749048,0.03953576280816159,0.22716392497177038,128,0,1,1,13695.316786333336,0.9219674067801661,0.013466032733536136,3111.0819149152535
128,1536,539.5315275424132,1871828,151677,51695616,41199400,0.4472027732469005,0.29001856789831354,1,128,0,1,1,745.6141730999999,0.7476080547071761,0.0473622958069237,3111.0819149152535
128,2048,368.95165819718835,1620017,168630,70664192,57053880,0.486040356408944,0.2595877884024995,1,128,0,1,1,538.20094495,0.7762040492729948,0.050254479252289694,3111.0819149152535
128,256,2910.4254270717533,1965248,152056,35700736,32761080,0.22392358061857318,0.025442885418071375,0.3776944834970935,128,0,1,1,8237.032974666665,0.9260572728177017,0.009573630656860095,3111.0819149152535
128,512,1529.0663730522192,1898329,185587,35438592,32948928,0.4043292549525448,0.1092212901474789,1,128,0,1,1,2049.369454473684,0.9172450443630897,0.013924585092651922,3111.0819149152535
1536,1024,681.3036463751373,1799814,162565,43175936,34400912,0.5503392951124368,0.31746883182929636,1,1536,0,1,1,872.7461903000001,0.8268186772086399,0.025023789881283304,3111.0819149152535
1536,128,2033.6154256249736,1975998,202076,36749312,34179968,0.189828015792878,0.01858683849064569,0.24377636546508824,1536,0,1,1,12762.032566117647,0.9220677563445285,0.013681070691894585,3111.0819149152535
1536,1536,505.63317032908895,1778686,131132,53530624,43139184,0.5282144104891201,0.31870400550179734,1,1536,0,1,1,651.0752689,0.7528885377564075,0.06292824035175744,3111.0819149152535
1536,2048,374.4568114550633,1383474,119515,53006336,39396944,0.48663452817357833,0.2627899255016987,1,1536,0,1,1,448.9564257999999,0.7478327694670135,0.0496057813483206,3111.0819149152535
1536,256,3182.783565227246,2298508,193126,36487168,32798104,0.27407807013159796,0.08501280510944233,0.45410259001926145,1536,0,1,1,6851.055209315789,0.916885975473883,0.017327064719011524,3111.0819149152535
1536,512,2059.4591168085517,2029479,150332,36487168,32864016,0.4141372459188052,0.07847877414534521,1,1536,0,1,1,2493.33076385,0.910978159430017,0.015986084826865466,3111.0819149152535
2048,1024,779.026808286109,1645133,160917,42389504,36390656,0.5635674413048617,0.21879889544476727,1,2048,0,1,1,822.7212672500002,0.8199992641223321,0.03443273095363606,3111.0819149152535
2048,128,2549.41208162468,1953937,231487,36749312,33898552,0.2186724070739151,0.029782687599922322,0.2830418072167351,2048,0,1,1,10991.598539833334,0.915448096631831,0.011674167098024432,3111.0819149152535
2048,1536,518.3346770434126,1780905,181360,51957760,37023056,0.5699226732906836,0.30984520633310864,1,2048,0,1,1,591.1902418000001,0.7424462999143403,0.05361173571025942,3111.0819149152535
2048,2048,329.4573638722271,1406667,113764,51171328,41235328,0.42899065592208097,0.2976660148673671,1,2048,0,1,1,522.2730254,0.7578799598565581,0.049925510221837936,3111.0819149152535
2048,256,2081.9262154914245,1894611,210001,35962880,32174304,0.4065348700667494,0.12525784106722607,0.6898100618442532,2048,0,1,1,4510.05586465,0.9175781609132967,0.013441023386932474,3111.0819149152535
2048,512,1496.4616492042976,2191370,166911,36225024,32726208,0.4461597560448861,0.1277121742492515,1,2048,0,1,1,2016.7042130499995,0.9115171815120563,0.01946148495475876,3111.0819149152535
256,1024,757.7982255383868,1861089,150485,43175936,37463232,0.5611901002723433,0.3095200413783928,1,256,0,1,1,846.9718753000001,0.8390693638259362,0.03090298510462502,3111.0819149152535
256,128,1520.426348397762,2254932,213254,36225024,33423968,0.21319785734473398,0.020618425261821557,0.28480874777408244,256,0,1,1,10923.407160874998,0.926233536438007,0.009983744854186556,3111.0819149152535
256,1536,376.90288868115175,1548618,119980,52219904,38147328,0.5487640501906464,0.31824301297713353,1,256,0,1,1,504.21432539999995,0.7553428205050592,0.042449251560319576,3111.0819149152535
256,2048,232.51152341763708,1266013,143561,51171328,41064136,0.4876772890411469,0.28248288421906154,1,256,0,1,1,354.02649875,0.7836473829866251,0.06248249095467556,3111.0819149152535
256,256,4401.455098805125,2273280,242316,37535744,34961472,0.24172334017617134,0.07095598741329609,0.35837585474251665,256,0,1,1,8681.058932250002,0.9231994350955139,0.013720615415007551,3111.0819149152535
256,512,1805.1004946124779,1715152,181523,36487168,34032888,0.40478180065458635,0.08122968134164349,1,256,0,1,1,2412.8728762000005,0.9141900285915598,0.017403340808641626,3111.0819149152535
512,1024,793.877691452469,1550505,153237,42913792,34217736,0.506233169295801,0.23424431530708711,1,512,0,1,1,862.9164972499999,0.828659617209985,0.027874129870188433,3111.0819149152535
512,128,2388.808624559655,2122365,202914,36487168,33323672,0.18913865299440197,0.037561875832244455,0.24376701680343382,512,0,1,1,12762.522000357143,0.926525694054531,0.01309630049253171,3111.0819149152535
512,1536,418.90178097915543,1541885,133999,53006336,41354936,0.5779587944073552,0.3495322696726505,1,512,0,1,1,498.5755776500002,0.746070076693677,0.055629059562224616,3111.0819149152535
512,2048,246.8455038625789,1327216,133973,53006336,39871984,0.38879646193408796,0.2878144088739774,1,512,0,1,1,405.04120625,0.736427505206587,0.04995328726361796,3111.0819149152535
512,256,3396.473623701005,2166823,191106,37011456,33751960,0.2534167896562594,0.02919873241787648,0.454412974741357,512,0,1,1,6846.375627117647,0.9164638660254574,0.016307736528447494,3111.0819149152535
512,512,1818.5556419237978,161091,25805,41369600,36293120,0.3915374863739084,0.06709712483249604,1,512,0,1,1,2481.0284314,0.9158271735779347,0.017729163238844013,3111.0819149152535
