cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,158.39972622430696,116509,15520,25792512,14482368,0.3712331954571971,0.18910010871814406,1,1024,0,1,1,430.04012359999996,0.6888993264334593,0.09715369598481653,533.9878955749999
1024,128,253.68407882995362,120512,27897,22958080,19129848,0.24542913194483637,0.10758772521971066,0.7444026958359562,1024,0,1,1,717.3374015999999,0.8507934478813232,0.03558211292794438,533.9878955749999
1024,1536,147.92378797653691,109117,38356,34574336,15040008,0.3437171978254604,0.16371417430412402,1,1024,0,1,1,414.76997550000004,0.5094962955740704,0.0991122366090626,533.9878955749999
1024,2048,132.73089234912158,100792,34258,34574336,14818032,0.3075998523668391,0.20893378621603448,1,1024,0,1,1,373.00198965,0.5608152081990063,0.1009118336279084,533.9878955749999
1024,256,276.4903116194718,213017,32556,37212160,33462720,0.1978345162131288,0.09572799213008876,0.7711157357240817,1024,0,1,1,692.48735415,0.8671895963617853,0.04093661155644278,533.9878955749999
1024,512,245.2818327094752,140139,31582,36851712,32480416,0.28072330027024284,0.10749284975936928,0.9265949529795754,1024,0,1,1,576.2905289500001,0.8488302202159795,0.04720008423453448,533.9878955749999
128,1024,117.15370350644581,178364,52788,25530368,14430912,0.32845094794790064,0.13953174001759175,1,128,0,1,1,459.9493659000001,0.6388238992570753,0.06487629849803178,533.9878955749999
128,128,302.9363056325374,36866,19538,32276480,28875840,0.21604529945141757,0.11954625043045315,0.7129177929506635,128,0,1,1,749.0174896111112,0.8816647020981736,0.027464087675679316,533.9878955749999
128,1536,150.23734883159466,121607,42154,45912064,26601488,0.34876285785350236,0.20101415460189587,1,128,0,1,1,487.37386019999997,0.5892584913592473,0.12579291189477673,533.9878955749999
128,2048,139.35136785220803,37634,20926,42467328,27731632,0.3225052166052161,0.17315361861856418,1,128,0,1,1,365.98238965,0.5651538866550292,0.1079890933360725,533.9878955749999
128,256,254.218073146424,104085,33470,23482368,19113832,0.19219294227689104,0.06532175915888545,0.6998983340416198,128,0,1,1,762.9506595499998,0.8552017935635361,0.04106809238859703,533.9878955749999
128,512,212.1472144198675,197831,55633,37736448,33409552,0.2959222758677701,0.1003542452912838,0.8490252398784416,128,0,1,1,628.94230995,0.8458190023262144,0.04736353478399662,533.9878955749999
1536,1024,158.06894835848271,181283,54165,26054656,14803480,0.3642022535438476,0.21610217523284236,1,1536,0,1,1,445.16649195,0.6611579507294842,0.07879697314195161,533.9878955749999
1536,128,378.059714536106,53771,12806,32276480,28864840,0.2241604148951149,0.11412735280777205,0.7306806616265944,1536,0,1,1,730.8088521,0.8506429071411654,0.05480702360774167,533.9878955749999
1536,1536,126.67266045286827,113392,31572,34836480,14994224,0.33112314835635226,0.1717946467938066,1,1536,0,1,1,422.51905320000003,0.49772589458927935,0.08221689946355767,533.9878955749999
1536,2048,153.9149660597703,123710,57081,64806912,45231440,0.38796052425334715,0.18789584629952222,1,1536,0,1,1,332.94178370000003,0.5692016166044569,0.12317782371122392,533.9878955749999
1536,256,334.0920672837567,114211,62367,31686656,28181304,0.2210023097644422,0.09203418606056006,0.6433579115151078,1536,0,1,1,830.0012885789474,0.8584035581768091,0.04009206672538486,533.9878955749999
1536,512,144.97470843917225,206878,41570,29016064,24995800,0.2404032590514667,0.08402091007548566,0.7608479049207016,1536,0,1,1,701.8326423999999,0.831992479835584,0.04567923926449785,533.9878955749999
2048,1024,153.34993197932752,135720,20631,25792512,14758040,0.4311776256752192,0.19875017880969248,1,2048,0,1,1,406.33388794999996,0.6223752632554223,0.06189241894260499,533.9878955749999
2048,128,162.80849098975838,46735,16299,32460800,29013440,0.2139781489315064,0.11865674160087307,0.8563729612524995,2048,0,1,1,623.5459545499999,0.8551612659811095,0.04778574737211682,533.9878955749999
2048,1536,147.34601706717828,96291,35097,34836480,14719432,0.31381355827520047,0.09560507350487352,1,2048,0,1,1,423.5334439,0.5142976246868403,0.09839147067845415,533.9878955749999
2048,2048,138.43595271704396,30366,19370,42729472,27747376,0.371329216557855,0.19304118132416478,1,2048,0,1,1,324.14505354999994,0.604645318040404,0.11481372453954158,533.9878955749999
2048,256,260.1647854162708,112634,24201,27320320,23549544,0.2572511399924339,0.16474848825327346,0.7584003466448195,2048,0,1,1,704.09764175,0.8463563852485573,0.04942430877881592,533.9878955749999
2048,512,228.81538447585726,121952,18034,18841600,14664672,0.2861933947811742,0.13167585943607268,0.929985553275203,2048,0,1,1,574.1894524,0.8484131184771959,0.0447688294279163,533.9878955749999
256,1024,157.46808624476662,109413,25949,25792512,14485048,0.34255729845621713,0.18226768617966285,1,256,0,1,1,452.01240925,0.6804639240973309,0.0878939372999889,533.9878955749999
256,128,406.6330866018815,41599,14370,32014336,28837160,0.26060680291667715,0.12847681122374388,0.7311032112666773,256,0,1,1,730.3864725882354,0.8307086211531914,0.05301646534505335,533.9878955749999
256,1536,132.88797489427787,90212,26277,34574336,14696520,0.47904132446473113,0.2156187418416707,1,256,0,1,1,336.59266285,0.5276656537933612,0.10942230000084864,533.9878955749999
256,2048,153.48896950550616,136589,52047,60166144,42882912,0.31296601775934524,0.16976308363519657,1,256,0,1,1,414.14396605,0.5631829339051759,0.10889325021586253,533.9878955749999
256,256,399.363440956485,100272,36691,18841600,14719584,0.18267831011796498,0.05513189928845341,0.5886412096616829,256,0,1,1,907.1534354210529,0.8476215476532362,0.047215235110157405,533.9878955749999
256,512,204.04502303857353,151121,31397,18579456,14695744,0.2818873307295716,0.09732641234201697,0.9596543931861673,256,0,1,1,556.4377127499998,0.8464329283380781,0.048434472052021914,533.9878955749999
512,1024,110.77573024426897,42197,14638,31285248,21822136,0.39904873414805425,0.16939391564649994,1,512,0,1,1,398.8389351,0.6857780988094688,0.09100289027327224,533.9878955749999
512,128,180.04279807851196,47858,14030,32276480,28881760,0.265752444488501,0.1029464736069996,1,512,0,1,1,513.4631484499998,0.8641886539121442,0.043526215582455056,533.9878955749999
512,1536,116.84682239810004,103353,36267,34574336,14856528,0.34206217645052456,0.22966987531257413,1,512,0,1,1,378.0833744,0.5503445910769778,0.11162697847643999,533.9878955749999
