cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,83.79782362083215,233230,34784,60145664,48778160,0.9809251564234313,0.1314533349231975,1,1024,0,1,1,261.48489770000003,0.7649177504002734,0.06614265342370873,276.854340475
1024,128,117.11895311352372,248355,38678,24072192,20681856,0.7107253149606994,0.08990641944223542,0.6192770222351758,1024,0,1,1,447.0605731111111,0.8780664097117554,0.023640251232454574,276.854340475
1024,1536,75.31889904138298,108315,37291,56463360,36882056,0.9441518396307549,0.11178541022401314,1,1024,0,1,1,249.22823215,0.6809829937383547,0.061978352247236,276.854340475
1024,2048,61.214856887137344,154816,43065,69431296,49778432,1.1168662632797999,0.12309205348196973,1,1024,0,1,1,200.11404250000004,0.6867648561864585,0.06274167235582694,276.854340475
1024,256,104.48973956271605,223378,38352,32210944,28061456,0.9602624606744242,0.1606894918967613,0.7433598197002543,1024,0,1,1,372.4365147777778,0.8736576084206689,0.024325002935143045,276.854340475
1024,512,74.93487820394495,226614,28413,34377728,29597008,1.0314204986794695,0.10648584615855249,0.9335501121796385,1024,0,1,1,296.5607704,0.8793965672952693,0.021018973825459718,276.854340475
128,1024,87.78676121698078,294192,45380,59133952,47721944,0.9454680682316919,0.12018679937820123,0.9720765584055018,128,0,1,1,284.8071359,0.7858219322259965,0.03724213490551719,276.854340475
128,128,113.01586565559168,328498,77296,49074176,45282696,0.7556457007701091,0.13117682572615832,0.6981279304252411,128,0,1,1,396.56677295000003,0.8871113488757197,0.021694438367879425,276.854340475
128,1536,51.9786196503144,189247,15790,40329216,21276248,1.0572935203414526,0.11310870656629383,1,128,0,1,1,203.40321369999998,0.6666384620265255,0.05855644838567259,276.854340475
128,2048,50.035198673302105,236722,82311,86171648,65897416,1.188857562478544,0.13551878765280817,1,128,0,1,1,152.98863615,0.6688743529771544,0.06059110954212692,276.854340475
128,256,91.79040770004464,312162,73688,47017984,42043632,0.9972685287588672,0.1150455266594602,0.8531696896883662,128,0,1,1,324.50090975,0.8883906572269733,0.01940483640347242,276.854340475
128,512,65.24924881700329,246444,43904,32210944,27739368,1.0584149984837246,0.13356099793127846,0.9263699391421869,128,0,1,1,298.8593744,0.8759222575734684,0.03023671161373174,276.854340475
1536,1024,68.36893403685643,155776,50449,46895104,37232848,0.970914791291665,0.13470897694131634,1,1536,0,1,1,258.8757808,0.7627162025879979,0.056373255998436296,276.854340475
1536,128,109.4964351004658,357399,34537,36589568,32949200,0.8005673825070897,0.1232686298130505,0.7082327030531603,1536,0,1,1,390.90872149999996,0.8689893348756206,0.03182293129464596,276.854340475
1536,1536,54.18674597046046,171330,47897,62971904,43813888,1.1107743591794335,0.10092179905045584,1,1536,0,1,1,176.32421374999998,0.675807718822294,0.04993023274301863,276.854340475
1536,2048,48.837898086527474,191871,65949,64679936,44412104,1.221327696986506,0.15419358903110536,1,1536,0,1,1,150.15679219999998,0.672117583408471,0.058179064008956304,276.854340475
1536,256,96.70573345295814,74696,8435,37892096,33426104,1.1333027502805533,0.12393922521828121,1,1536,0,1,1,247.40379395,0.8748686692058261,0.028057786112978086,276.854340475
1536,512,97.22335719235811,274350,42020,36450304,32334944,1.0103819752409158,0.1360559336098355,0.9751023896489724,1536,0,1,1,283.9233535000001,0.8798000706555766,0.03148805273165259,276.854340475
2048,1024,90.98523692733009,232028,60081,44646400,36664992,0.9338129192091008,0.1266973551927564,1,2048,0,1,1,265.3625059,0.754397937623545,0.06434054676243578,276.854340475
2048,128,119.89434839438844,349575,53247,37474304,33139808,0.7691790932919211,0.08982413587871106,0.6368870637511893,2048,0,1,1,434.6992681,0.8640581986408735,0.04697658398490658,276.854340475
2048,1536,72.34634518012139,55953,24233,46604288,29252344,1.0156323399770115,0.09156773435781237,1,2048,0,1,1,187.95698955000003,0.6743879164178189,0.06203128492765523,276.854340475
2048,2048,31.88680098972383,171727,33724,58855424,38837488,1.256297957074501,0.17370570021409232,1,2048,0,1,1,129.9372764,0.6613342582276134,0.06389830719698195,276.854340475
2048,256,116.37751855314475,160609,45830,32473088,27799112,0.9546327061027042,0.09834987465534303,0.9529155247126077,2048,0,1,1,290.5339805,0.8745021924699049,0.018928957512925323,276.854340475
2048,512,86.7580833325176,127604,21332,30937088,27071208,1.0587162475409337,0.10814129657918348,0.9312970972512584,2048,0,1,1,297.2782169,0.8763849268827576,0.023776663059435557,276.854340475
