cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,162.04226881321176,410684,52509,39694336,30046096,0.6266650484467082,0.18639609333298843,1,1024,0,1,1,544.4191271,0.7280086364387147,0.09590133143658404,555.8760089152541
1024,128,325.57095011203455,291140,37587,33005568,29963888,0.5827843995551699,0.17726923995436608,0.7599969919125337,1024,0,1,1,731.4186961666668,0.9096054723860275,0.011574054621415418,555.8760089152541
1024,1536,178.74797352212207,274740,23469,50835456,29860088,0.6583587789411756,0.22299168232086336,1,1024,0,1,1,511.2645581,0.5595165289338679,0.10575518118512522,555.8760089152541
1024,2048,124.2699456152548,264622,26717,49786880,29914736,0.7032009851402397,0.3051008015576379,1,1024,0,1,1,398.6921594000001,0.6127121688147625,0.13195770779369542,555.8760089152541
1024,256,161.03149227238845,460761,75545,32481280,30286152,0.6034542390096157,0.1307574429294587,0.8045653567217247,1024,0,1,1,690.90224215,0.9017526517752545,0.05184776817015457,555.8760089152541
1024,512,226.8979969216688,299995,32795,33005568,29663640,0.6207745320816682,0.16341642105683118,0.8322032007534773,1024,0,1,1,667.9570667500001,0.919820063077671,0.015509846099394806,555.8760089152541
128,1024,179.7788003312574,363002,61595,39432192,30655648,0.6790923904242898,0.3117977296435523,1,128,0,1,1,526.8424355499999,0.7480738885794327,0.08320517421109504,555.8760089152541
128,128,269.6243444339915,457149,72448,32743424,29687280,0.6226844621778262,0.2221552824202946,0.889146384476522,128,0,1,1,625.1794064736841,0.8764515214706229,0.08617018365403908,555.8760089152541
128,1536,145.34029962916753,327492,44164,49000448,29941520,0.6139609232280854,0.24113291958054248,1,128,0,1,1,451.3535429500001,0.6253383110294813,0.11708478595483061,555.8760089152541
128,2048,154.1941948515006,306390,63442,65871872,47732096,0.5844431793707977,0.3303681889617788,1,128,0,1,1,476.6201261,0.6273609617697941,0.11672675725717492,555.8760089152541
128,256,169.37842417185067,242578,58842,32743424,29696472,0.7123629732788581,0.2391887696653374,1,128,0,1,1,510.07250139999996,0.8847284267296105,0.0806264124960224,555.8760089152541
128,512,172.31002896837427,415805,62782,32481280,29570520,0.7020709090715676,0.2288953772420952,0.9870667392338541,128,0,1,1,563.15949755,0.9052993953999863,0.04200777595169187,555.8760089152541
