cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,147.38814421971583,424118,27120,39694336,29945360,0.8249056013848701,0.1375704548750484,1,1024,0,1,1,401.96448085,0.8079065673144848,0.08445399508353547,577.9028779038462
1024,128,429.46799059291106,492186,151006,32481280,29720360,0.37756976766036465,0.11686526668551114,0.40992913806641273,1024,0,1,1,1409.7628693333334,0.9177870557844662,0.009623373942486373,577.9028779038462
1024,1536,50.51576142725739,262534,29285,36147200,15718768,1.3658403365320373,0.20659424255236816,1,1024,0,1,1,189.12342950000001,0.6828852040190638,0.10322315921914313,577.9028779038462
1024,2048,38.323494630549824,315564,60080,42971136,31266512,1.5890949831821253,0.2036224706244073,1,1024,0,1,1,123.49480229999998,0.6857705893254231,0.10708118490506663,577.9028779038462
1024,256,356.9560140312739,375003,57361,33005568,29790312,0.42330739046538024,0.17326517668487762,0.5374021690581529,1024,0,1,1,1075.3638730500002,0.9185174725130226,0.021852727718901812,577.9028779038462
1024,512,272.9851327912318,313259,57988,20676608,15434336,0.5054154243864223,0.16300037487309402,0.7510480467357984,1024,0,1,1,769.4619277894736,0.9059985944371923,0.04452773033105795,577.9028779038462
128,1024,117.36363057119299,425814,64982,39694336,31145888,0.8028607592055078,0.09616042736878473,1,128,0,1,1,411.7819522500001,0.7988528399362161,0.0908797518509364,577.9028779038462
128,128,801.6708188998311,418283,81786,31956992,30073080,0.35706555595514156,0.17339633363376575,0.341997820979722,128,0,1,1,1689.7852630999998,0.9072243781029556,0.051152550578577934,577.9028779038462
128,1536,97.25902853424559,262429,46024,44281856,30827272,0.951841103120975,0.14999873711344164,1,128,0,1,1,271.63945499999994,0.7119121984458896,0.06554426248153658,577.9028779038462
128,2048,57.92204005160722,271202,57875,44544000,31974920,1.2547147173997022,0.15247566733393547,1,128,0,1,1,175.9978862,0.721886820509485,0.09579911654416326,577.9028779038462
128,256,551.9819977204235,394689,57037,32481280,30029928,0.26676409036278564,0.06592973555514858,0.3040787619174388,128,0,1,1,1900.5039163529416,0.911085626340666,0.044438989770870976,577.9028779038462
128,512,263.14264856518963,321152,74008,32743424,29861392,0.45854263000636375,0.14915540002929423,0.6363184164033807,128,0,1,1,908.1976303157895,0.9196249435195566,0.010320518613715609,577.9028779038462
1536,1024,95.64407567517027,415823,27411,39170048,30372272,0.8217380716833931,0.09575705921542431,1,1536,0,1,1,375.9226267,0.8241531901694653,0.05352875891801779,577.9028779038462
1536,128,582.9728826767102,347485,103325,32481280,30079496,0.4695497209031829,0.18461446080393856,0.47253788598614244,1536,0,1,1,1222.9768131666667,0.9178824975654809,0.008727172992225467,577.9028779038462
1536,1536,92.37575087963002,260343,51227,35622912,15748176,1.0571963374334241,0.1400572104041403,1,1536,0,1,1,250.75672275000002,0.6938969800058359,0.10709225982662102,577.9028779038462
1536,2048,60.91808007437829,293377,57675,42971136,30895416,1.2860816411893399,0.19468427819527384,1,1536,0,1,1,189.2372772,0.706785207294107,0.08127901619411104,577.9028779038462
1536,256,337.9609738225152,314125,45251,32481280,30208016,0.4903572104064449,0.1797944471126518,0.578733148605889,1536,0,1,1,998.5653652222222,0.9219253968088515,0.009825989682003143,577.9028779038462
1536,512,297.53437866606293,392440,38504,32743424,29821488,0.4826616816775138,0.1786196888198413,0.6257228278367486,1536,0,1,1,923.5764658,0.9200392927347403,0.01148459707255272,577.9028779038462
2048,1024,104.15359242709995,338904,74634,27365376,15601664,0.8486235269489347,0.08936370754553408,1,2048,0,1,1,425.80619680000007,0.8202893062992761,0.0674118904527698,577.9028779038462
2048,128,198.40292395233604,517982,107569,32481280,30281160,0.3887150765780435,0.0975604460970742,0.4272623665632736,2048,0,1,1,1352.5714481999998,0.9182422437105309,0.009647074652695585,577.9028779038462
2048,1536,85.66453212602244,335920,56843,36409344,15751768,0.9955198379945127,0.14658904150364138,1,2048,0,1,1,255.93736879999997,0.6890356776335383,0.12296342625224255,577.9028779038462
