cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,560.2460098853883,1835061,149073,43175936,36389504,1.0028723909518689,0.22246848128980448,1,1024,0,1,1,432.11603709999997,0.8323902852457377,0.03751323178513446,523.0921288275863
1024,128,1189.6219935502104,1780877,231190,37011456,34180296,0.8011512260916559,0.12837997941163432,0.5178985371333454,1024,0,1,1,1010.0282030588235,0.911207045629069,0.014321028283813719,523.0921288275863
1024,1536,320.57482277351016,1626106,110351,51957760,39835528,1.1215165939854086,0.22091960091002674,1,1024,0,1,1,255.3551707,0.7531478387803072,0.054342339946389685,523.0921288275863
1024,2048,184.90708933203763,1432678,107240,51433472,32961264,1.1186857981590048,0.19979269668617064,1,1024,0,1,1,143.0699258,0.7386374427964609,0.05819521630664736,523.0921288275863
1024,256,319.67999430284925,1554900,119301,37011456,34599960,1.3474829897624823,0.2673886415372306,1,1024,0,1,1,291.56948070000004,0.9163591601000232,0.022546745382785036,523.0921288275863
1024,512,528.301466695033,1832356,137972,36749312,34075792,1.0919513592721912,0.16421309755924554,1,1024,0,1,1,496.5762047,0.9129653285110766,0.02117880265838796,523.0921288275863
128,1024,839.7835609610572,2021200,145936,42913792,34300464,0.9731218517683123,0.11578166584905784,0.9021951845252929,128,0,1,1,579.7992915499999,0.8133373596698797,0.034601625178964354,523.0921288275863
128,128,1252.2718144686503,2124205,181649,35962880,33173544,0.9062740556607137,0.18609719546173525,0.4979227270963489,128,0,1,1,1050.5488108125,0.9223267459361414,0.01700763499710168,523.0921288275863
128,1536,353.2478138167248,1614670,172618,51695616,40102064,1.0969689687117579,0.2042197961564501,1,128,0,1,1,255.08271825000003,0.7594771485079024,0.0426761563408655,523.0921288275863
128,2048,183.01663785960662,1337164,117750,52219904,37910712,1.2092803019934206,0.28949553114241217,1,128,0,1,1,147.5846969,0.7689543076483574,0.05864988837669577,523.0921288275863
128,256,524.3932332473754,1658477,207762,36487168,33885720,1.0288215513589525,0.2202748508396901,1,128,0,1,1,469.7810272500001,0.9106427164573544,0.02012861788898457,523.0921288275863
128,512,805.3587792130813,1999809,150783,37535744,34642520,0.8102884393725294,0.09649309095366972,0.7056915311551315,128,0,1,1,741.2475646,0.9120647408631181,0.020443258516064575,523.0921288275863
1536,1024,829.7453335952149,1911418,157949,42913792,36982016,0.8452696113198798,0.1540816679660123,0.8000295896835111,1536,0,1,1,653.8409773499999,0.8099569132426818,0.04487510975358852,523.0921288275863
1536,128,1212.6940797177904,1855445,218096,37273600,34312968,1.0373001947170424,0.3677031128801953,0.5684937317569394,1536,0,1,1,920.1370210555555,0.9082694292558902,0.016700445986330085,523.0921288275863
1536,1536,549.1797567205887,1667598,138020,70664192,53399160,0.9260047152976261,0.18442622493674812,1,1536,0,1,1,427.5495159999999,0.7309333962435843,0.06034382310819566,523.0921288275863
1536,2048,311.26232551708466,1659980,132283,51957760,38836200,1.0826984729759315,0.2669779030138254,1,1536,0,1,1,270.6772500000001,0.7539117196552394,0.05862907990673061,523.0921288275863
1536,256,826.3829692071773,1816655,168523,35700736,32506128,0.7964848071442648,0.15806562905056462,0.6978041902125149,1536,0,1,1,749.6259497500001,0.9107874518908531,0.015375701771889929,523.0921288275863
1536,512,767.4362479761347,1726985,151878,36487168,33644064,0.7720708635194663,0.1199541034259559,0.6557723882999551,1536,0,1,1,797.6733057999998,0.9073611806792903,0.01884385068925659,523.0921288275863
2048,1024,542.8134299751283,1979086,155759,43175936,36298648,0.988659536680613,0.18427288490913393,1,2048,0,1,1,436.39346164999995,0.8169813399976817,0.042803093905019664,523.0921288275863
2048,128,1166.158615730061,1900510,214039,37273600,34582656,0.6544759995037255,0.05987779405879128,0.428220164909513,2048,0,1,1,1221.54950115,0.9148734306310459,0.019361916191863955,523.0921288275863
2048,1536,528.9584536637587,1791005,197664,51695616,38086240,0.9144103792379044,0.21951061426203572,1,2048,0,1,1,425.82542025000004,0.739353646729082,0.05296097495865979,523.0921288275863
2048,2048,355.6714246833853,1631679,137309,51957760,36495576,1.0564302875437668,0.21345262671014437,1,2048,0,1,1,265.6446705,0.7484581838706823,0.06047182957811879,523.0921288275863
