cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,755.9917435318479,2081222,106280,43962368,37756864,0.7850300319600054,0.15518913064597628,1,1024,0,1,1,646.8044264999999,0.83625754528768,0.029628806700601366,2514.310125125
1024,128,2302.3549522250255,2058449,297454,36487168,34248664,0.2535468506263098,0.0784066525729136,0.24610467605595165,1024,0,1,1,10216.425650333333,0.92509748625532,0.015367380957319115,2514.310125125
1024,1536,533.673345242144,1848927,152909,52219904,37748528,0.9438947202263617,0.16523564416381198,1,1024,0,1,1,443.3558466999999,0.7391985199114146,0.047309582109550836,2514.310125125
1024,2048,348.80749179979415,1790346,177825,51957760,36817384,1.0910600036797191,0.2188621672421998,1,1024,0,1,1,228.0710478000001,0.7549373262755371,0.05604781564527266,2514.310125125
1024,256,3356.4632809811105,1964072,190681,35962880,32737672,0.2557129024615802,0.042170636851964594,0.34329560895072875,1024,0,1,1,7324.038116333333,0.9206985596244479,0.014060833364471958,2514.310125125
1024,512,2116.202954740646,1978565,157589,35700736,32753304,0.45881258377660183,0.030223120800005755,0.8600828899092763,1024,0,1,1,2923.3346629999996,0.9119943364965083,0.013173586799532856,2514.310125125
128,1024,823.342684068337,1817276,146651,43438080,35020728,0.849490352294689,0.22328204167424,1,128,0,1,1,702.55048035,0.8356684669511815,0.032516052413431806,2514.310125125
128,128,1129.63439871303,2042831,220992,37273600,34132632,0.2799506419894657,0.02860927444750934,0.29165027145903427,128,0,1,1,8620.976461111111,0.9187744103869497,0.010204226325101675,2514.310125125
128,1536,500.99183029865395,1820088,151666,51695616,36486592,0.9588843429261609,0.18109987859255966,1,128,0,1,1,424.75196075,0.7413623884070593,0.06074345477332938,2514.310125125
128,2048,346.68476418826964,1522307,134673,53268480,39513464,1.0688417799349543,0.19309059912506873,1,128,0,1,1,231.67914630000004,0.7514588582352488,0.06326894166489935,2514.310125125
128,256,2663.9732050595485,1965868,210891,35700736,33059168,0.2125148477037391,0.040034316875563344,0.23321726632439926,128,0,1,1,10780.977604066667,0.9203595975668819,0.01377277216049149,2514.310125125
128,512,1577.119292940979,2134307,198012,37011456,33258096,0.6310612148025927,0.2594600460882234,1,128,0,1,1,1662.5089653333334,0.9150196755712252,0.015728751586999847,2514.310125125
1536,1024,726.3751066441152,275282,48990,55037952,45482672,0.8422146523399043,0.1783904516405724,1,1536,0,1,1,692.4945364500002,0.8216203105946743,0.04255607469544439,2514.310125125
1536,128,2536.694116933428,2026335,222422,36749312,34008216,0.26911515405681885,0.07881283885585681,0.26453544650540944,1536,0,1,1,9504.624647999999,0.9221475461283677,0.013110865116852399,2514.310125125
1536,1536,505.81070290016567,1768274,205017,52744192,40283600,0.9499607236612968,0.15433606251415188,1,1536,0,1,1,400.90722775,0.7699215691540431,0.050723574337557156,2514.310125125
1536,2048,357.1827123238201,137671,10347,53268480,35335464,1.187491637459321,0.22848357121488796,1,1536,0,1,1,249.46386445000002,0.7530495922384077,0.0673113193683295,2514.310125125
1536,256,2728.0215440818847,1965639,134968,37273600,35143840,0.32657122250838855,0.08674120635223863,0.4482357735944327,1536,0,1,1,5609.3472972105255,0.9189192903763636,0.01988293956795835,2514.310125125
1536,512,1366.968262540763,1815209,119936,36749312,34285824,0.6365990128646051,0.2608475807482629,1,1536,0,1,1,1548.2799311000003,0.9196124296289042,0.016855243395937237,2514.310125125
2048,1024,783.763599683352,1714153,163277,43438080,35346112,0.8010634691997456,0.13906802010109845,1,2048,0,1,1,648.21108685,0.8180761121496467,0.029885256345895842,2514.310125125
2048,128,2892.1584806392393,2103022,233871,36487168,34622800,0.31621695336161953,0.08878996533715887,0.29027918415721077,2048,0,1,1,8661.696264666667,0.9299633773486858,0.009449885474411357,2514.310125125
2048,1536,512.3712373894512,1716593,183496,51433472,39732000,0.9775842235924534,0.14179238545103237,1,2048,0,1,1,420.42779705000004,0.7535308343490082,0.04386720150044287,2514.310125125
2048,2048,338.7085568170346,151476,48557,76582912,64624872,1.0745305233682125,0.24099387203386002,1,2048,0,1,1,242.45053560000002,0.7624709667178385,0.051657245881537625,2514.310125125
2048,256,3303.711022303723,2037855,155496,35962880,32505152,0.2943382554911364,0.07997942424663113,0.3808540464571417,2048,0,1,1,6601.76818,0.9258120766315592,0.013220580516057455,2514.310125125
2048,512,1951.3057420853506,2127763,231713,36487168,33155352,0.4863264177974109,0.05663658838887338,1,2048,0,1,1,2343.167320055556,0.9117310377692173,0.015436901070511204,2514.310125125
256,1024,757.7169445636994,1761721,225879,43175936,34769432,0.8307721236563823,0.18489689671962084,1,256,0,1,1,666.1027286000001,0.8364711609325205,0.03520160546659871,2514.310125125
256,128,525.253419664729,2005713,340675,36749312,34617224,0.23599225070533253,0.014247270298967605,0.25000803726167287,256,0,1,1,10056.917180200002,0.9214865216334269,0.011094831198559408,2514.310125125
256,1536,374.3292931934016,1673790,140291,52482048,37808768,1.1613928184312698,0.2916054575027266,1,256,0,1,1,263.37096929999996,0.7531163351807886,0.04629129563299941,2514.310125125
256,2048,215.64386286706866,78473,40449,63811584,49244584,1.2624665208612211,0.3476017190912576,1,256,0,1,1,130.280769,0.741166875068312,0.0486955617842648,2514.310125125
256,256,3240.13103160836,1885356,174588,36749312,34362304,0.25612047538444493,0.12114250458982188,0.2754995258499594,256,0,1,1,9126.36824825,0.928958843547174,0.009794453170369404,2514.310125125
256,512,1749.913063569109,1612062,187700,36749312,33804208,0.5302478206730773,0.12989381295542737,1,256,0,1,1,2321.142905333334,0.910066225188711,0.01589149877711652,2514.310125125
512,1024,801.4171870236444,1675500,122782,42651648,37111200,0.831530910337956,0.15546319582468118,1,512,0,1,1,706.9261826315789,0.8288307463221392,0.04462470752921711,2514.310125125
512,128,6308.601101661723,2141496,331809,36487168,33042048,0.2396774822845139,0.11398595523102047,0.19704732506628955,512,0,1,1,12759.930256749996,0.9218321321209597,0.010846928519917958,2514.310125125
512,1536,595.0026253550045,1567089,158687,51695616,38233832,1.0318910031736699,0.16673750720510294,1,512,0,1,1,417.38111765,0.7643317275945922,0.05468772268297503,2514.310125125
512,2048,317.91150407158744,1433767,136997,51171328,39933712,1.1824036220133638,0.23026844986347936,1,512,0,1,1,252.3569674500001,0.7535541107278103,0.04295545042292865,2514.310125125
512,256,910.9442240998521,2098950,209466,37273600,34519944,0.2708688002264676,0.031446598978514456,0.3014871144220162,512,0,1,1,8339.693488874998,0.9241851441062875,0.013444702843446505,2514.310125125
512,512,1983.3232329288655,1969307,175840,37011456,34638240,0.41014114393105366,0.04845183541781587,1,512,0,1,1,2409.849211944445,0.9153832082355076,0.016195942859241537,2514.310125125
