cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,39.53401967075181,49906,0,25006080,15186616,0.8162317635025984,0.08627128773538696,1,1024,0,1,1,88.02519405000001,0.6701686535941969,0.04650046013506132,148.929852975
1024,128,132.60725953517556,45481,3586,24694784,20598624,0.6072556540258313,0.290304831989599,0.838091529438816,1024,0,1,1,177.70117910000002,0.8595511789014839,0.011278820215034553,148.929852975
1024,1536,50.34258407626789,188938,4014,38858752,24608400,0.8585586330185784,0.17400000788057127,1,1024,0,1,1,82.13578300000002,0.5683364564723352,0.07645649193906896,148.929852975
1024,2048,22.316113059885225,44742,3348,39383040,24377824,0.9871861755919508,0.047062761487929046,1,1024,0,1,1,51.95413275000001,0.5271447794559083,0.058998682512526386,148.929852975
1024,256,205.50954841950823,43641,27,24432640,21026952,0.44621927443871956,0.3160735657403287,0.4810437419540021,1024,0,1,1,309.5973193,0.8638181540718591,0.014516426831100243,148.929852975
1024,512,66.66446532048894,52273,8071,24432640,20995688,0.445780935208,0.06903066714012968,0.7635718722228276,1024,0,1,1,195.04366045,0.8668297026815894,0.01262845107882707,148.929852975
128,1024,44.146932708607345,133641,28,25530368,15161968,0.8177013144918425,0.09823354772772903,1,128,0,1,1,107.02621255,0.6670494759828628,0.04486571738285786,148.929852975
128,128,229.78350846463906,63729,2617,24432640,20993736,0.31016607663059287,0.272609454308344,0.367665364791941,128,0,1,1,405.0690308,0.8571477276584204,0.012048061793391619,148.929852975
128,1536,24.740854019069303,46861,21,38072320,25372000,0.9331457631707213,0.07169392438073427,1,128,0,1,1,79.39200725,0.6173791981080283,0.10843269213975534,148.929852975
128,2048,25.345855312559085,30668,7702,39383040,24349032,1.0075721807334803,0.10660266134307497,1,128,0,1,1,48.39023619999999,0.5356855827242389,0.06238966108727763,148.929852975
128,256,119.07374303566401,95854,12026,24432640,21103432,0.31745040041144074,0.13755558565249446,0.42660393034378713,128,0,1,1,349.1056748,0.8656964669500425,0.01312598183388744,148.929852975
128,512,100.03406623895994,42600,5474,24170496,21123560,0.4109514585481152,0.10970630581200216,0.65544311379867,128,0,1,1,227.22010475000002,0.8719282895892478,0.011564298857307458,148.929852975
1536,1024,42.52946416634385,128556,12590,25792512,14978672,0.8360109329741634,0.11390080864812492,1,1536,0,1,1,89.75369995000001,0.6677663655060686,0.046363211224089006,148.929852975
1536,128,96.39555612028065,101595,23163,24694784,21360200,0.6105355388699305,0.2092731827893031,0.7982942199453158,1536,0,1,1,186.56010435000002,0.8603771313793309,0.009908016542902852,148.929852975
1536,1536,32.76297789546563,35246,3885,38858752,24332128,0.9621267477218665,0.06743759018864441,1,1536,0,1,1,71.01295505000003,0.5544299465808163,0.09633693261803691,148.929852975
1536,2048,33.23779198976368,55399,19,39120896,24197448,1.0191438357049003,0.11450211353551089,1,1536,0,1,1,55.784692350000014,0.5299999705546828,0.05681000190929218,148.929852975
1536,256,192.86144099405027,144405,5496,24432640,20750376,0.5048703385054104,0.28485766106406557,0.5469723965805017,1536,0,1,1,272.2803818,0.8642299489315469,0.0120257599940956,148.929852975
