cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,581.0619165153406,1859458,104814,56553472,47115672,1.0328792897036152,0.1752486641576727,0.8068772204978877,1024,0,1,1,457.7570358499999,0.8736913536822482,0.06245054641270479,369.35372474999986
1024,128,654.0460679248149,2333449,177371,51961856,47130560,1.058157320752834,0.15152966594452832,0.6920434481652767,1024,0,1,1,533.7146471499998,0.9454637114568806,0.027562401456585995,369.35372474999986
1024,1536,389.36328851324083,1845008,133933,67956736,47277160,1.2069298985258157,0.18687099052162906,1.0,1024,0,1,1,268.5916725,0.8172302398694017,0.06954591790052334,369.35372474999986
1024,2048,212.3107358544146,1570915,160030,62189568,51164456,1.443439861058488,0.253346009295095,1.0,1024,0,1,1,136.08179794999995,0.7932597333243742,0.07849765173813122,369.35372474999986
1024,256,403.17143505241813,2025725,154508,50651136,47554392,1.30596854406412,0.17326743405722814,1.0,1024,0,1,1,295.1001215,0.9241114950199714,0.08117622851033933,369.35372474999986
1024,512,701.022181104899,2139500,161176,50913280,47071240,1.0651954299965938,0.14780318110422422,0.7036956715443488,1024,0,1,1,524.8770735500001,0.9438671408495628,0.01926433018551927,369.35372474999986
128,1024,639.290044554339,2001743,163765,54718464,48619552,1.0127283494234254,0.17902396270246362,0.7722643674765973,128,0,1,1,478.2736848999999,0.8678429878352996,0.059602801829633734,369.35372474999986
128,128,588.2515893883959,2087233,156756,50913280,47097576,1.1666935646132839,0.17329278732938638,0.7957411029741212,128,0,1,1,464.16318494736834,0.9307588576007922,0.03986586912463792,369.35372474999986
128,1536,356.69512531591806,1785290,137001,62451712,50062824,1.3376541464762224,0.1749776361049883,1.0,128,0,1,1,248.18902724999992,0.8133354375065196,0.062387520682049384,369.35372474999986
128,2048,210.96414574546267,1523941,91590,62451712,50497520,1.6941740289318035,0.29718232550989676,1.0,128,0,1,1,126.17614024999997,0.796479437623592,0.07694229793112078,369.35372474999986
128,256,585.4774886213734,2050936,164214,49864704,47240896,0.9093341982310882,0.1753814261411253,0.6377693608999109,128,0,1,1,579.1336922000003,0.9291643364139712,0.04796357651271321,369.35372474999986
128,512,592.478273827854,1973602,145841,50913280,46789480,0.9512383853158459,0.1804621189453195,0.6932219863286024,128,0,1,1,532.8072854500002,0.9277582830088947,0.05000310702434472,369.35372474999986
1536,1024,602.1387268111384,2188427,170712,58912768,48379896,1.1559793117152444,0.1219298528888374,0.8653484927929272,1536,0,1,1,426.82656505000006,0.8612905337269062,0.06440139974596122,369.35372474999986
1536,128,781.4261257371222,2143737,193571,51175424,47353632,0.9470233707223777,0.2009674540570476,0.5531811178441371,1536,0,1,1,667.6904052499999,0.9158986546765153,0.06372065005723983,369.35372474999986
