cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,228.96694624148068,306826,40950,38383616,31135976,0.3717461092336464,0.1867280609046993,1,1024,0,1,1,524.1086244,0.7956130897908975,0.0981087076308985,689.3324917272728
1024,128,500.383054368614,284519,42793,32743424,29921976,0.24332378475053762,0.11369664263393793,0.43649745366403414,1024,0,1,1,1579.2359976923076,0.9118790151873548,0.007105320965197436,689.3324917272728
1024,1536,146.0908220790332,260148,20397,50835456,30083168,0.43978362055137826,0.1924003701024841,1,1024,0,1,1,323.1141844999999,0.7418187182754645,0.12456129402667497,689.3324917272728
1024,2048,102.6768877647484,174147,28060,67928064,51708640,0.28640113569028286,0.11814864849398564,1,1024,0,1,1,395.41230995000006,0.7413579741388899,0.09795334188621317,689.3324917272728
1024,256,364.4922865058615,320803,42407,33005568,29975480,0.26979867025258036,0.08375305846327762,0.5986124798148967,1024,0,1,1,1151.5504854500002,0.9109430251761127,0.008504673401742087,689.3324917272728
1024,512,162.53617243682075,295695,45014,32743424,29879440,0.33203863084035284,0.06592409317142033,0.8688337655499614,1024,0,1,1,793.3997492500001,0.8922278877272912,0.03869087208122968,689.3324917272728
128,1024,172.46175530233617,318385,25247,39956480,29994032,0.5188849784856797,0.19074139380150024,1,128,0,1,1,422.24508145,0.7910292131788159,0.07710372512594384,689.3324917272728
128,128,1221.061570725818,294031,34764,32481280,30072248,0.15059740921553752,0.076529634267263,0.25316965910737227,128,0,1,1,2722.808468272727,0.9126483053107557,0.009298159975487193,689.3324917272728
128,1536,160.73312071402907,292402,55847,50573312,31197864,0.4545530342112028,0.2449543011673648,1,128,0,1,1,371.71100050000007,0.7153552920781232,0.11937182028839484,689.3324917272728
128,2048,120.15114698209608,291138,25357,50311168,31310240,0.33215180696716956,0.16450279723547506,1,128,0,1,1,403.61327025,0.7318721892882399,0.13479651268001824,689.3324917272728
128,256,302.0876450148394,281758,49596,33267712,29880280,0.23833579387320336,0.04208787052776531,0.5190145805297275,128,0,1,1,1328.156313111111,0.9109126217731891,0.010087361839363162,689.3324917272728
128,512,227.41609108241488,271673,35099,32743424,30507544,0.3381040062881917,0.08680843196360652,0.8455251649488397,128,0,1,1,815.2714080000001,0.8750701623303003,0.07351906178043167,689.3324917272728
1536,1024,149.25162400226478,282737,46133,38383616,30550976,0.43847675460580493,0.18556526114520255,1,1536,0,1,1,493.5063724,0.7893136775347994,0.10424011099071805,689.3324917272728
1536,128,608.7883027548866,251014,62190,33005568,30404664,0.24505289833528857,0.111773264810161,0.4175197197886992,1536,0,1,1,1651.0178059999998,0.9217940434046217,0.004006314232504505,689.3324917272728
1536,1536,167.6705539149313,196358,27755,38506496,15741784,0.43450964713781237,0.20719878204404887,1,1536,0,1,1,372.85446605,0.7195363485770069,0.15037621734808942,689.3324917272728
1536,2048,172.09697713365168,223333,51778,68714496,51766968,0.3978687771819319,0.20361774545971703,1,1536,0,1,1,399.15673974999993,0.7399389365720652,0.1294085098913498,689.3324917272728
1536,256,250.25714866754464,291593,49376,33267712,30079496,0.36118207132511687,0.12769492574665559,0.78925842019709,1536,0,1,1,873.3926355263158,0.9041084572002447,0.021147106234419705,689.3324917272728
1536,512,194.71535838281363,253387,50516,32743424,29859520,0.38961403890828944,0.1313016944078446,1,1536,0,1,1,673.56945965,0.8870098480583302,0.044163407339912926,689.3324917272728
2048,1024,130.26530698018527,334121,34145,39694336,30641592,0.46005554743951754,0.19827744413002374,1,2048,0,1,1,461.3835528000001,0.8357036747577193,0.06264949540697602,689.3324917272728
2048,128,963.5326603694326,297147,43384,32743424,30397816,0.3629133600078717,0.22669432029699152,0.5041080384366303,2048,0,1,1,1367.430072857143,0.9141217562148652,0.00929080046573303,689.3324917272728
2048,1536,131.6261129139992,217423,23802,63733760,52810104,0.43037444794163104,0.1773620564217343,1,2048,0,1,1,385.61790219999995,0.7227501442771185,0.1183764900604989,689.3324917272728
2048,2048,147.53218466761942,295747,48486,50835456,30232208,0.4172222607972727,0.21026962044928396,1,2048,0,1,1,362.7133998,0.7473879579746276,0.11080167367694724,689.3324917272728
2048,256,239.4726507705815,260948,42442,33005568,30188752,0.38704025008287324,0.15925764823812097,0.79453401587517,2048,0,1,1,867.5934295499999,0.8968848671231872,0.04729660811207469,689.3324917272728
2048,512,214.16818449815375,277836,29801,32743424,29824168,0.3777732620128318,0.12249107427608315,0.9403723387334487,2048,0,1,1,733.04207635,0.8837183925565639,0.04615667563655114,689.3324917272728
256,1024,155.6457278709725,263362,21797,39694336,29894648,0.516088329710239,0.19517510300374313,1,256,0,1,1,387.5689426999999,0.7827622566843537,0.13469077388290504,689.3324917272728
256,128,1335.1255028684402,330903,70804,33529856,29962952,0.2998306289457164,0.1526841879916798,0.4422861275927159,256,0,1,1,1558.5668388000001,0.9086292108999456,0.011457422649775967,689.3324917272728
256,1536,155.02851486013355,175555,41351,43233280,31626208,0.4784214331268366,0.20397948619253262,1,256,0,1,1,327.60040375000005,0.7509677217060491,0.12576022652478253,689.3324917272728
