cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,190.36059549580136,25006,196,25530368,15045224,0.03643484178761044,0.025153444616403328,1,1024,0,1,1,586.3040184999999,0.6465229484534396,0.04209206820204657,627.2973883333335
1024,128,203.83653611061723,25917,386,24555520,21584920,0.03946054496979934,0.01440049327625166,0.8763281766562884,1024,0,1,1,715.824739,0.8648310800650947,0.010979432746877163,627.2973883333335
1024,1536,176.13686901011903,15896,2997,38719488,25055680,0.035749632660234065,0.03238807191412638,1,1024,0,1,1,603.5290953000001,0.6128634681574154,0.10080754046469982,627.2973883333335
1024,2048,229.18990020244615,58189,16384,34836480,14696120,0.04005753645885439,0.03879264377231013,1,1024,0,1,1,582.22822615,0.5128073789111065,0.048094076579566075,627.2973883333335
1024,256,270.6815057790448,25447,243,24555520,20944496,0.05199631084405354,0.029137976327479546,1,1024,0,1,1,617.991543263158,0.8638358465999837,0.0131276893790582,627.2973883333335
1024,512,206.36754872739533,21637,6778,24555520,21089304,0.05106938160152534,0.032640264283640856,0.99184350019826,1024,0,1,1,632.4560156999999,0.8675664775800458,0.012520164597965395,627.2973883333335
128,1024,220.25378107116532,62742,14884,26054656,14548792,0.0476226409347732,0.04124192307113456,1,128,0,1,1,578.0793222,0.6447514191599092,0.07099261666021643,627.2973883333335
128,128,242.340416722159,26935,26,24817664,20919608,0.040160852051283294,0.01912249606787275,0.8427257587443737,128,0,1,1,744.3671702499998,0.8613023065874307,0.011179941061311207,627.2973883333335
128,1536,191.97680078050186,21045,3375,38719488,25009792,0.04061986722596442,0.04108559097008873,1,128,0,1,1,615.4598871000001,0.6199121545278529,0.10816351170908309,627.2973883333335
128,2048,221.36258644124337,39157,3880,34312192,15133784,0.02752308118236512,0.014324356077327082,1,128,0,1,1,573.4398251,0.5310180566135568,0.051846803993978695,627.2973883333335
128,256,299.9246850163076,25250,2093,24817664,20891888,0.04417910787814813,0.01523471023606796,0.9239104282724755,128,0,1,1,678.9590951000001,0.868564414628675,0.011969505229971242,627.2973883333335
128,512,238.44158089500476,15465,9816,24555520,21510056,0.06704812657288481,0.05541672585154336,1,128,0,1,1,573.4790302499999,0.8664299057467533,0.015019241189746905,627.2973883333335
1536,1024,201.51627758996258,23232,31,30724096,24850880,0.04812709552388969,0.0573612334813421,1,1536,0,1,1,591.5504120500001,0.6426194343353043,0.055220587365115655,627.2973883333335
1536,128,187.60911831711732,25002,33,25341952,21162304,0.0472548312165445,0.018457301842954833,1,1536,0,1,1,571.7327033749999,0.8582330418192993,0.012846475634472155,627.2973883333335
1536,1536,210.96940423893668,11917,4638,34312192,15181080,0.031137723780753766,0.023523626116436838,1,1536,0,1,1,555.5028242000001,0.5610799406663696,0.08960830842815797,627.2973883333335
1536,2048,245.92996906370502,63476,9711,35098624,14695624,0.038402805766798075,0.05109463007099541,0.9738118867071929,1536,0,1,1,644.1669042,0.520571262459722,0.049982433537260895,627.2973883333335
1536,256,172.47971180687924,24695,2709,24555520,20899480,0.03218872133439201,0.013620197577638217,0.7813726708222035,1536,0,1,1,802.8146002,0.8696661782592876,0.01491929120637405,627.2973883333335
1536,512,182.9059051242967,15302,9524,24817664,21496160,0.046116661525449125,0.028775864379083055,1,1536,0,1,1,561.3960490000001,0.870777548555084,0.009588337055861434,627.2973883333335
2048,1024,165.39847254880985,24793,172,25530368,15111280,0.037521290530310406,0.029839627626033385,1,2048,0,1,1,606.19487495,0.6491213878663742,0.04387317643152492,627.2973883333335
