cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,733.4832654228732,1742902,181400,43700224,36338384,0.9106989617238603,0.16081709835259242,1,1024,0,1,1,640.10672135,0.81821886350134,0.03553760338736448,3129.368459085472
1024,128,2719.3081219184332,2050376,239388,36487168,33881536,0.1748828386149104,0.03609213409279809,0.22210058439785169,1024,0,1,1,14089.870441222221,0.9157001315873166,0.00906743731188413,3129.368459085472
1024,1536,494.1208404718456,1671924,138252,51433472,38897304,1.1115428369843736,0.16201631509110606,1,1024,0,1,1,389.39982545,0.7467324549274111,0.05808406619558168,3129.368459085472
1024,2048,314.98729480479676,1496484,141482,52482048,38060784,1.0372252952514167,0.2256780888143687,1,1024,0,1,1,261.4866446,0.7638815802967969,0.05907693730401038,3129.368459085472
1024,256,2793.2681927296576,2163844,240080,35962880,32671704,0.3226347448945892,0.067843131498947,0.5898776935034483,1024,0,1,1,5305.114083055555,0.9134365320572447,0.01199059944249267,3129.368459085472
1024,512,1996.6519994934326,2086017,133558,35962880,33021480,0.4844352961477901,0.06437427655304333,1,1024,0,1,1,2240.3122221500003,0.9092253425190459,0.018663116650361643,3129.368459085472
128,1024,863.2248612099623,1914346,150649,43700224,36529384,0.7575902831759097,0.17321354358092284,1,128,0,1,1,685.6796456000002,0.843773017278331,0.03803995206422615,3129.368459085472
128,128,2111.1797439438883,2105141,234037,37273600,34974432,0.14183340641602032,0.015877135505892218,0.18441947200162184,128,0,1,1,16968.752947399997,0.9255131575149653,0.013934891050935943,3129.368459085472
128,1536,551.7345726109096,1769174,181731,70926336,55826040,1.0556153710842568,0.1741271163877614,1,128,0,1,1,421.04794745,0.7672565402369496,0.05075101880293318,3129.368459085472
128,2048,316.8579458121297,1556813,127976,53268480,35737408,1.0770530432153638,0.2420789019933745,1,128,0,1,1,270.26692205000006,0.7669770484778735,0.04866673503583049,3129.368459085472
128,256,4370.513052219106,2035577,187905,37535744,35314832,0.25448887701934464,0.1265195285209051,0.33426132596698593,128,0,1,1,9362.041660166666,0.9241340724683332,0.019702495503849133,3129.368459085472
128,512,1754.0955342166585,1945516,163727,36749312,33992184,0.4795350122675783,0.05800023161152967,1,128,0,1,1,2134.920968263158,0.9155572758829289,0.018477009044463883,3129.368459085472
1536,1024,780.3178174973473,1813392,188884,43175936,36211328,0.8263744876715521,0.15878682407176706,1,1536,0,1,1,711.9754573999998,0.8465077840538534,0.02063057937233642,3129.368459085472
1536,128,2287.2395726538475,1787872,177337,36487168,33738880,0.2813317420380527,0.07742359594897713,0.3643190593085989,1536,0,1,1,8589.636965533333,0.9272797063451815,0.01061504461615444,3129.368459085472
1536,1536,344.1102615433493,1534954,149966,52219904,35871072,1.1489681900904862,0.17265525512379892,1,1536,0,1,1,242.56343585,0.7868674935521964,0.0551387003232236,3129.368459085472
1536,2048,201.5451353760821,1409328,131687,53530624,35962120,1.1260136654466768,0.1888509168066575,1,1536,0,1,1,141.47568140000004,0.756779213081301,0.0614934813965537,3129.368459085472
1536,256,3197.2963493259604,1898831,137569,36487168,34608088,0.3223959171751989,0.10283426086001003,0.5190042433858753,1536,0,1,1,6029.56237635,0.917840992831535,0.01876815829818032,3129.368459085472
1536,512,1956.7024412971682,1865218,152546,36749312,33874256,0.4832760091886258,0.08250698183291247,1,1536,0,1,1,2160.9079558000003,0.9134159514943846,0.017960519410433192,3129.368459085472
2048,1024,725.3462418763272,1822376,127755,43438080,34036208,0.8180394129957271,0.12448261948287818,1,2048,0,1,1,694.4701092500001,0.8328900464146688,0.03373424109021501,3129.368459085472
2048,128,3866.276826339761,2194071,252588,36749312,33465392,0.3910782740120439,0.19223907708055923,0.42010670664998623,2048,0,1,1,7448.9847687500005,0.9202106642540298,0.009894216610654346,3129.368459085472
