cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,102.5283357810608,306799,36165,37072896,30348416,0.8809993593431976,0.13537476367561813,1,1024,0,1,1,219.65330469999998,0.8048948385643904,0.09414167729256741,346.3805127884615
1024,128,419.14142635885645,273244,36478,32481280,29806400,0.32636147093291024,0.13644799357015774,0.28216396791423654,1024,0,1,1,1227.5859152,0.920211534046314,0.009918918763418204,346.3805127884615
1024,1536,55.874003649709465,210116,38828,68141056,52201888,1.062077821517284,0.1240661560303737,1,1024,0,1,1,149.48019535,0.7450926428029825,0.07973047038226504,346.3805127884615
1024,2048,42.30880205920637,225007,24175,42184704,30994144,1.3615996679447613,0.1620043114424403,1,1024,0,1,1,101.4261959,0.7651136384860838,0.08972318510459999,346.3805127884615
1024,256,209.63607678544062,348155,21441,33005568,30325688,0.5648694321440831,0.17658214270544562,0.613517886964756,1024,0,1,1,564.5809521578947,0.8958362334676201,0.0679347537495151,346.3805127884615
1024,512,131.06270373455234,271989,22556,33267712,29767736,0.5707430968279426,0.19267236571165797,0.7107127961464749,1024,0,1,1,487.37058720000016,0.8870800905852277,0.055687611619539744,346.3805127884615
128,1024,96.53300563268255,273050,23101,37859328,30539416,0.8067927123888003,0.15990735969112618,1,128,0,1,1,258.71435355,0.7915631617736775,0.08897464070083784,346.3805127884615
128,128,741.1079281708408,292008,51324,33267712,29722144,0.481745163626971,0.4077201204623325,0.277664234439013,128,0,1,1,1247.4797609,0.9034197900433684,0.007556499917284002,346.3805127884615
128,1536,51.29674924230599,240150,41178,50835456,30034040,1.2902312085310426,0.3787333522237765,1,128,0,1,1,116.82572339999999,0.7068209758780464,0.1240555080097894,346.3805127884615
128,2048,32.19772660116565,304089,31933,50311168,30293304,1.7515481624665945,0.37046785704858043,1,128,0,1,1,69.16172565,0.7629106494180825,0.10890168785438845,346.3805127884615
128,256,243.09235001406046,302541,33373,33005568,30299120,0.31633328972393593,0.07238821861123057,0.3400436115704462,128,0,1,1,1018.635554388889,0.9030905718242939,0.038106984540042486,346.3805127884615
128,512,198.0524483104654,291616,52147,33005568,30343928,1.0930786232153071,0.3429575614006626,1,128,0,1,1,285.5224645789474,0.8729368818070662,0.05237324109834196,346.3805127884615
1536,1024,95.2659454627356,227842,37100,36548608,30390400,0.8650681345711307,0.18868200366856264,1,1536,0,1,1,209.07624439999995,0.811909337017355,0.07970673594290946,346.3805127884615
1536,128,266.3068591231813,314082,27611,32743424,30069936,0.8834364855491789,0.3892181302419488,0.7072972550396966,1536,0,1,1,489.7241016,0.9140149552484237,0.0058398607187798235,346.3805127884615
1536,1536,56.36916838194835,337579,42663,51359744,30426224,1.096832018644495,0.11163112072906606,1,1536,0,1,1,140.27738954999995,0.727794573562968,0.08706445809313208,346.3805127884615
1536,2048,52.29004389662811,331575,40816,50835456,30465536,1.139611795582699,0.19144815289603265,1,1536,0,1,1,134.831578,0.7507574217334576,0.10133714315377565,346.3805127884615
1536,256,211.56565190155655,259646,40004,32743424,30020384,0.6535828605398181,0.2276385887247672,0.687331596444836,1536,0,1,1,503.94964319999997,0.9112243562773091,0.027802158901550585,346.3805127884615
1536,512,187.64339917486666,294550,33442,33005568,30136528,0.4347840591604733,0.07777368844445888,0.5569823567047605,1536,0,1,1,621.8877646999999,0.8910048458083081,0.059513836858664966,346.3805127884615
2048,1024,99.40175112717723,346596,38877,29200384,15525248,0.9249568507111215,0.10504854419411679,1,2048,0,1,1,226.81029925000007,0.7900796865158728,0.10114307430922123,346.3805127884615
2048,128,700.6178126132824,340595,64595,33005568,29847680,0.32017576842953827,0.15840678821643592,0.24877961689982436,2048,0,1,1,1392.3187,0.9101821575626381,0.00943103173054089,346.3805127884615
2048,1536,71.25577942587451,333919,37785,50573312,30793688,1.1111879771723088,0.12281521614547125,1,2048,0,1,1,151.49036860000004,0.7233093152645232,0.12305274167241965,346.3805127884615
2048,2048,58.277368240567924,295141,58980,50573312,30628872,1.2986960213987717,0.15688309230630257,1,2048,0,1,1,111.84720924999996,0.7507264984568209,0.08861769917651126,346.3805127884615
2048,256,152.36130763914218,272812,44129,32481280,29801760,0.7529200695701993,0.17342813321152747,0.8675876038645393,2048,0,1,1,399.2455761764706,0.9012043130388504,0.027620548054364678,346.3805127884615
2048,512,80.46849230658566,310817,56729,33005568,30238936,0.75170949447464,0.2036081652741828,0.9973584494636439,2048,0,1,1,347.2979177894736,0.8740267407967316,0.058975512935174494,346.3805127884615
256,1024,128.82542034868032,282729,55110,37597184,30355544,0.8069972689210638,0.15418734114200477,1,256,0,1,1,256.44505910000004,0.7903570154229103,0.09142494197756255,346.3805127884615
256,128,698.8843117126881,306361,26695,32481280,29873352,0.4126052783620693,0.4125621222112471,0.27430915604124395,256,0,1,1,1262.7377,0.9084589809265178,0.00842468869306855,346.3805127884615
256,1536,72.92265213752039,265513,39367,50835456,30162480,1.048153248179887,0.2153825209110618,1,256,0,1,1,165.78210444999996,0.7387839943944273,0.12652200208745903,346.3805127884615
256,2048,59.69415556517036,295867,38811,50311168,31286616,1.409679377628975,0.20649881576032836,1,256,0,1,1,110.14670525000001,0.721496033221658,0.12762394150422973,346.3805127884615
256,256,571.2347392895998,262630,38552,32219136,30028112,0.46985661664136724,0.37097096710110966,0.3699123480076339,256,0,1,1,936.3853752222221,0.8903763556150768,0.08025357641367567,346.3805127884615
256,512,164.05410778518748,268013,37192,32219136,30088992,0.4629649776165777,0.09927958926260674,0.6027009580603304,256,0,1,1,574.7137252,0.8676381233767222,0.06890033758011445,346.3805127884615
512,1024,89.4078636313432,237264,32061,36810752,30331712,0.7866675984916849,0.12547714722636852,1,512,0,1,1,260.7173373,0.7762914216132989,0.10129584615283045,346.3805127884615
512,128,1010.2686515691086,339026,56988,33267712,29846320,0.47868659317733603,0.3310867202555707,0.2760540373644069,512,0,1,1,1254.7561922857142,0.9117553586921449,0.009171199373827748,346.3805127884615
512,1536,40.45736755978453,240213,39010,50835456,30024184,1.2718137666822196,0.20110932399101372,1,512,0,1,1,104.14371775,0.7603552879202132,0.08419551448866132,346.3805127884615
512,2048,32.6445015115615,291911,41899,50835456,31145984,1.7411846895201069,0.36478481375585214,1,512,0,1,1,71.79734770000002,0.7338939531240936,0.08927579802019185,346.3805127884615
512,256,492.83905244645075,274738,30847,32481280,29849696,0.3865645816200956,0.19464563547524424,0.35690708684646183,512,0,1,1,970.5061220526317,0.908238511836744,0.02287280770589233,346.3805127884615
512,512,136.11542574219118,329595,20660,33005568,29972592,0.4414024355093894,0.08957096883772318,0.563327780024588,512,0,1,1,614.8827114000001,0.8871058757326857,0.05482321602419396,346.3805127884615
