cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,598.7944427234748,1804494,148865,58388480,49286944,1.0840362131392802,0.2218357464197825,0.7300693771456116,1024,0,1,1,487.6436620500002,0.7782622618615039,0.09946336234314175,356.0137046218488
1024,128,645.4273641876534,1870039,193059,36749312,34326192,1.2430309685099923,0.28574584195736663,0.6476956649752318,1024,0,1,1,549.6620154705882,0.9194987547855452,0.05875168503457958,356.0137046218488
1024,1536,422.32556081888265,1932578,162422,53530624,35874264,1.5365331658172159,0.25776986174807515,1.0,1024,0,1,1,280.91086894999995,0.7270992328667104,0.10762579546982713,356.0137046218488
1024,2048,212.16490110424974,1572524,140390,52744192,38546184,1.794127579432527,0.29993462454454217,1.0,1024,0,1,1,139.39886305000002,0.7314590928514445,0.1283595125597699,356.0137046218488
1024,256,407.70022057620344,1945857,175482,52486144,50300480,1.2452234400206148,0.22506876461745645,1.0,1024,0,1,1,353.79392070000006,0.9021155293494134,0.08747374628323383,356.0137046218488
1024,512,392.52259936407074,1822731,149312,37535744,34911392,1.4245250990300486,0.23444892780354995,1.0,1024,0,1,1,340.8537101500001,0.864190133869849,0.09553593373038353,356.0137046218488
128,1024,633.1564706188921,1746480,181099,45273088,35652768,1.1293902045538344,0.236247146947299,0.6984123661650689,128,0,1,1,509.74713775,0.8177136555961259,0.09144401395710242,356.0137046218488
128,128,626.164293399952,1924718,213271,36487168,34023496,1.1551108350753194,0.1884005150870567,0.6916702131753483,128,0,1,1,514.7159698947369,0.9214969726914543,0.04767578994837222,356.0137046218488
128,1536,397.7348958961236,2010909,131542,55627776,35589400,1.430056481011508,0.27513361254853164,1.0,128,0,1,1,284.51602969999993,0.787380302332524,0.10309806849126013,356.0137046218488
128,2048,238.94366914126854,1745833,147325,53268480,38506200,1.9658808440830637,0.42320906425285326,1.0,128,0,1,1,132.6476304,0.783197368644499,0.07632132710243321,356.0137046218488
128,256,388.26936968825413,1896393,133358,38060032,35264056,1.52304818887876,0.20673163263241234,1.0,128,0,1,1,307.83312165,0.8904104642168308,0.07969582867940775,356.0137046218488
128,512,366.84580345490895,1679914,206497,51699712,49476120,1.5293006932230484,0.12813603094641812,1.0,128,0,1,1,303.13466754999996,0.8711721796030751,0.09814218473737146,356.0137046218488
1536,1024,569.7874788763232,1957466,229193,58650624,51310192,1.1577345888280095,0.2653723304124756,0.7569096310680147,1536,0,1,1,470.3516642000001,0.7991708788390209,0.09650698655244673,356.0137046218488
