cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,52.74771247779099,219873,34030,39432192,29892016,0.9679805281164683,0.14621471586090604,0.8339718060109907,1024,0,1,1,175.09791294999997,0.7763939423568531,0.09219294616071773,146.02672269166672
1024,128,416.05907838373616,214199,29094,31956992,29495944,1.2290634161677967,0.5509862226273877,0.498090781519275,1024,0,1,1,293.17290764999996,0.8962931163870129,0.036411943138141,146.02672269166672
1024,1536,52.12077522058409,263186,47011,50573312,29707056,1.461285106046336,0.19395494952324,1.0,1024,0,1,1,101.38366115000001,0.7274480915448065,0.12246670690973774,146.02672269166672
1024,2048,31.85428468406658,257310,56774,50311168,30206000,1.793839329948374,0.3051541525744916,1.0,1024,0,1,1,68.29131170000001,0.6944940182972785,0.1480574369034701,146.02672269166672
1024,256,35.63146370111017,206525,42613,32481280,29661832,1.3772275870351514,0.19897941205554995,1.0,1024,0,1,1,138.61788389999998,0.8820602940266598,0.05874704682164907,146.02672269166672
1024,512,39.889677900874965,210714,39149,33005568,29763320,1.5186329089288861,0.1361598274113554,1.0,1024,0,1,1,124.02178500000005,0.8911490739930852,0.06817868679617503,146.02672269166672
128,1024,57.02984431403617,216480,28507,37597184,30115896,1.34557052652371,0.30484587108369493,1.0,128,0,1,1,120.32470365000003,0.7558095064771025,0.13770426795907342,146.02672269166672
128,128,54.85710961455647,204498,42770,32743424,29714736,1.1785899794127317,0.17893091852186785,0.7805520079589093,128,0,1,1,187.08134910000004,0.8555343253132891,0.08076588303778003,146.02672269166672
128,1536,47.29595300063865,259819,52716,50311168,29675368,1.2191450219415303,0.2597365764382051,1.0,128,0,1,1,129.2660491,0.7228974230287657,0.12579399121931417,146.02672269166672
128,2048,28.70380474003224,248014,31154,49786880,29701560,1.7108219890932588,0.3314740053548989,1.0,128,0,1,1,69.2532452,0.7392041524907087,0.129909890669587,146.02672269166672
128,256,36.972515161581136,203677,41897,32743424,29710496,1.3764032331790725,0.22887075549568425,1.0,128,0,1,1,145.1307543,0.8759390189972105,0.0709894989036239,146.02672269166672
128,512,42.96171219896618,241653,47146,32481280,29514680,1.1525669236750236,0.12071441567389692,0.7784349358920639,128,0,1,1,187.59014525,0.8925140455896374,0.05372109765208263,146.02672269166672
1536,1024,61.25823287978642,308271,46664,39432192,29691288,1.0888623764460332,0.1878890727041366,0.8345423256765666,1536,0,1,1,174.97821045,0.7525108763542638,0.1144750471907474,146.02672269166672
1536,128,68.60974992378979,269221,76814,33005568,29592296,1.1352392959987063,0.23092594832444668,0.7456996651919071,1536,0,1,1,195.825115,0.867420809600202,0.07561216234539198,146.02672269166672
1536,1536,47.74715406270189,296849,35096,50573312,29975304,1.3566533774984388,0.2206639821578595,1.0,1536,0,1,1,109.43503519999997,0.679259694799706,0.1559908329133491,146.02672269166672
1536,2048,30.584936345309785,270382,29777,50573312,30094400,2.0959723434740605,0.2656703982702771,1.0,1536,0,1,1,59.550646699999994,0.7328866300987036,0.1022066799378682,146.02672269166672
1536,256,37.47986596571714,223434,42028,33005568,29404712,1.260027234524349,0.14528643235493088,0.9768175565173355,1536,0,1,1,149.49231995,0.8786584920657798,0.0632689047333305,146.02672269166672
1536,512,41.403764007895745,265997,24737,32743424,30207800,1.5279162809278708,0.14833589900156458,1.0,1536,0,1,1,122.17687019999998,0.8791342149860879,0.08161737531371305,146.02672269166672
2048,1024,43.792426000465085,227817,29288,38907904,30744920,1.227415323455854,0.17010324791760004,1.0,2048,0,1,1,131.98844225000002,0.7367712160750769,0.1273386325322547,146.02672269166672
2048,128,120.83095696497014,231389,26360,32481280,29802072,1.2400990705174793,0.27675254629941054,0.7938244794384142,2048,0,1,1,183.9534134736842,0.8516848727878091,0.07504213615667497,146.02672269166672
2048,1536,40.50897421174445,261984,30296,50311168,29824816,1.261735816265439,0.30476896830737243,1.0,2048,0,1,1,113.94189205,0.747350455623554,0.08113698883215392,146.02672269166672
