cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,65.37303951493045,247255,34461,38121472,30050872,1.1014709492412293,0.12817594977580057,0.8584088311961945,1024,0,1,1,155.35506114999998,0.7920338846996592,0.10035118128608034,133.3581564621848
1024,128,131.0836333878131,218058,48859,32481280,29553312,1.127935905908859,0.3031639608072308,0.6833325005909746,1024,0,1,1,195.1585155789474,0.8922714856262424,0.05511704206516992,133.3581564621848
1024,1536,46.866915922104425,226147,17487,50311168,29706768,1.3109434603111567,0.2777023085098161,1.0,1024,0,1,1,103.58479235,0.7284655097578467,0.10350373673419294,133.3581564621848
1024,2048,25.05685619763219,245812,23433,69570560,51253696,1.7029547433706012,0.28161113582282304,1.0,1024,0,1,1,60.388650199999994,0.7679311598482216,0.1143988462424509,133.3581564621848
1024,256,62.32146946878463,260217,27694,32743424,29507768,1.0671594990167068,0.1706227255069297,0.6732918272946987,1024,0,1,1,198.06887749999996,0.8920062689834094,0.043085247628798805,133.3581564621848
1024,512,42.809192806056615,210397,58183,32219136,29722480,1.1447376782770458,0.10215188735661482,0.7625201691098754,1024,0,1,1,174.89131680000003,0.8548439790572923,0.07987969118148308,133.3581564621848
128,1024,101.1430976264577,320824,43305,39694336,29975952,1.074726730777791,0.33067844344102393,0.7384057530150553,128,0,1,1,180.60281345,0.7868555962870436,0.11823010990938106,133.3581564621848
128,128,249.6968691037161,282729,42885,32481280,29878512,1.060443828638966,0.38423279242137287,0.4871372528442008,128,0,1,1,273.7588958421052,0.8712647580227539,0.06868844302933319,133.3581564621848
128,1536,53.438646065549904,264882,47474,50573312,30682800,1.2910087629947096,0.2998007878266516,1.0,128,0,1,1,108.33441945000001,0.7178091301895598,0.11997201574472761,133.3581564621848
128,2048,29.323322664919758,237991,40197,68259840,51172320,1.7813337223899606,0.3062319941921463,1.0,128,0,1,1,58.302770999999986,0.7202345428463666,0.11193824501848133,133.3581564621848
128,256,33.61056364852729,192066,49913,33005568,29964392,1.3096566940953567,0.21159339036915878,0.9138566675244937,128,0,1,1,145.9289637,0.8468187244320289,0.06290785739925002,133.3581564621848
128,512,36.290257394439095,216261,52042,33267712,29777720,1.4977839955059733,0.15551661949808063,1.0,128,0,1,1,118.46109314999997,0.892099570559218,0.055727282916665115,133.3581564621848
1536,1024,66.08844887143435,365651,25672,39694336,30097496,1.09531833864717,0.16916432177944088,0.8151785090970176,1536,0,1,1,163.59380794999998,0.7733398471699579,0.09971355332391214,133.3581564621848
1536,128,49.83812080045742,302656,24397,33267712,29592552,1.1050482736175122,0.1663188273271257,0.7033852288356699,1536,0,1,1,189.59476399999997,0.8768842059866268,0.06827109862533327,133.3581564621848
1536,1536,55.045956634189146,287269,22535,50835456,29985952,1.255668550525177,0.22769188290167394,1.0,1536,0,1,1,115.93397694999999,0.7431242395815614,0.11874704704915193,133.3581564621848
1536,2048,32.71400982545087,298324,30972,50311168,30764856,1.90558051533113,0.2545084508887722,1.0,1536,0,1,1,52.627625400000014,0.7457838778760612,0.09295970464340533,133.3581564621848
1536,256,37.68336769797801,246224,38578,32743424,29689288,1.3647380610694342,0.22517774567066548,0.9361976708417633,1536,0,1,1,142.44658005000002,0.882425517744385,0.028242831040628507,133.3581564621848
1536,512,41.683990211495214,250695,43668,32743424,30057680,1.4667835038228965,0.21311384415053136,1.0,1536,0,1,1,124.40978924999999,0.8692474290671269,0.07875385289919039,133.3581564621848
2048,1024,53.50917355437792,241710,48540,39956480,30922256,1.3597014404812369,0.28867721639987826,1.0,2048,0,1,1,108.31742679999998,0.8060391535548941,0.10929787115300076,133.3581564621848
2048,128,160.87259656691947,268942,56190,32743424,29951504,1.0652025543770522,0.24800567478775723,0.6149113012223528,2048,0,1,1,216.87380960000002,0.8813843040116975,0.059274671367077085,133.3581564621848
2048,1536,47.788242846778495,218069,51406,67735552,51897448,1.4225437281034814,0.25627741340352356,1.0,2048,0,1,1,95.72969945000003,0.7799448773560929,0.11229740122843991,133.3581564621848
2048,2048,25.033915682675122,207638,40313,68784128,51191832,1.7213494565230814,0.28499906243596035,1.0,2048,0,1,1,58.441356299999995,0.7458471779443436,0.08988789543120901,133.3581564621848
2048,256,39.79247665392162,252785,31950,32743424,29797352,1.3241854588208526,0.1605774949494634,0.8898401046337303,2048,0,1,1,149.8675501,0.8405901404871365,0.06584166105571694,133.3581564621848
2048,512,49.65378038363217,298515,28059,33005568,30186944,1.1588345744263049,0.169347509297873,0.7656768933962261,2048,0,1,1,174.1702768,0.8677465143779408,0.06206229579041815,133.3581564621848
256,1024,75.50160664890427,259777,18006,38121472,30742736,0.9895487538370386,0.20640112416704817,0.7055990022663868,256,0,1,1,188.99992209999996,0.7747555755064408,0.09988443788629163,133.3581564621848
256,128,57.19181787483185,313075,21169,32743424,29961928,1.1538556059668224,0.15831040597179155,0.7300221971402103,256,0,1,1,182.67685145,0.8800414819525775,0.05470412211308238,133.3581564621848
256,1536,49.377688487427996,197589,34640,37982208,15378400,1.256535274507519,0.1720181159123833,1.0,256,0,1,1,99.72059225000001,0.7182869951915916,0.1381911691198037,133.3581564621848
256,2048,27.184768053087407,244379,30658,68521984,51246056,1.9098695594244526,0.18963961001657667,1.0,256,0,1,1,52.09838714999999,0.7710898454687046,0.10642011867041934,133.3581564621848
256,256,49.48483127884391,217008,38214,32743424,30043776,1.2882054051027003,0.3004190331881356,0.9544832308625888,256,0,1,1,139.71765260000004,0.9082194433146684,0.0390694879312257,133.3581564621848
256,512,33.07802317216888,194114,45447,32219136,29784528,1.4551073345746763,0.19933942868820897,1.0,256,0,1,1,126.6029736,0.8727567164597844,0.07664058380186488,133.3581564621848
512,1024,49.76652353450189,270813,39587,39694336,30866008,1.4493599697252275,0.21365117038427311,1.0,512,0,1,1,102.49403294999999,0.7651616873817613,0.1350613633607288,133.3581564621848
512,128,150.99991330936072,250020,55624,31956992,29726832,1.3331097112571009,0.4028693569044807,0.753617504006026,512,0,1,1,176.95735005263157,0.8937953856404492,0.05541898361623275,133.3581564621848
512,1536,52.88654233389527,225833,46005,67997696,51971472,1.207241071549083,0.23733350715036525,1.0,512,0,1,1,112.26526895000002,0.7600551951838475,0.09749024007374173,133.3581564621848
512,2048,24.51129301238224,212107,31160,69046272,51212984,1.6571611816563507,0.35056731052974455,1.0,512,0,1,1,60.039092999999994,0.7523197596169107,0.09377931532347657,133.3581564621848
512,256,29.255169848074548,269092,23440,32743424,29844328,1.1785930305209626,0.1490986596851387,0.834287233611131,512,0,1,1,159.84681425,0.8731581357143433,0.05647168436299305,133.3581564621848
512,512,55.25405308557015,232741,21003,32481280,29725816,1.0593461601165752,0.15349250315798432,0.6992120594700966,512,0,1,1,190.72633925,0.8830377525101645,0.06049793358895739,133.3581564621848
