cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,6.831640079372428,3997,7987,31113216,23650160,0.8677406123896704,0.18995201024779976,1,1024,0,1,1,8.7244153,0.6632515619873333,0.060098269472978756,9.975420750000001
1024,128,10.772262971792943,22378,23,18841600,14326792,0.9160449473669783,0.20230226619105815,1,1024,0,1,1,9.902859899999997,0.8361912058778078,0.031983949470115715,9.975420750000001
1024,1536,7.14402780068812,8979,222,39374848,23522304,0.9462506334686948,0.21068681802427694,1,1024,0,1,1,8.78351385,0.534369746619064,0.07006191026999017,9.975420750000001
1024,2048,3.4731007457468737,4123,4010,39374848,23567664,1.1049627373168578,0.12332936299377932,1,1024,0,1,1,5.72947425,0.5552564004781182,0.0643221774298601,9.975420750000001
1024,256,7.809367456926881,20765,3400,18841600,14328368,0.9884707884632681,0.23606424180151142,1,1024,0,1,1,7.6852703999999985,0.8137291901559808,0.03167547931588326,9.975420750000001
1024,512,7.9432791262691715,19015,7711,18841600,14338064,0.8545909759894676,0.18494005841685604,0.861318108830193,1024,0,1,1,11.581575549999998,0.8314446352692155,0.03293348437865646,9.975420750000001
128,1024,12.58895655425057,11635,32,31117312,23654760,0.7450752059873905,0.2378652587719454,0.5466114530373907,128,0,1,1,18.2495641,0.6507733944731253,0.04736327665829125,9.975420750000001
128,128,9.319331399526408,10634,445,18841600,14332504,0.7329563077332084,0.21719557710706625,0.6066720104665025,128,0,1,1,16.442856400000004,0.8217859653325682,0.029008532336508446,9.975420750000001
128,1536,9.216918963659346,11824,35,39374848,23707936,0.8842797573075118,0.2040671859681907,0.8980685413102505,128,0,1,1,11.107638549999995,0.5146620703881337,0.05226306456612637,9.975420750000001
128,2048,2.414247095702954,7741,31,39636992,23559440,1.0979649768522555,0.4651820545714988,1,128,0,1,1,5.79509555,0.5591094847330129,0.06243930079786072,9.975420750000001
128,256,6.174176241347711,18016,9368,18841600,14334384,0.9809819097283861,0.20827106121648759,0.8216149015927242,128,0,1,1,12.1412364,0.8170152213611337,0.020973220450419584,9.975420750000001
128,512,7.314364320029469,10994,27,24944640,20618912,0.8280320429648128,0.27052443671174375,0.6984594654103311,128,0,1,1,14.282032449999999,0.8632648166818562,0.02187028948388528,9.975420750000001
1536,1024,15.322333094046622,11976,34,30855168,23565784,0.7997313787251653,0.22006279160349282,0.8179387222876524,1536,0,1,1,12.1958045,0.6563929378681929,0.058953733113276854,9.975420750000001
1536,128,8.80712380151746,19337,3219,18579456,14320608,0.8802441121769773,0.2324928286753402,0.7727300249667256,1536,0,1,1,12.90932205,0.8261665213367054,0.028229948204095533,9.975420750000001
1536,1536,7.599251615734831,11196,27,39370752,23591000,0.9523186432378958,0.23391604268586608,1,1536,0,1,1,9.256248599999997,0.5155361715196445,0.05717797712574771,9.975420750000001
1536,2048,3.423043176441809,8574,67,39374848,23719200,1.1067451559423291,0.07966139494990555,1,1536,0,1,1,5.28146315,0.537263970858691,0.06328872418727166,9.975420750000001
1536,256,6.042582536932561,25796,0,18841600,14314928,0.9707356472521186,0.2252337347541932,1,1536,0,1,1,9.312676450000001,0.8194844535945652,0.02433446414532574,9.975420750000001
1536,512,7.842864240348777,15525,3896,18841600,14310232,0.9984515321468944,0.2745699183197538,1,1536,0,1,1,7.79007225,0.8108426363609714,0.02137934626749199,9.975420750000001
2048,1024,9.564823616885356,7818,18,30855168,23612240,1.009452165834013,0.18334955115777044,1,2048,0,1,1,8.563170450000001,0.6526783224575643,0.05690042646423577,9.975420750000001
2048,128,12.297618748323725,8868,4145,24948736,23052888,0.785495452344377,0.2419409964301251,0.7741950336222216,2048,0,1,1,12.884893749999998,0.8496248139176281,0.03296470434061537,9.975420750000001
2048,1536,8.06932222731528,9292,286,39636992,23539168,1.076072347447121,0.17464518074916743,1,2048,0,1,1,8.5565893,0.5301102780558283,0.06066387529388679,9.975420750000001
2048,2048,4.950553378064884,8130,34,39108608,23537944,1.1166424127216326,0.152418205991543,1,2048,0,1,1,5.795069149999998,0.5516627848588239,0.0671126497835834,9.975420750000001
2048,256,13.503150333898473,8754,4068,24424448,20652232,0.8705789795829911,0.24132877138152742,0.73135063338287,2048,0,1,1,13.63972395,0.8334984105332713,0.03741648718619272,9.975420750000001
2048,512,8.42626310448411,19104,3206,18841600,14337032,0.9247569609749873,0.30574358831760257,0.9579704335065043,2048,0,1,1,10.413077900000001,0.8126665077781666,0.02466435652302854,9.975420750000001
256,1024,8.941735619720555,9821,3888,30593024,23664168,0.7713237560329161,0.20396143478702697,0.650335980364033,256,0,1,1,15.338872599999998,0.6445801581610618,0.05649990287665761,9.975420750000001
256,128,10.389048136373201,10875,435,18579456,14324728,0.7221657632907366,0.2600461511086285,0.6811645033128755,256,0,1,1,14.64465735,0.844994850199963,0.032090799343555895,9.975420750000001
256,1536,13.171725628817352,4102,4086,39374848,23532360,0.8513499973741012,0.22704313147727478,0.8609630953572471,256,0,1,1,11.586351150000002,0.5222129512515846,0.060090427155878146,9.975420750000001
256,2048,6.621864405520965,8129,36,39370752,23413688,1.088598636535663,0.17765881912100057,1,256,0,1,1,6.93994885,0.598003634015426,0.09536040683037987,9.975420750000001
256,256,5.185549920982347,19560,3923,18841600,14323856,1.024242580722467,0.29721498286890086,1,256,0,1,1,8.729345849999998,0.8140540273312258,0.020569076330621078,9.975420750000001
256,512,8.783760082000944,10704,30,24944640,20628544,0.8499203168759891,0.23319322314206958,0.7673969247559589,256,0,1,1,12.999036649999999,0.848349813916722,0.03138096161162959,9.975420750000001
512,1024,9.618374611421252,15496,7713,25268224,14398120,0.8363387348536598,0.3670544097029634,0.7371735330998462,512,0,1,1,13.531984399999999,0.6525893549146945,0.049459915032826256,9.975420750000001
512,128,9.31774589146154,6359,4352,24944640,20602728,0.7921888734219834,0.2419735626413639,0.7751573225192089,512,0,1,1,12.868898300000003,0.8310699373526893,0.03326470943401671,9.975420750000001
512,1536,9.03353365995025,966,7517,38846464,23561296,0.9971515359584038,0.25064404869986284,0.8501699151645473,512,0,1,1,11.733443600000001,0.5319985417650133,0.0630073219070901,9.975420750000001
512,2048,8.306873839627716,5197,4196,39108608,23530368,1.030362232997547,0.13240498621796284,1,512,0,1,1,7.72566745,0.543780850694302,0.060408255887510434,9.975420750000001
512,256,9.204707489099414,17100,5165,18579456,14327320,0.9912640393359531,0.29569346264988844,1,512,0,1,1,9.8606725,0.812205218189496,0.020303600689026757,9.975420750000001
512,512,13.988123246533341,19072,3835,24944640,20588112,0.8739932327189113,0.514281799729135,0.6463818637577552,512,0,1,1,15.432705200000001,0.844014524583921,0.03096842066275048,9.975420750000001
