cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,575.4311708032768,1676528,158079,43438080,33455760,0.8776595632755757,0.21136955907527866,0.6534757306143537,1024,0,1,1,319.2749539,0.8389305768945947,0.03094385095120526,208.63843376666662
1024,128,843.6001892294532,182891,14200,37535744,34479280,0.8336862077211524,0.11847274957336773,0.3831089922745417,1024,0,1,1,544.5928912500001,0.927147112491479,0.013998200802553441,208.63843376666662
1024,1536,369.35019191690776,1714103,116349,52482048,39556680,1.0738860824761862,0.19473272589468477,1.0,1024,0,1,1,186.38431645,0.7190576237170603,0.04228878694445523,208.63843376666662
1024,2048,208.4029311037523,1472528,121536,52219904,38491984,1.1440499541805438,0.13243113269376697,1.0,1024,0,1,1,81.5231165,0.7453488758682105,0.03274266846051751,208.63843376666662
1024,256,358.6344422776085,1602961,85463,35700736,33258152,1.020026862888662,0.19856457773539898,1.0,1024,0,1,1,180.34485610000004,0.9264762415659558,0.02875700302344104,208.63843376666662
1024,512,561.4728330699828,1738911,122373,35962880,32541808,1.0029937211999143,0.10008632255252807,0.6876740724868529,1024,0,1,1,303.39726640000003,0.9340722937955552,0.012358522501335177,208.63843376666662
128,1024,540.5338446474188,1728497,116299,42913792,35432128,0.8983601360241866,0.24210446677086947,0.6637833189440633,128,0,1,1,314.31707879999993,0.8314519780381782,0.03850354258630282,208.63843376666662
128,128,610.469548359561,1833501,179659,35700736,32905024,0.9518922779551872,0.16720537948760328,0.6335774371856142,128,0,1,1,329.30218394999986,0.9313367881588659,0.013286041415278886,208.63843376666662
128,1536,351.3416001505494,1480587,120134,52219904,34495624,1.0372763439929011,0.19706884856132859,1.0,128,0,1,1,174.5668536,0.7204956548974778,0.05648370848373083,208.63843376666662
128,2048,206.56284664227988,1452058,95976,52744192,42115952,1.146938015468058,0.13619660499279904,1.0,128,0,1,1,90.37177675000001,0.7503226015354059,0.04421008062043762,208.63843376666662
128,256,364.9420656317243,1606520,115156,36225024,32930584,1.1307107766218434,0.2824222455363902,1.0,128,0,1,1,181.9399038,0.9122768231161617,0.05200119170740876,208.63843376666662
128,512,367.04290200510934,1620193,127719,36487168,33255472,1.2021060881378722,0.3137182856072431,1.0,128,0,1,1,179.55441325,0.9110425901839612,0.04596044513150348,208.63843376666662
1536,1024,393.0851291004093,1845347,95754,43962368,35042680,1.0918133001046444,0.15088935475556126,1.0,1536,0,1,1,187.6266123500001,0.8446220104871582,0.026656276813451143,208.63843376666662
1536,128,575.7675564661241,1845013,165205,36225024,33493528,1.0475794053802083,0.12566289923978138,0.6675755919714338,1536,0,1,1,312.5315489,0.931334301275197,0.015522154453377592,208.63843376666662
1536,1536,334.9309042449683,1590568,111169,51433472,40909864,1.0154718130829121,0.1941466599531346,1.0,1536,0,1,1,168.88554095,0.7337172261019647,0.048163111512353037,208.63843376666662
1536,2048,186.32577479282173,1308836,98324,50909184,40012360,1.133800934052461,0.16388871270379937,1.0,1536,0,1,1,93.76116409999999,0.7501150847645924,0.0464659258686104,208.63843376666662
1536,256,340.47738613690615,1497118,134333,35700736,32869176,0.961158978098166,0.21668761185855973,1.0,1536,0,1,1,179.46570055,0.9325464435443684,0.011596663453677823,208.63843376666662
1536,512,597.322080384682,1741584,147034,35700736,32723560,0.9948230702757488,0.20362357210443144,0.677446821450053,1536,0,1,1,307.97758164999993,0.929919877785504,0.011230427578603458,208.63843376666662
2048,1024,580.7215299952346,1593756,119589,43175936,33956040,0.9437034975792862,0.17055938564246714,0.6349546661254886,2048,0,1,1,328.58792115,0.8235300988863765,0.03732005925856927,208.63843376666662
2048,128,602.2432881930871,1685939,136699,36225024,32965216,0.97926718266006,0.1780057837259003,0.6251972071964009,2048,0,1,1,333.71619605,0.9316659372429881,0.01141355524031456,208.63843376666662
2048,1536,329.3855694377924,1685666,95561,52482048,35658808,1.0746051777776002,0.16704601452442436,1.0,2048,0,1,1,179.26456824999997,0.7217065236039315,0.043972798565484125,208.63843376666662
2048,2048,190.5203999966365,1419191,73853,52219904,38753280,1.0954585537256059,0.18695798976031316,1.0,2048,0,1,1,78.79286679999998,0.7581271780389996,0.03464466771661805,208.63843376666662
2048,256,348.8224289493595,1687065,90867,36225024,33014320,1.0883843900508994,0.15690182320586957,1.0,2048,0,1,1,157.73435860000004,0.931146865205203,0.009262241341360103,208.63843376666662
2048,512,381.6133529513452,1676482,144015,35700736,32687136,1.0965824843151397,0.13678607716755536,1.0,2048,0,1,1,173.73469175,0.9333295544657831,0.009653397585821644,208.63843376666662
256,1024,351.5964559512535,1509651,135914,43438080,35435048,0.9823263069442489,0.21454396309442386,1.0,256,0,1,1,168.51475854999998,0.8327403733269835,0.02264352709089789,208.63843376666662
256,128,573.6403942693305,1708940,221666,36225024,33051512,0.940658200072291,0.17519660596601072,0.7034145227040005,256,0,1,1,296.6080839,0.9342480310054679,0.009708544697796872,208.63843376666662
256,1536,347.4580521193682,1476728,176170,51695616,39185096,1.066637806596857,0.20407256969651832,1.0,256,0,1,1,159.88783070000002,0.7410703299939864,0.04858467926716592,208.63843376666662
256,2048,200.51176531763895,1424673,131276,52744192,37435984,1.1453673587614674,0.16868358185079566,1.0,256,0,1,1,82.04977475000001,0.738583408545516,0.053467957706473425,208.63843376666662
256,256,389.5687323354217,1766113,104344,35962880,32810152,1.0028677414065852,0.19812800032167732,1.0,256,0,1,1,183.51663435000003,0.9305039330516275,0.009897466131926198,208.63843376666662
256,512,541.0036964632338,1740747,127549,36225024,33124768,0.9958475174297593,0.14477493065480526,0.7029287728199453,256,0,1,1,296.8130510999999,0.9310238082377948,0.011744649848586572,208.63843376666662
512,1024,520.3409577516558,1626202,146886,42389504,36208256,0.9282530577671876,0.17827571275375198,0.6454240989415753,512,0,1,1,323.2578921499999,0.8170684061291886,0.04408804521820436,208.63843376666662
512,128,539.4326725290304,1806730,167355,35962880,32403112,0.9502681445534276,0.26418133120360254,0.6788934282602889,512,0,1,1,307.3213336315789,0.9257323855861724,0.029260663883781835,208.63843376666662
512,1536,326.9895193602085,1558335,119447,51695616,39149120,1.0302767109059867,0.2248816608359999,1.0,512,0,1,1,200.81955235000004,0.7218108348003439,0.04688105926060926,208.63843376666662
512,2048,217.55604935141412,1547272,104424,53006336,37641856,1.206765439522067,0.27328367337778053,1.0,512,0,1,1,83.70628190000002,0.7287161406471722,0.06811613002749478,208.63843376666662
512,256,347.2948265189648,1569366,137599,36225024,32406968,1.0594755362387493,0.15415542973857788,1.0,512,0,1,1,178.02954719999997,0.9311665223488976,0.011901830353185127,208.63843376666662
512,512,529.9453509474494,1689836,136940,35700736,32677664,1.0277147597106833,0.11806493255387548,0.7190312730434721,512,0,1,1,290.1660074999999,0.9311895789133855,0.010161094072502536,208.63843376666662
