cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,578.7121455760011,1865065,168658,43700224,36077048,0.35007856813120924,0.29930374923687586,0.832054012496413,1024,0,1,1,598.4950461500002,0.8397420096764808,0.02466942347280954,497.98020460833357
1024,128,539.3125209208425,1793074,212038,35962880,32805104,0.2880881379924071,0.3327826319525404,0.8097985237806716,1024,0,1,1,614.94333465,0.9237974576559654,0.010256680009208843,497.98020460833357
1024,1536,390.36949561916583,1663095,115860,52219904,36036232,0.2974477079374621,0.3664374783473,0.9752136440355929,1024,0,1,1,510.63703595000004,0.6718778891154964,0.052931210170342406,497.98020460833357
1024,2048,216.38470639648168,1355336,139732,50909184,39507264,0.24937098819415482,0.3529531990079045,1.0,1024,0,1,1,384.34985589999997,0.6940133866423568,0.0737198946424595,497.98020460833357
1024,256,444.77458270929935,1803165,138971,36487168,33071680,0.29130593996492643,0.29091991927119887,1.0,1024,0,1,1,487.5355162000001,0.9220705508289683,0.03173849034929076,497.98020460833357
1024,512,318.89118051132795,1818938,93424,36225024,33243808,0.2581620793526677,0.35475826679019384,0.8945145159703188,1024,0,1,1,556.70444215,0.9184478185604068,0.039270142093198054,497.98020460833357
128,1024,359.48487371686525,1558276,140487,43700224,34087992,0.3334842161426272,0.31479097359283337,1.0,128,0,1,1,453.08228369999995,0.8160583062599066,0.048436162890622185,497.98020460833357
128,128,613.7405714959343,1672495,207814,35700736,32483824,0.34975266454586085,0.30338680732027895,0.8476009175799445,128,0,1,1,587.5173023999998,0.9290081043029531,0.01078008075626086,497.98020460833357
128,1536,322.2989890187754,1549063,120082,52482048,35348336,0.37535595669224336,0.4352226764853028,1.0,128,0,1,1,448.88664170000004,0.6844769497286338,0.0473269425862654,497.98020460833357
128,2048,195.5442998983304,1290655,116610,51957760,33798720,0.272681898103313,0.3661514599733782,1.0,128,0,1,1,338.379278,0.7232077189879058,0.05315173005800219,497.98020460833357
128,256,327.94520475634107,1588693,142426,36487168,32993624,0.29750970647013836,0.3546459645692336,0.9824138559277927,128,0,1,1,506.8945247500001,0.9261186363185514,0.013368522613879897,497.98020460833357
128,512,563.2573099729191,1700766,80984,35700736,32423544,0.3080392950603409,0.33238719348429685,0.8543627277046727,128,0,1,1,582.86742675,0.9273132727789981,0.008356234583720354,497.98020460833357
1536,1024,543.7719083789367,1758551,149372,43962368,34917040,0.33607527132423753,0.31164250213576355,0.860577002090771,1536,0,1,1,578.65850865,0.8184981817536254,0.03954003396301757,497.98020460833357
1536,128,660.4915489872908,1802041,205660,35700736,32157768,0.35973357744783563,0.3054533883663248,0.820416884972236,1536,0,1,1,606.98434385,0.9269635631406231,0.011454439780503103,497.98020460833357
1536,1536,350.0129599371255,1505669,146634,51695616,35966976,0.33969595224199434,0.34938394926994415,1.0,1536,0,1,1,419.13567004999993,0.6845383852263452,0.040440108460709626,497.98020460833357
1536,2048,237.97398851318002,1292151,96043,51171328,34011856,0.28452462723255334,0.2619923444874414,1.0,1536,0,1,1,399.6457744,0.7148548077440477,0.053553355258340936,497.98020460833357
1536,256,337.2462078391705,1804397,125237,36487168,33019400,0.3330121348988119,0.34903423247013915,1.0,1536,0,1,1,486.0457404500001,0.9234791359225809,0.032586957159334316,497.98020460833357
1536,512,594.5051437058277,1709885,144935,35700736,32445632,0.3394452383598846,0.2985390421589402,1.0,1536,0,1,1,497.41119025000006,0.9244542417799944,0.010537228227181799,497.98020460833357
2048,1024,504.76459815080227,1619241,104920,42913792,36244120,0.3304902557239189,0.32084844274944113,0.8036854445658524,2048,0,1,1,619.6207831999999,0.8085571281149297,0.047160208452546856,497.98020460833357
2048,128,649.1024163337846,1687729,202237,35700736,32645872,0.38656475325915857,0.2979374172467359,0.903722111168901,2048,0,1,1,551.0324451,0.9253818146071131,0.011165190690051188,497.98020460833357
2048,1536,304.0705892002979,1434902,109662,51695616,33916840,0.3324060349915348,0.34990732093496923,1.0,2048,0,1,1,487.65039715,0.6891285415278021,0.04061692915710776,497.98020460833357
2048,2048,223.1546003561977,1328021,116447,51695616,34199192,0.2820148086962923,0.29425213436327646,1.0,2048,0,1,1,393.60383465000007,0.6861899994252803,0.05235272926424068,497.98020460833357
2048,256,424.93695350728774,1658114,138515,36225024,33376176,0.303737608482667,0.312554951708744,1.0,2048,0,1,1,411.28447589999996,0.9329434868554809,0.009608947834228814,497.98020460833357
2048,512,364.02571071420067,1577641,120530,35962880,33140640,0.31982347179279735,0.3737427933349528,1.0,2048,0,1,1,431.3317162,0.9241573361162997,0.035355622049937294,497.98020460833357
256,1024,423.99997355891765,1630150,113026,43962368,34012840,0.2532749695050257,0.2947622020631188,0.9787772238406256,256,0,1,1,508.77788375,0.8275763904824311,0.02187710408950024,497.98020460833357
256,128,772.8534728867496,1898670,200427,36487168,33261296,0.30471139603469183,0.2965692249839645,0.6818735361955114,256,0,1,1,730.311675368421,0.9147560164784765,0.046494430684496886,497.98020460833357
256,1536,375.0824110531845,1756885,132321,52744192,38190656,0.3006436231771742,0.3443230970817087,1.0,256,0,1,1,444.9655411,0.6622557734967176,0.04745943267848624,497.98020460833357
256,2048,216.27344906725978,1364936,113614,51171328,38670304,0.24464692972720137,0.27590238464329264,1.0,256,0,1,1,459.20243270000003,0.7123526070631273,0.06281015954433504,497.98020460833357
256,256,339.57191571874085,1548551,119315,36225024,32885992,0.2976911423003912,0.32428062641019567,1.0,256,0,1,1,434.7627563000001,0.9167986912184354,0.046702157287092684,497.98020460833357
256,512,525.0918124546878,1756564,147613,35962880,32965648,0.32843270377614303,0.3543483314465699,0.9565708740922438,256,0,1,1,520.5889266500001,0.9301159018003549,0.01023676479731695,497.98020460833357
512,1024,571.2802442696984,1926921,139457,43962368,34035880,0.3581457960066926,0.3165154115317885,0.8443987416229625,512,0,1,1,589.7453182500001,0.8143079439883472,0.04566267266872933,497.98020460833357
512,128,647.3918238542029,1663411,175924,35438592,32510232,0.34299148337575924,0.3197161665755243,0.8117266905211107,512,0,1,1,613.4826049500001,0.9275977198223757,0.010987559866059707,497.98020460833357
