cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,106.13355485028846,335175,49379,39170048,29649888,0.7059104862048937,0.14440729022202395,1,1024,0,1,1,331.2975381,0.8289399319719092,0.0732965714193529,477.402814412844
1024,128,870.8563745420189,390379,45533,32481280,29588936,0.40222986714852277,0.1748793266700434,0.36034519944894555,1024,0,1,1,1324.8485484,0.9145264140463606,0.009038550768938792,477.402814412844
1024,1536,59.870765282059516,253524,41268,68096000,51720288,1.3411462698063763,0.23453006058266482,1,1024,0,1,1,139.95896164999996,0.7141527647934784,0.11766480857223294,477.402814412844
1024,2048,35.20602066286161,298846,67634,49786880,30335800,1.4348221958232068,0.15538701905297764,1,1024,0,1,1,103.77106260000001,0.7336538287325803,0.08760327805313797,477.402814412844
1024,256,254.37302930077277,339094,50915,31694848,29561832,0.5104335817132339,0.20692205616939063,0.6651456430592456,1024,0,1,1,717.7417748947367,0.9201045097707731,0.02267769548181403,477.402814412844
1024,512,149.33983437561528,344468,50004,32481280,30218688,0.4456601234039975,0.09021917973963518,0.6994515232343383,1024,0,1,1,682.5388158499999,0.9014656669421728,0.04960313415535186,477.402814412844
128,1024,100.58871477571518,217045,45917,37072896,29990792,0.7739753553595305,0.14209444572502497,1,128,0,1,1,340.9898592,0.7947154135447806,0.0818042941654503,477.402814412844
128,128,919.4177559061071,371186,53985,31956992,29620920,0.2716234384660836,0.10923960366174733,0.2755981720004718,128,0,1,1,1732.2423111428573,0.9215896800025237,0.010724307750040522,477.402814412844
128,1536,83.04052588796581,364181,42864,50049024,29790720,1.0217087085337002,0.1079304253308359,1,128,0,1,1,198.1563685,0.7290736819972762,0.07989035371060028,477.402814412844
128,2048,69.24390369746347,411652,18356,50049024,29855280,1.2671069511156916,0.1552993311509675,1,128,0,1,1,149.77887815000003,0.7231369412378317,0.13413714069304958,477.402814412844
128,256,264.1132556177934,321496,37486,32219136,30108336,0.31845719522270416,0.05210025942018062,0.3973187630129789,128,0,1,1,1201.5612119411765,0.9227865324875466,0.008811355346667056,477.402814412844
128,512,169.66314714381284,258876,26452,32481280,30076560,0.43391563503926767,0.1247606500805207,0.6648690088940568,128,0,1,1,718.0404079999998,0.913607384842559,0.028160494161255673,477.402814412844
1536,1024,116.28849772270675,334294,34443,36548608,30066824,0.8151017810541049,0.13397145990950013,1,1536,0,1,1,291.91190199999994,0.817666424702988,0.10208890536415993,477.402814412844
1536,128,751.2782716579785,380847,55200,32481280,29656584,0.2766094275922553,0.17227349073807108,0.24679709594379046,1536,0,1,1,1934.3939708333335,0.9197320080065648,0.004996127308065417,477.402814412844
1536,1536,78.5523745025601,396383,38646,49786880,29768464,1.0809852134074343,0.12895593840831412,1,1536,0,1,1,194.16979150000003,0.7193175829776249,0.12573045554105605,477.402814412844
1536,2048,39.28000273201714,263228,21517,37720064,15475392,1.205045363117525,0.2042105829104543,1,1536,0,1,1,148.46601015000002,0.7213286229791397,0.12398862700495887,477.402814412844
1536,256,216.18931430084817,286384,23142,31956992,29601752,0.5581304389536594,0.18360016864691697,0.7424227849459165,1536,0,1,1,643.0336246315791,0.9064353775975255,0.046696025492640646,477.402814412844
1536,512,155.6028129846826,268108,35964,31956992,29546528,0.4826298149379816,0.05903749000323232,0.6949284224929065,1536,0,1,1,686.981276,0.8862309157089896,0.06979176924129415,477.402814412844
2048,1024,118.36367796406047,363656,36235,39170048,30345664,0.8046400600359025,0.12883015803395023,1,2048,0,1,1,303.16446190000005,0.7877060817118908,0.07615895127350009,477.402814412844
2048,128,725.0502169497986,368513,43641,32481280,29653456,0.44155597334645247,0.1625873317216682,0.42430483690760606,2048,0,1,1,1125.1411081999997,0.9120251775752035,0.008448488823935934,477.402814412844
2048,1536,63.86761055780969,297663,33654,42971136,31165216,1.060435146955738,0.113646713462859,1,2048,0,1,1,200.0441495,0.7255811302732857,0.1164605217916414,477.402814412844
2048,2048,66.77166851754605,312269,46291,42708992,31187280,1.25756866944281,0.11801668939388041,1,2048,0,1,1,149.43774309999998,0.7739685780177645,0.09710961055922064,477.402814412844
2048,256,392.86244175857956,318899,46553,32743424,29475152,0.483294036183129,0.22132747866878388,0.5490675607248631,2048,0,1,1,869.47918355,0.9151716313671721,0.01811524248996208,477.402814412844
2048,512,92.07059315117793,337216,46716,32219136,29739616,0.7049315660862552,0.2547118807661257,1,2048,0,1,1,458.41301055,0.8863902900319912,0.04959928724217849,477.402814412844
256,1024,130.91539180576888,285238,36186,36548608,29972016,0.8020998597019531,0.12320567392028088,1,256,0,1,1,316.75283585,0.8006595970885833,0.08945924850014444,477.402814412844
256,128,296.59458274695317,295540,43712,32481280,29543408,0.2689438786661113,0.07491705904364294,0.3109761373607009,256,0,1,1,1535.175073125,0.9178226237755037,0.00899263585411858,477.402814412844
256,1536,71.24941174990623,298391,39310,37720064,15478832,1.0921657362140142,0.1573091679421429,1,256,0,1,1,178.9513347,0.7574683095717067,0.10580428301393811,477.402814412844
