cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,131.21271979506957,368649,35587,28413952,15641792,0.861036402318556,0.13238814327240578,1,1024,0,1,1,375.77762805,0.7582000957757062,0.10348270490372102,600.6962197745098
1024,128,1114.240199026887,337119,40640,32481280,30134640,0.49034481014026393,0.32937220759113817,0.3811952995087128,1024,0,1,1,1575.822735875,0.9243194418677138,0.010523760082601056,600.6962197745098
1024,1536,68.94213252228288,389915,53361,36933632,15795896,1.3798696659015346,0.21550697065288255,1,1024,0,1,1,189.86505670000003,0.7296137164471228,0.1103000033562093,600.6962197745098
1024,2048,32.57945898944609,295570,49698,49786880,30105544,1.6115811647896092,0.23948294607898166,1,1024,0,1,1,133.35546079999995,0.7385215951507977,0.09040649609312387,600.6962197745098
1024,256,435.1692186150267,471784,33353,32481280,30230712,0.40999517653643075,0.16088917711627984,0.4969278691963146,1024,0,1,1,1208.8197442941178,0.922253460247916,0.010748766472564258,600.6962197745098
1024,512,179.15144811228234,378514,28249,32481280,29894592,0.4967898679722286,0.139692382567681,0.8259000915279663,1024,0,1,1,727.3231059500001,0.906104775029872,0.03261167405094232,600.6962197745098
128,1024,139.98490103844955,478163,47131,39170048,31148920,0.7664788623930103,0.13715684942376313,1,128,0,1,1,437.65356274999994,0.778937780086543,0.09251226015360389,600.6962197745098
128,128,730.5915271147696,391894,40644,32743424,29566672,0.6004279713144959,0.3752354681496879,0.5848928118963913,128,0,1,1,1027.019323125,0.9142994056088571,0.013318601889713165,600.6962197745098
128,1536,99.92029918178186,319746,34239,67276800,51780312,1.141624644296506,0.13742178638648012,1,128,0,1,1,241.23557234999998,0.7253886305655302,0.12259244074296644,600.6962197745098
128,2048,67.95689600733661,385627,32136,50311168,30108320,1.301776475922159,0.18128840775615146,1,128,0,1,1,190.76313075000002,0.7779616013924255,0.10685033968345749,600.6962197745098
128,256,489.05557842624114,346085,34984,32743424,29932304,0.30564028476707145,0.09549657340944273,0.4034552147572733,128,0,1,1,1488.8795529285712,0.9244204433402047,0.011204033885974612,600.6962197745098
128,512,196.39367825970996,389097,34908,32481280,30321936,0.49960814006998727,0.08772237784986041,0.8107928981229287,128,0,1,1,740.8750386999999,0.9164540954921103,0.019269137688158484,600.6962197745098
1536,1024,117.93191444345295,337419,29375,36810752,30436648,0.8451360563645203,0.1647366227390279,1,1536,0,1,1,421.47233990000007,0.7517393944074062,0.11666434036259002,600.6962197745098
1536,128,636.2781249407279,456093,32700,32481280,29961960,0.5689770660831647,0.3054288731588855,0.5836633892510338,1536,0,1,1,1029.1826262142856,0.9210229388721055,0.008756036303813965,600.6962197745098
1536,1536,58.15173767912013,338719,59542,68587520,52011952,1.3948831239561899,0.19128035879493838,1,1536,0,1,1,167.11438325,0.7353513192216199,0.11409061010858895,600.6962197745098
1536,2048,42.18323863887467,369759,25319,50049024,31148760,1.635382184784112,0.2980937491197112,1,1536,0,1,1,124.85622684999998,0.7315246699250767,0.10738894024331092,600.6962197745098
1536,256,428.75182487683077,342126,34410,32481280,30193352,0.5765988605037893,0.2715624708631943,0.6891699503821471,1536,0,1,1,871.6227680000001,0.9082246107627524,0.03638274260946855,600.6962197745098
1536,512,226.08833308237465,367012,39918,32743424,29655432,0.4583069978260486,0.07924723375777569,0.6793999886702352,1536,0,1,1,884.1569470000001,0.8791646078457516,0.0729600308292346,600.6962197745098
2048,1024,124.41337386364084,430004,50948,37859328,30314432,0.9208040864634526,0.08055969915975866,1,2048,0,1,1,342.16690179999995,0.808956527242756,0.08789254316927003,600.6962197745098
2048,128,717.5956341145728,359622,43500,32743424,30149176,0.463285109043616,0.22952439324982457,0.46836039169379784,2048,0,1,1,1282.5512798000002,0.9232116398040687,0.0123909877144603,600.6962197745098
2048,1536,77.9342612338832,398591,56750,51097600,30557128,1.3114551979858622,0.18767978555662038,1,2048,0,1,1,199.9836808,0.7031753854909637,0.12347111871368428,600.6962197745098
2048,2048,32.28213013996874,313414,40204,50573312,30625992,1.638957656351765,0.33125228146718066,1,2048,0,1,1,127.57607149999998,0.7623478238958793,0.10076788292765944,600.6962197745098
2048,256,382.9794207176445,458399,41654,32743424,30054056,0.44907347681093357,0.19771929024457965,0.5414069462259828,2048,0,1,1,1109.5096285000002,0.905402264561779,0.05097036606204488,600.6962197745098
2048,512,203.57468360955932,447480,32486,32481280,30036888,0.45694323467586845,0.06770925138061093,0.7405483828340753,2048,0,1,1,811.1505388421052,0.9143140764476871,0.037448622459380514,600.6962197745098
256,1024,117.18277736473377,377491,24263,39694336,30000688,0.8917128806994059,0.11934336158893431,1,256,0,1,1,350.0472542,0.7821796671394271,0.10511647132398097,600.6962197745098
256,128,860.1191482911232,359091,55900,32481280,29582160,0.47874601463556476,0.3057831127416203,0.4323346238410014,256,0,1,1,1389.4242714999998,0.9149392579528026,0.009987571499244893,600.6962197745098
256,1536,59.06359413567224,317329,38416,50311168,31052720,1.4487351867553133,0.23610070197391367,1,256,0,1,1,167.50646934999997,0.720867726655159,0.12518976352634278,600.6962197745098
256,2048,43.100165552162274,319552,26248,49524736,30135912,1.5897016894433649,0.24864667148149472,1,256,0,1,1,133.0321077,0.7186389295890705,0.10949475042976871,600.6962197745098
256,256,329.6874671958394,430829,51714,32219136,30276936,0.30203711141796313,0.04503788506616463,0.417844922016452,256,0,1,1,1437.6056477500001,0.907139263836226,0.05651374089058025,600.6962197745098
256,512,226.21188001980727,461238,56596,32481280,30077576,0.4838933222807157,0.07504534616516913,0.7235399550898308,256,0,1,1,830.2184496499998,0.8861015398106687,0.06162241802116982,600.6962197745098
512,1024,167.3954444248266,312084,34248,39432192,30030064,0.8605848534810627,0.25979000885095355,1,512,0,1,1,388.82914300000004,0.7959449023506302,0.08113276396419511,600.6962197745098
512,128,938.1506235268449,397457,47437,32219136,29945592,0.4875004130496579,0.3447759831638629,0.4125062334800442,512,0,1,1,1456.2112545714285,0.9237596404195105,0.0075324331184543165,600.6962197745098
512,1536,80.40894064282452,337018,34399,50311168,31528928,1.1585605486998425,0.10420541238897774,1,512,0,1,1,222.61088950000004,0.7420109822323571,0.11524763916182473,600.6962197745098
512,2048,70.07084743796948,308474,41529,36671488,15811504,1.207923737778203,0.22759201169309784,1,512,0,1,1,214.48120649999996,0.7107763796088913,0.10089611927699925,600.6962197745098
512,256,427.66647280250567,463309,48611,32219136,30090208,0.3742998491408921,0.11667105084286512,0.4808258132655083,512,0,1,1,1249.3011048947367,0.9254649037818963,0.010608565679042939,600.6962197745098
512,512,183.20575579183597,445770,27374,32219136,30246688,0.5207198767349196,0.10110659582648994,0.7628212150983635,512,0,1,1,787.4665883499999,0.9047776955290507,0.035777112195894446,600.6962197745098
