cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,45.41107983519805,14127,7674,25006080,14909440,0.7587877517111404,0.20022316663796663,1,1024,0,1,1,70.77179489999999,0.6653914644880513,0.05867076037460469,120.17751418333339
1024,128,86.66742269225085,76198,3486,24256512,20381480,0.5638607548330637,0.291606275110475,0.7160748949849514,1024,0,1,1,167.82813505263158,0.8537370431900015,0.011049496939903725,120.17751418333339
1024,1536,39.323495884529535,58221,257,38420480,24109808,0.8361564806039844,0.13422877212304865,1,1024,0,1,1,70.00090705000002,0.5657717031396411,0.10889911913651924,120.17751418333339
1024,2048,39.75314065183278,38247,18,38944768,24094072,0.9822018697320656,0.038919561033332446,1,1024,0,1,1,58.20662444999998,0.5658994586942724,0.0906782383656807,120.17751418333339
1024,256,175.9202801374495,30700,7829,23994368,20341296,0.4326237180762701,0.2899670102941932,0.5258641090177778,1024,0,1,1,228.5334026842105,0.8485179028897116,0.013366231087066029,120.17751418333339
1024,512,64.67410252186995,84926,4654,24256512,20426256,0.5196104349538957,0.250348145174138,0.9011548274661825,1024,0,1,1,133.35945225000003,0.8605441869836475,0.01741582495278605,120.17751418333339
128,1024,59.46316218767222,11915,3984,25006080,14875920,0.7956962434423032,0.16368841005612958,1,128,0,1,1,93.1574938,0.6536456024561873,0.0487026571751598,120.17751418333339
128,128,140.68473756031395,57208,4707,24256512,20973512,0.35398981726105155,0.12916234126612028,0.4863908802255705,128,0,1,1,247.0801141,0.8523643864883527,0.01084837501052796,120.17751418333339
128,1536,40.838471807034054,16622,145,38944768,23849568,0.91078775594024,0.10190115039726547,1,128,0,1,1,49.30153925,0.547522719146418,0.09089193455691494,120.17751418333339
128,2048,21.869797694513437,53289,25,39206912,23780704,0.9673315105235923,0.08919195290550759,1,128,0,1,1,39.3289374,0.5252863001709105,0.07707676407713122,120.17751418333339
128,256,102.28674820996027,118724,1834,23994368,20460776,0.4440622633522831,0.19020406665574563,0.5662517389914832,128,0,1,1,212.23336885000003,0.8483497205060848,0.014986984708532323,120.17751418333339
128,512,83.12545567379179,38587,4,24256512,20774464,0.5156688579525637,0.21495711882657967,0.8361985338039052,128,0,1,1,143.71887694736847,0.8642811782159047,0.020863327562491693,120.17751418333339
1536,1024,43.78334033915498,71532,28,25006080,14888920,0.7758290558879153,0.12867951745601555,1,1536,0,1,1,92.82235885000003,0.6588713294189295,0.04109957589669225,120.17751418333339
1536,128,96.43586185531507,30456,5983,24256512,20991160,0.5253776739979468,0.22579716066079833,0.8007295322182727,1536,0,1,1,150.08502789999997,0.8541080177146553,0.012618861897474899,120.17751418333339
1536,1536,37.827982674492674,100824,462,34312192,15243864,0.8947435324140363,0.14726887615493475,1,1536,0,1,1,75.06727115,0.5094300614200375,0.05497220374535963,120.17751418333339
1536,2048,22.800418978356586,32178,4013,34312192,15215488,0.9897745699813397,0.03008878517007016,1,1536,0,1,1,51.7095698,0.5376190656204138,0.07356773557967271,120.17751418333339
1536,256,152.36012355529067,125504,4,24256512,20769912,0.40072238751513145,0.26779341482064706,0.47593620348811577,1536,0,1,1,252.50761195000004,0.8535439023860979,0.014354171536802464,120.17751418333339
1536,512,74.7662816571978,65290,193,24256512,20387152,0.5732426066770471,0.262475232913732,1,1536,0,1,1,98.87324545,0.8638579786456919,0.016529298187404725,120.17751418333339
2048,1024,37.370789163638925,111821,680,25268224,14890528,0.7282230058984541,0.10876404612107649,1,2048,0,1,1,109.43171674999999,0.6606363713981979,0.043033652849453076,120.17751418333339
2048,128,175.70228741233782,61651,3675,24256512,20859240,0.5618461785076228,0.28794036784651406,0.6372148909234825,2048,0,1,1,188.59809445,0.8544026978918868,0.01094045065711904,120.17751418333339
2048,1536,43.21937441178576,110735,35,39469056,23871224,0.8434751013295593,0.12745232741624885,1,2048,0,1,1,79.26487095,0.5317854464176239,0.07358459327756912,120.17751418333339
2048,2048,26.245465148728467,84504,5,38944768,24923976,0.9930269738281725,0.07335566988782045,1,2048,0,1,1,35.076754099999995,0.5349458891559077,0.0726112466517733,120.17751418333339
2048,256,83.9859775979529,74145,1639,23994368,20514256,0.5652232945974948,0.2715334748497556,0.7498671421138166,2048,0,1,1,160.26507554999998,0.8591568051209446,0.013267056567691664,120.17751418333339
2048,512,104.88669321259663,74690,983,24518656,20491896,0.41116525930080866,0.19894968004335217,0.6577562314668554,2048,0,1,1,182.7082868,0.8648950579777172,0.01529472293844626,120.17751418333339
256,1024,47.586111428594265,16118,156,25006080,14892864,0.8013746014879338,0.17840025326047035,1,256,0,1,1,95.3783649,0.6600093561269241,0.04068994687233719,120.17751418333339
256,128,152.8380865417904,41352,184,24518656,20435616,0.47367207504343795,0.26150893823382404,0.47578421621120254,256,0,1,1,252.58827445000006,0.8509299590764293,0.013473951444380313,120.17751418333339
256,1536,30.9320770640675,32706,76,38944768,23922720,0.8781359185008739,0.14381389283909962,1,256,0,1,1,46.90293335,0.5537183903449112,0.08664933352522701,120.17751418333339
256,2048,29.42024868270875,72435,184,38944768,23875480,0.9632039987530193,0.13492445826328264,1,256,0,1,1,46.2534774,0.527769354194777,0.07719313309075344,120.17751418333339
256,256,151.76284804450404,113678,26,23994368,20845104,0.39393106435811737,0.2694365761444669,0.4776752015089146,256,0,1,1,251.58834664999995,0.8591684759370262,0.016902103192567408,120.17751418333339
256,512,91.25377722742122,119078,32,24256512,21112312,0.48630918204036677,0.1844938728591369,0.8172608194625742,256,0,1,1,147.04915655000002,0.8649038925082786,0.013402547993937936,120.17751418333339
512,1024,38.91457224125943,35591,11218,25268224,14813648,0.7412308109457161,0.1081525517681574,1,512,0,1,1,84.91100025,0.6573100313078588,0.04197210491900332,120.17751418333339
512,128,67.50384866746563,41176,17,24256512,21015104,0.6525564694520297,0.28946496433063873,1,512,0,1,1,117.11520165000002,0.851793355894408,0.01089187694546854,120.17751418333339
512,1536,31.460039694442774,61379,207,39469056,25026992,0.8800855417992718,0.1665278864536764,1,512,0,1,1,60.736488099999995,0.5221503093065168,0.07363442043571124,120.17751418333339
512,2048,21.904292734466935,50822,0,39469056,23837784,0.9627442057949717,0.060147005056928396,1,512,0,1,1,41.2597839,0.5455591920254026,0.08352501427918116,120.17751418333339
512,256,153.33328585062532,47875,7973,24256512,21112512,0.46788091188692543,0.3089134114584236,0.5348658380372968,512,0,1,1,224.68721244999998,0.8600050792941941,0.013076507143300243,120.17751418333339
512,512,89.73450361715923,102233,11896,24518656,20783536,0.5173675432561459,0.2561755229006671,0.9018272748007227,512,0,1,1,133.26001279999997,0.8664477163905424,0.01853178182412758,120.17751418333339
