cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,62.93678396451537,76924,21285,41918464,31263592,0.8972600061473541,0.17990606492379388,0.9543812414575295,1024,0,1,1,159.76941374999998,0.7700170938564654,0.05131148072411396,152.48093144166666
1024,128,79.78227545595193,252018,37035,36950016,32990536,0.892576155304182,0.12685727815390827,0.774536998557441,1024,0,1,1,196.86720160000002,0.8847400696580221,0.024152557522557544,152.48093144166666
1024,1536,31.08006785878011,68283,27585,45117440,25462008,1.0557458184379285,0.1313320482068745,1.0,1024,0,1,1,112.9986514,0.689520596440434,0.052977597406335473,152.48093144166666
1024,2048,31.205810841263297,131707,41280,66347008,47049560,1.1229437414519796,0.10500932136253104,1.0,1024,0,1,1,95.74950335,0.6483037812343017,0.06405314551831211,152.48093144166666
1024,256,59.94842951931494,247178,43586,37474304,33307336,0.9397379178036835,0.1494445542270163,0.8866564460209868,1024,0,1,1,171.97295764999998,0.8905404754065843,0.02352602149431931,152.48093144166666
1024,512,52.4472564621416,168607,16170,45383680,41015464,1.0736573215248513,0.10120543032837205,0.8482584450480878,1024,0,1,1,179.7576344,0.8929955491986897,0.01849815723608205,152.48093144166666
128,1024,65.03606085056462,74453,3387,41492480,33376384,0.9287952699572128,0.10967208813500294,0.8689140682991966,128,0,1,1,175.4844777,0.7841289220089498,0.04018469857593918,152.48093144166666
128,128,69.85072223857469,162921,22028,27582464,23026064,0.8951966157835634,0.10968649536871497,0.8160003524923747,128,0,1,1,186.86380584999998,0.8791017783706732,0.02426014739640713,152.48093144166666
128,1536,55.33000820612725,113713,7674,45641728,25444616,1.0084601412631766,0.12441902680313531,1.0,128,0,1,1,128.61513795000002,0.684567860478907,0.061027113361095606,152.48093144166666
128,2048,26.824806364175625,111235,23828,45379584,25458928,1.1213025480874577,0.1211235978964942,1.0,128,0,1,1,92.50351355,0.6625900774891511,0.05998864645677447,152.48093144166666
128,256,85.13269981150427,148262,29,26275840,21838864,0.9280295578059198,0.11050108794484659,0.8073310901722013,128,0,1,1,188.87038205,0.8726582970735638,0.025248877355250957,152.48093144166666
128,512,60.06311933366434,174501,21061,44433408,39539400,1.0694607814155273,0.11094384715859058,0.8784170865347327,128,0,1,1,173.58602625000003,0.8825280067137266,0.02238112742163989,152.48093144166666
1536,1024,64.17582588820795,40863,7312,42467328,34819688,0.9349864764577045,0.11778293969465528,0.9637277657331328,1536,0,1,1,158.2199215,0.7627094848334377,0.046556006242072935,152.48093144166666
