cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,152.03073712971138,240770,38178,36548608,30080160,0.5212182932413618,0.19656920511818143,1,1024,0,1,1,443.32812194999997,0.7643225708461444,0.12292422567534572,458.29191696666663
1024,128,220.33677250154022,255498,39648,32743424,29696112,0.4692719459156048,0.12648318343665255,0.7690656950112866,1024,0,1,1,595.9073716842107,0.8723450909868881,0.06518214872636068,458.29191696666663
1024,1536,168.17818189490762,308021,38158,50311168,29685312,0.3977019150208924,0.12955564088834465,1,1024,0,1,1,451.19146685,0.695155811771486,0.13991820209866315,458.29191696666663
1024,2048,166.58065907259686,216408,59005,50049024,29680328,0.5092298548402399,0.22833690172206833,1,1024,0,1,1,373.8063717,0.7549683768433425,0.1050797576200754,458.29191696666663
1024,256,156.32546941707415,260968,26932,33005568,29939136,0.5566526823739175,0.20680394554846707,0.99700776044253,1024,0,1,1,459.66735180000006,0.8673375212482629,0.06951322466820259,458.29191696666663
1024,512,166.32720879484646,264449,28044,31694848,29670216,0.5526932899750873,0.1866235656881679,0.8957992559396244,1024,0,1,1,511.60113600000005,0.8857139594117852,0.05500103809279434,458.29191696666663
128,1024,164.17750293435537,352580,27121,38383616,30702536,0.4635948194280779,0.18385732070066324,0.8574163154618389,128,0,1,1,534.5033780000001,0.793696576992705,0.10425864629588243,458.29191696666663
128,128,189.92196764730986,276649,55669,32481280,29463560,0.5298829712628879,0.16457405744023093,0.9121328950320605,128,0,1,1,502.4398522,0.8791619405132304,0.061896722890348185,458.29191696666663
128,1536,147.28995595998856,306209,25699,51097600,29981536,0.4368089821391723,0.26235333201557226,0.9823720601865465,128,0,1,1,466.51562635,0.6966480063068534,0.16279513344562588,458.29191696666663
128,2048,169.2290095925725,267752,33747,49786880,29646440,0.4865442553854183,0.23224831972122453,1,128,0,1,1,397.6637315499999,0.7307108289639909,0.11671318631067722,458.29191696666663
128,256,135.61904908228354,281832,26951,32481280,29549360,0.5705709645964994,0.17572246197113495,1,128,0,1,1,437.7523018500001,0.8832937184221917,0.06524061094821385,458.29191696666663
128,512,156.67838895306878,286899,15608,32481280,29751200,0.6073932740343982,0.1606595821071922,1,128,0,1,1,410.8766118499999,0.9079270231931785,0.051464157622801106,458.29191696666663
1536,1024,148.19934146094147,260862,30844,39170048,30167000,0.49724772456378014,0.20372640228710576,0.9445672306689239,1536,0,1,1,485.18718635000005,0.7792676918916521,0.12581642383117486,458.29191696666663
1536,128,338.6996861358717,306257,27218,33005568,29596904,0.566193235461909,0.2065625827399353,0.8182543607436377,1536,0,1,1,560.0849063,0.8714406543043974,0.07382285347906863,458.29191696666663
1536,1536,117.00512581924859,320588,20080,68849664,51443216,0.44261987576898043,0.19238525095217196,1,1536,0,1,1,387.88479064999996,0.7123982655929095,0.12805524185639827,458.29191696666663
1536,2048,114.89101332703842,265080,51234,49786880,30219976,0.37888002015711225,0.1434451224335503,1,1536,0,1,1,447.13901085,0.7072038532964366,0.14056391114257713,458.29191696666663
1536,256,164.921665967161,259455,25024,33005568,29546728,0.5139942111999289,0.1809550148560446,0.98203332824107,1536,0,1,1,466.6765411999998,0.8809366722120924,0.06029213545668756,458.29191696666663
1536,512,154.00494282726154,231187,24928,32481280,29737152,0.5593019021839033,0.2336545092349183,1,1536,0,1,1,424.35386414999994,0.8877225959605077,0.0713511828178088,458.29191696666663
2048,1024,173.4579313032554,280826,22053,39956480,30055160,0.45531320507146,0.12464763889598436,0.9012089714124724,2048,0,1,1,508.53013175000007,0.7682267306094142,0.1264155021677146,458.29191696666663
2048,128,122.15765869388431,212549,45260,31956992,29599608,0.5999824743242215,0.17803831362910447,1,2048,0,1,1,416.0691871,0.8953346170082318,0.03685775499346335,458.29191696666663
2048,1536,152.78773830658596,379549,14364,51097600,30168616,0.4752931044530313,0.17709605498047376,1,2048,0,1,1,401.0809196315789,0.7462601345111468,0.10022775419897426,458.29191696666663
2048,2048,157.92975082171031,362715,40173,50311168,30638040,0.41727035714405974,0.18255016575899796,1,2048,0,1,1,403.1425908,0.7228487804884984,0.12350347471151614,458.29191696666663
2048,256,117.50482279274868,200085,36050,33005568,29468112,0.5901698821814266,0.19142101720596616,1,2048,0,1,1,394.0157911,0.88493721042899,0.05888116014020929,458.29191696666663
2048,512,151.8994562766285,224091,27285,32481280,29681248,0.5316265228876313,0.18757738299209198,0.9503326978724452,2048,0,1,1,482.2436584500001,0.8576723587810491,0.06307794794792908,458.29191696666663
256,1024,149.57364255866258,367328,23260,39694336,30702128,0.47121544296033113,0.22158956396072887,0.9464575046708082,256,0,1,1,484.21816585000005,0.7986510289803015,0.10023709397515898,458.29191696666663
256,128,182.01708769343074,238602,56331,33005568,29478264,0.5961802300963062,0.1889460978191118,1,256,0,1,1,445.9298155499999,0.8725681222220143,0.05674833215208057,458.29191696666663
256,1536,166.7866492681341,370570,32440,50835456,30690000,0.5572487812037539,0.26202057146781577,1,256,0,1,1,374.4007928999999,0.7523569021060126,0.11343608649357258,458.29191696666663
256,2048,176.5164806325637,233768,29872,68587520,50966968,0.48691872877880576,0.2094866165944466,1,256,0,1,1,375.23520680000007,0.6808336275146709,0.167708383956031,458.29191696666663
