cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,119.30389121155693,587900,82891,66711552,58878128,0.9119628127533692,0.07757689001026544,1,1024,0,1,1,531.80254525,0.7814908811824226,0.12758730006343408,871.6714056509433
1024,128,866.7992818899334,559670,45080,33529856,29570856,0.6149103635650335,0.2868915569681039,0.5922891116581043,1024,0,1,1,1471.6991896250001,0.8847233936807157,0.042367242989656044,871.6714056509433
1024,1536,74.10884036825877,515580,70503,69464064,59521264,1.2346343331818532,0.2089524186802464,1,1024,0,1,1,330.41214765,0.7360500830550707,0.10355204531428663,871.6714056509433
1024,2048,56.28837615446513,475998,67919,59486208,29938496,1.3589543771675296,0.15152495411622047,1,1024,0,1,1,251.98680144999997,0.5996436601997265,0.18266009491254653,871.6714056509433
1024,256,724.7589661586334,575620,60032,33529856,29585424,0.43830074923104767,0.18771778775470865,0.4953487248566625,1024,0,1,1,1759.7126264999997,0.8763624742238523,0.07608389365420912,871.6714056509433
1024,512,209.76048255853598,537717,68149,31956992,29352784,0.4726379422951412,0.042396257164096375,0.653801322973303,1024,0,1,1,1333.2359159,0.8759566349286043,0.08104810813475512,871.6714056509433
128,1024,122.54347662179852,554138,89322,64876544,58427904,0.9584565851234412,0.20010783195588755,1,128,0,1,1,509.44720475,0.7591502202099403,0.1522196095673555,871.6714056509433
128,128,1004.8168204279764,589655,94681,32219136,29661608,0.5523895684051576,0.24828459878047093,0.5635876485827405,128,0,1,1,1546.6474608571427,0.8933978934172899,0.03756871732682416,871.6714056509433
128,1536,74.78409831408781,514463,75849,62115840,44066416,1.5315056810435295,0.21278171684158084,1,128,0,1,1,251.22950515000002,0.6470389877046608,0.1396448513844279,871.6714056509433
128,2048,25.49314627984411,338528,47377,68939776,59366568,2.1535805173996527,0.18744503961708792,1,128,0,1,1,132.0038033,0.5048879286741821,0.20369089056766032,871.6714056509433
128,256,176.03537589618225,630752,65053,31956992,29345968,0.2547759430742124,0.019290936839567202,0.32079390769534,128,0,1,1,2717.2317950588235,0.8903140896329739,0.062043525845789226,871.6714056509433
128,512,161.43393431468147,611672,79746,32219136,29594304,0.47172030564784195,0.043752157597846904,0.6482283732087758,128,0,1,1,1344.69801335,0.881033353803328,0.08217303907428483,871.6714056509433
1536,1024,142.55895597416438,610593,76532,49131520,29642144,0.9520796621781363,0.1482497011869992,1,1536,0,1,1,540.51807625,0.7538723192643992,0.1122578802876093,871.6714056509433
1536,128,504.41769866729504,619710,81904,60809216,58094088,0.5076193496658308,0.16047808796928367,0.5604940066562789,1536,0,1,1,1555.1841684285714,0.8952197823145699,0.055045511068675015,871.6714056509433
