cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,80.57734610407815,320543,54590,28938240,15413056,1.016699221328801,0.10652337549432744,0.7969374922697426,1024,0,1,1,327.37361174999995,0.6854081132441227,0.12776124225706167,260.8963051833333
1024,128,122.7718557363949,345286,49211,26693632,21722648,0.8240251400878134,0.11890046766635054,0.5440011861373286,1024,0,1,1,479.5877506,0.8389271076888309,0.05833447722146768,260.8963051833333
1024,1536,34.71279518148113,297368,25253,58728448,42473088,1.4667513711488822,0.23113958459915718,1.0,1024,0,1,1,175.19093775,0.6750487191722618,0.11654181988671285,260.8963051833333
1024,2048,44.40176082694464,337795,75058,82608128,62367760,1.736043545456726,0.39125403774874257,1.0,1024,0,1,1,119.1239556,0.6585465957412782,0.12155661065619605,260.8963051833333
1024,256,51.1237966432972,268071,55117,49958912,47100360,1.4647412618113171,0.15428114401044307,1.0,1024,0,1,1,234.42324315000002,0.8247581126612118,0.07468579534215346,260.8963051833333
1024,512,42.128543809242295,373695,46155,30466048,24823744,1.5259173476549706,0.09861035306607228,1.0,1024,0,1,1,229.67833225000004,0.8505844420144552,0.06061206649870369,260.8963051833333
128,1024,68.93106778914444,430012,101564,59695104,45657336,1.0106621618188962,0.22996349912855646,0.8409311024083063,128,0,1,1,310.24694465000005,0.7241265574569808,0.11004499305695369,260.8963051833333
128,128,72.70570955726483,302389,32710,40439808,37435272,1.2284645478375995,0.14552175487549257,0.8937200847346991,128,0,1,1,291.9217209500001,0.8463267804048581,0.0768184743462093,260.8963051833333
128,1536,55.036201468547276,320493,39664,58728448,43287704,1.3409926371365122,0.23319305018694367,1.0,128,0,1,1,208.68926919999998,0.6795108930739635,0.15453743126654806,260.8963051833333
128,2048,42.59428366420494,390006,66872,39030784,15554840,1.7646106183294883,0.3121215664652497,1.0,128,0,1,1,124.17678325,0.6773954310033289,0.12739325698645965,260.8963051833333
128,256,98.82487473817824,419243,67515,19890176,15061296,0.9240918985340036,0.12511151987954883,0.7020113851398024,128,0,1,1,371.64113104999996,0.8474127543091109,0.07023265385408356,260.8963051833333
128,512,69.60864774253648,318153,50139,21463040,15227448,1.081777944656022,0.14546809204651073,0.8599409970085254,128,0,1,1,303.38861165,0.8267334288938976,0.09984235345124826,260.8963051833333
1536,1024,71.66906066041349,378196,63295,58908672,45717280,1.1457924459062006,0.1456265634786161,0.9618279171910951,1536,0,1,1,271.25050179999994,0.6747517828415244,0.12791663450460722,260.8963051833333
1536,128,348.1816194765912,337108,89889,20938752,15281600,0.7830137697648346,0.32804743815518617,0.46989419062439297,1536,0,1,1,555.2235171,0.8292216807729904,0.06690467356717354,260.8963051833333
1536,1536,58.206149062356566,323599,39401,56369152,42468368,1.5233264204699137,0.20681139487707223,1.0,1536,0,1,1,171.55254644999997,0.6822379401920139,0.11460130675241867,260.8963051833333
1536,2048,30.050596687123665,252003,49717,57942016,41940152,1.8953349563554212,0.37806416562440265,1.0,1536,0,1,1,106.68927075000002,0.7102682695492805,0.13794970612854168,260.8963051833333
1536,256,56.28723588485547,361973,75957,38948864,33781088,1.3730671135153312,0.16607996275827908,1.0,1536,0,1,1,248.91609955000004,0.8614565127773826,0.06420635733991327,260.8963051833333
1536,512,61.93706816941342,371525,69911,19890176,15234336,1.4892681499620513,0.13065659654262535,1.0,1536,0,1,1,215.97669884999996,0.8577842881778464,0.08972316289994935,260.8963051833333
2048,1024,73.85640584367829,304052,57319,44990464,35003688,1.1667438921821849,0.12124661732258668,0.9424342926425434,2048,0,1,1,276.83235555,0.7055596810061259,0.14902193086372606,260.8963051833333
2048,128,187.28136605050466,325666,25732,40439808,37490768,1.2743551025410145,0.3327623393863894,0.913215033418537,2048,0,1,1,285.68989300000004,0.8522086331464219,0.08865595578025376,260.8963051833333
