cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,105.19582005984275,466386,50339,40218624,31472448,0.8659363822690856,0.10757878556107393,1,1024,0,1,1,397.35507794999995,0.7476550112898185,0.12496698759457975,689.0374934601772
1024,128,816.3974433112802,396478,61789,32219136,29981000,0.5322520539726517,0.5115286702124225,0.44073246167348845,1024,0,1,1,1563.3917475555559,0.8666625233830221,0.07461155232536111,689.0374934601772
1024,1536,76.92661101328895,371579,43430,64475136,44341184,1.11211947146631,0.11766453132870956,1,1024,0,1,1,243.88503664999993,0.7210433763015414,0.14449762656032503,689.0374934601772
1024,2048,52.55125532162176,322646,46876,56086528,45198088,1.268140547782482,0.2194859106930048,1,1024,0,1,1,185.26311579999998,0.681707453593987,0.15184587252655454,689.0374934601772
1024,256,341.9489184630778,433130,54470,34840576,29760632,0.49270587509201913,0.16903686090058734,0.6834477874699859,1024,0,1,1,1008.1786876666665,0.8658274578449159,0.06724788982046528,689.0374934601772
1024,512,232.59321121822774,439493,23834,34840576,30229696,0.47984368105450514,0.09577360469637705,0.7473775985992347,1024,0,1,1,921.9402544999999,0.8943124372847107,0.06011688398171435,689.0374934601772
128,1024,106.2455348466402,468599,50619,53858304,44169632,0.8907379369644127,0.09890050976883531,1,128,0,1,1,390.8316015,0.7709995106675087,0.12045661920390777,689.0374934601772
128,128,1094.509558418243,440518,69964,43229184,29831232,0.3660725304333207,0.27938337409888503,0.3519220554050565,128,0,1,1,1957.926429666667,0.8338916955452874,0.08405746239896857,689.0374934601772
128,1536,69.70875588349772,316938,54574,56078336,30478944,1.5643787473394601,0.29063854346141016,1,128,0,1,1,157.694052,0.74381926821187,0.14750040423093497,689.0374934601772
128,2048,47.26494703138443,360780,66988,59494400,46131808,2.110787759085377,0.2948252430361364,1,128,0,1,1,93.94908240000001,0.6739315378302771,0.1487893606350873,689.0374934601772
128,256,350.5621192221271,376419,59779,37986304,29731048,0.2750541129463839,0.057949718436079066,0.3983614392492982,128,0,1,1,1729.67919475,0.8627074353952034,0.07343921897946375,689.0374934601772
128,512,168.83719382956826,445276,56031,39297024,30010904,0.3949146058862551,0.047266163283926126,0.5811788349798324,128,0,1,1,1185.5860055263156,0.8837422026103674,0.0674394496305436,689.0374934601772
1536,1024,123.69887541062926,467744,25569,48345088,29795448,0.9399446920895478,0.10022672267836642,1,1536,0,1,1,362.95625715000006,0.7420150746407994,0.09741206524449826,689.0374934601772
1536,128,1532.0245554679468,463073,77352,41132032,29588072,0.42908021839202143,0.35367381553317573,0.34775810725191414,1536,0,1,1,1981.3700359285717,0.8441534733503325,0.07159101346473226,689.0374934601772
1536,1536,79.07439851992024,377317,41585,60542976,45389712,1.1985125637179295,0.1700251399207112,1,1536,0,1,1,235.70439489999998,0.7477624248518897,0.1121201422864731,689.0374934601772
1536,2048,58.94910333306351,324055,48077,55824384,45217808,1.3490666900387855,0.25744543623672655,1,1536,0,1,1,186.99573544999998,0.6606655468428368,0.13676563279994802,689.0374934601772
1536,256,424.23021682069816,511130,47723,46645248,44230392,0.6504066858813147,0.34350995809023444,0.79029323575505,1536,0,1,1,871.8757320526316,0.8599634454828342,0.07158557780953331,689.0374934601772
1536,512,219.17883980588118,457884,58363,33005568,29849800,0.5126845032752392,0.1536189491322427,0.7723211458707626,1536,0,1,1,892.1644799500002,0.8596042892982814,0.09776187703848092,689.0374934601772
2048,1024,100.14986433561964,331119,55986,47296512,30009456,0.894626068921108,0.08674723583362096,1,2048,0,1,1,370.87491220000004,0.7357848667220439,0.10641898820812261,689.0374934601772
2048,128,538.23433850952,469471,86396,32743424,30309760,0.46018325372653884,0.18471224959891733,0.5382889722007302,2048,0,1,1,1280.051290375,0.8691036216522058,0.057074495866109715,689.0374934601772
2048,1536,83.66200273917461,338549,66327,58445824,45984432,1.212313448762904,0.20284375680689853,1,2048,0,1,1,228.19107590000004,0.7737075586788708,0.11012412398740638,689.0374934601772
2048,2048,66.992859932486,400695,60024,58445824,46097728,1.4117878092332905,0.22061263223564084,1,2048,0,1,1,190.86643054999996,0.6615421288937459,0.14030952559752857,689.0374934601772
2048,256,387.39667725808357,434995,64707,32743424,30001248,0.5357738255994388,0.29000404753822134,0.6707426013543167,2048,0,1,1,1027.2755779473687,0.8601313205508635,0.06552349206561164,689.0374934601772
2048,512,129.85801810816508,449831,28016,47169536,44013184,0.6422252768141227,0.18315161940657262,1,2048,0,1,1,669.7013817894738,0.8788561873325438,0.08661987644844005,689.0374934601772
256,1024,353.26069551489866,426905,43521,50974720,44537152,1.3971131405203925,0.7027697608348884,1,256,0,1,1,358.9842297999999,0.714076053564307,0.18212692634364694,689.0374934601772
256,128,1867.324261006755,444028,59941,33267712,30012472,0.19854421117258977,0.06881776985712555,0.23175506275617494,256,0,1,1,2973.128117529412,0.849802815781819,0.0869685722453029,689.0374934601772
256,1536,79.03667882606652,367058,72273,58183680,45481056,1.239162206860725,0.19716947644731322,1,256,0,1,1,235.5228326,0.69088070830829,0.14750040863264732,689.0374934601772
256,2048,64.22346831429091,289344,75801,56610816,45097280,1.45848834261664,0.19233690335313675,1,256,0,1,1,165.1756903,0.7314150268923496,0.15229762069053815,689.0374934601772
256,256,600.2475049397767,416750,68895,34316288,30302528,0.46411232630699684,0.20890774244268823,0.5839137028159128,256,0,1,1,1180.0330941666668,0.8601489514601406,0.06858825102412867,689.0374934601772
256,512,187.71766101371608,358226,46332,32219136,29853152,0.46659215730318077,0.09750140712830987,0.7242121012339826,256,0,1,1,951.4305164000001,0.8789023202675489,0.0821137175542304,689.0374934601772
512,1024,96.19099725908202,428485,73425,51761152,45213248,0.897404193079715,0.11112852964526458,1,512,0,1,1,379.03192265,0.7193594173719986,0.11636580981918346,689.0374934601772
512,128,708.5408468176922,511651,88931,46645248,44150648,0.4916078805479614,0.421015946677144,0.4776572577856618,512,0,1,1,1442.5353791428572,0.8611587729201134,0.07190601548900162,689.0374934601772
512,1536,93.70775944007768,353679,28617,58183680,45268104,1.1219232946026005,0.19451983712691198,1,512,0,1,1,259.62143660000004,0.7049185227217448,0.1391955283667912,689.0374934601772
512,2048,70.47120405292284,413352,42918,60805120,44943272,1.6082891243869315,0.2069716641407626,1,512,0,1,1,156.69263970000003,0.7604416409374322,0.13727480172953205,689.0374934601772
512,256,264.33682289042144,438814,43084,37724160,29802728,0.3302721712184632,0.07667150915198655,0.4752296841159025,512,0,1,1,1449.90415475,0.882365110966475,0.06374353032137407,689.0374934601772
512,512,192.39818227556273,497861,35826,46907392,43916536,0.4320720078278283,0.07479100687163434,0.7014831576984624,512,0,1,1,982.2580712000001,0.8992928499135528,0.05670334101424995,689.0374934601772
