cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,174.02956776343288,492695,73203,51499008,45447752,0.712851711580903,0.25557208412031607,1,1024,0,1,1,537.6664361,0.7000068022815435,0.1373906788613972,872.7990757181819
1024,128,519.7786599949451,383528,40899,32481280,29861720,0.3530928216156676,0.11339318533911921,0.5251704683563361,1024,0,1,1,1661.9347969999994,0.8554996712691446,0.05579394318448518,872.7990757181819
1024,1536,142.59074262246267,307335,62345,60018688,44887536,0.6481503352595082,0.20540017865441196,1,1024,0,1,1,461.36719445,0.5657328580938745,0.1789971265444422,872.7990757181819
1024,2048,129.18761155610213,363510,45755,58707968,46075960,0.7604244769288079,0.3406696927645237,1,1024,0,1,1,386.56739239999996,0.6284999718447544,0.18933577816002217,872.7990757181819
1024,256,481.14180869427986,432688,54181,32743424,30197480,0.4286286921964473,0.1835834047372204,0.6723893412937514,1024,0,1,1,1298.056084647059,0.8750222556709355,0.06282300582716316,872.7990757181819
1024,512,241.89017819207237,506414,45658,47169536,43993696,0.3959327705330603,0.09188886639951832,0.7089076955691477,1024,0,1,1,1231.1886034999998,0.8675566978263112,0.08149639207353969,872.7990757181819
128,1024,199.70556733841372,528746,68313,53596160,44071664,0.7276034093549065,0.2583238845015523,1,128,0,1,1,541.05600095,0.6881280576891408,0.10506485958304904,872.7990757181819
128,128,1215.5039034807012,499970,38733,37462016,29676360,0.3037313922656759,0.17493025914550783,0.3868098269636201,128,0,1,1,2256.4035732222223,0.8573445535601869,0.028905125201511325,872.7990757181819
128,1536,167.19062059599827,354330,59999,61329408,44952328,0.8460895595234076,0.3849813380696483,1,128,0,1,1,441.90175180000006,0.6155236848155559,0.18521946673933123,872.7990757181819
128,2048,167.98191371548702,422402,38876,48476160,29907672,0.7387025241190666,0.37650104886853014,1,128,0,1,1,449.59356180000003,0.6210840460278991,0.1639456418680883,872.7990757181819
128,256,352.2626595685119,397174,54272,39559168,29723056,0.22281899378955528,0.03751021118503775,0.366244255594157,128,0,1,1,2383.1065262777774,0.8563254841576442,0.0817125825642448,872.7990757181819
128,512,342.3252780148415,401900,88626,33005568,29594376,0.43008389695992477,0.12797449912904776,0.7395976754168789,128,0,1,1,1180.0998092999998,0.8675773153188556,0.06782781713353915,872.7990757181819
1536,1024,168.33785624696085,406950,51425,29724672,15331952,0.7135426306593583,0.20644292865138766,1,1536,0,1,1,547.3014516,0.7281473082268262,0.14001752475602508,872.7990757181819
1536,128,624.84478245536,495822,67294,32743424,29945504,0.4425167359538668,0.1491454555990497,0.6522978850051422,1536,0,1,1,1338.0375680833329,0.8754261659325677,0.0637436910694797,872.7990757181819
1536,1536,184.0865651302884,409638,56599,60542976,44882240,0.7330153517183173,0.32603359690873435,1,1536,0,1,1,447.16559079999996,0.6236009634633672,0.1951048196666726,872.7990757181819
1536,2048,123.95067897418477,301015,50287,60805120,44548616,0.5492680401722081,0.18603078283723937,1,1536,0,1,1,483.8924037,0.5676826927626386,0.1765216098169101,872.7990757181819
1536,256,273.4024677791316,472938,73980,33267712,30130696,0.4771167499742983,0.12149403685402413,0.8615309872059733,1536,0,1,1,1013.0791447777776,0.8628922581295488,0.07885752119994789,872.7990757181819
1536,512,255.23830546778376,442184,57289,32481280,30055952,0.4475701349976434,0.16237962522183486,0.8176202102980192,1536,0,1,1,1067.4871593499997,0.8779526837112959,0.0721170072868135,872.7990757181819
2048,1024,209.58128055825463,483733,44589,53596160,44078304,0.6224535578420687,0.2796868239190125,1,2048,0,1,1,670.1231596499998,0.725950299726217,0.1427512875352561,872.7990757181819
2048,128,287.3793464691639,390577,118906,32481280,29636664,0.44110834863730086,0.098643390060155,0.6822989641008513,2048,0,1,1,1279.20328425,0.9011849109285108,0.008161690268204166,872.7990757181819
2048,1536,158.8452204473996,376211,58852,59232256,45447624,0.7752992141585823,0.33097542160655474,1,2048,0,1,1,436.4780008999999,0.5619736304695773,0.18500521151479635,872.7990757181819
2048,2048,175.48138895501208,293479,41137,39030784,15532672,0.6618181689538918,0.2437831828519522,1,2048,0,1,1,408.0822456,0.5889333107174108,0.17868212726741994,872.7990757181819
2048,256,381.2925523470422,436158,69373,33267712,30294704,0.3600593824596486,0.13831095674979232,0.6173722862520924,2048,0,1,1,1413.73219231579,0.8439971197283608,0.10066548373513205,872.7990757181819
2048,512,293.0966758187493,383389,60452,31956992,29649968,0.4243676453084989,0.1311227918809285,0.7846916940018709,2048,0,1,1,1112.2828015000002,0.847601993671746,0.08975782177218938,872.7990757181819
256,1024,137.17243199827138,434934,62899,38645760,30030920,0.6328756901856671,0.1758131029275699,1,256,0,1,1,601.6767810499998,0.721108537842308,0.10878670568757011,872.7990757181819
256,128,729.5854782681098,556940,54815,34316288,29692872,0.35150278396802453,0.18045827172999415,0.485386049697649,256,0,1,1,1798.1544303999997,0.8919135454395736,0.05209475438959083,872.7990757181819
256,1536,142.08091853707074,417944,67569,61591552,44941088,0.6561851420100977,0.18831827370636092,1,256,0,1,1,469.8936109499999,0.582590155675488,0.1681474889426216,872.7990757181819
256,2048,169.3850707598032,362389,50727,58970112,44591544,0.6560488278544359,0.24893968744864078,1,256,0,1,1,438.4254541,0.6727818150594811,0.18135248737197426,872.7990757181819
256,256,368.08074385295396,487608,86372,33267712,29584776,0.2852938694225247,0.06632407338863118,0.48096048257438,256,0,1,1,1814.7001829473684,0.8654733566583086,0.06894364868013356,872.7990757181819
256,512,237.4186317914954,441712,40397,32743424,29702912,0.36782362339351743,0.0664064216146268,0.6737741900429012,256,0,1,1,1295.38811165,0.8327231072356692,0.10835385480658082,872.7990757181819
512,1024,175.23743119230127,479497,80141,45461504,31212912,0.6620784343489488,0.2279742827637112,1,512,0,1,1,594.3505010000001,0.694249236300416,0.1559038825333058,872.7990757181819
512,128,809.1935674910046,600998,43580,32481280,29778816,0.31453312640682773,0.10026630192170033,0.43774336966905025,512,0,1,1,1993.860184285714,0.8884375225698006,0.02653465417257763,872.7990757181819
512,1536,178.66866572202363,417661,57863,47951872,29889840,0.7654926316386927,0.40082882445727314,1,512,0,1,1,472.9461077499999,0.6036587384035728,0.18239925844139532,872.7990757181819
512,2048,157.9948019383127,364246,63163,48214016,29832720,0.5984126822057909,0.23242603334633333,1,512,0,1,1,515.75487615,0.5777121504389646,0.1805695119803742,872.7990757181819
512,256,426.83983478147553,390216,49727,35364864,29622800,0.3006072576311973,0.07038532275315387,0.5184630862538289,512,0,1,1,1683.4353281052636,0.8564905795359167,0.08198418871656254,872.7990757181819
512,512,305.8352481312554,362778,46035,34316288,30135920,0.4556426923269825,0.14816136012358805,0.8288659274757779,512,0,1,1,1053.0039259499997,0.8639751486026362,0.07493091523016762,872.7990757181819
