cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,105.83235198367275,202036,55540,39432192,29879184,0.8026931693272333,0.18819183156647865,1,1024,0,1,1,233.63305584999998,0.7797263029114163,0.09568218979104777,428.2865207904763
1024,128,725.9399364895754,260042,31703,33005568,29800440,0.5082149490525315,0.36361494125389127,0.4184268623870379,1024,0,1,1,1023.5636363000001,0.9152567846773693,0.007816231583210221,428.2865207904763
1024,1536,67.89336985641178,253961,28240,36671488,15641096,1.0936447212822658,0.16693044110211555,1,1024,0,1,1,139.12203763157893,0.6824363293612532,0.12496698579257749,428.2865207904763
1024,2048,43.37301403461789,252579,30761,68792320,51264152,1.1468885401120534,0.1968926378423513,1,1024,0,1,1,123.3177046,0.7171457956253527,0.09232363919816187,428.2865207904763
1024,256,196.3560197315713,304120,34880,32743424,30460936,0.5149761917355645,0.2316120003369319,0.6965246216929382,1024,0,1,1,614.8907123333333,0.9112724176190822,0.03366005148598877,428.2865207904763
1024,512,116.20516067538661,254609,39811,32481280,29900432,0.527293180199268,0.17378391403404725,0.8716650254245322,1024,0,1,1,491.34301400000004,0.8927834002612263,0.04805466395693041,428.2865207904763
128,1024,82.3177869776739,266862,32314,36810752,30302432,0.8440373008508315,0.16175292823268236,1,128,0,1,1,233.79839770000004,0.8022090153702492,0.09236393639200009,428.2865207904763
128,128,1097.6737629492895,286371,94114,33005568,30239048,0.416523843412563,0.3024630522589347,0.31127274179920433,128,0,1,1,1375.9204172999998,0.9144373484885835,0.008755666550986713,428.2865207904763
128,1536,52.567611575168826,231877,35760,38506496,15705424,1.523342506278733,0.19900216381318553,1,128,0,1,1,87.96972645000002,0.6613061842027327,0.15358205922048082,428.2865207904763
128,2048,19.5582319012927,208300,21279,63549440,51910840,1.5338995696939879,0.20473747191726085,1,128,0,1,1,66.9103831,0.7245452014541118,0.11033302499522282,428.2865207904763
128,256,853.9233423570506,301582,20636,32743424,29844512,0.5000158454810129,0.37533511925850654,0.3943094557211857,128,0,1,1,1086.168527222222,0.9050445518830953,0.04130913149820683,428.2865207904763
128,512,164.0976942654751,263271,38469,33005568,29858448,0.4723290135356232,0.10835986871245734,0.782816178863773,128,0,1,1,547.1099503999999,0.9015972253623279,0.05458484985923315,428.2865207904763
1536,1024,101.03033265367864,290884,55448,36810752,30386744,0.867136417329675,0.16324050055777573,1,1536,0,1,1,225.10768355,0.7895946595448942,0.09889279876791848,428.2865207904763
1536,128,618.6377091936868,326252,52690,32481280,29815824,0.6151458079418598,0.39304512489015697,0.48373773863902014,1536,0,1,1,885.3692540000001,0.9170747199390482,0.013455050950260904,428.2865207904763
1536,1536,52.71545920599063,257394,32930,69316608,51755808,1.4282375541057761,0.2143401461383213,1,1536,0,1,1,94.42408505,0.7197273168041374,0.13376129763908196,428.2865207904763
1536,2048,27.09762442653679,255662,27628,50311168,30027456,1.5860867281372433,0.250505653588982,1,1536,0,1,1,71.72673694999999,0.7224583090135043,0.1326620582352522,428.2865207904763
1536,256,274.7006180161824,267315,43817,33005568,30168264,0.5886387235864059,0.31994718728589194,0.7455882583260555,1536,0,1,1,574.4276629999999,0.9080203873404417,0.029921811019593188,428.2865207904763
1536,512,145.85956837098408,275173,45937,32743424,30183504,0.5893275421550596,0.24072080452811784,0.9956521402494789,1536,0,1,1,430.15678214999997,0.8828588919575988,0.05926578563056607,428.2865207904763
2048,1024,113.93493757353436,290234,41675,38907904,31234992,0.8306491766057894,0.13226843258706855,1,2048,0,1,1,225.23156535000004,0.7994374096124579,0.0926779313958069,428.2865207904763
2048,128,686.2514183885958,292807,36122,32481280,30143048,0.4528799162797562,0.24865312646368756,0.4034913256951032,2048,0,1,1,1061.4516187000002,0.9189170732853157,0.009402012949525796,428.2865207904763
2048,1536,46.20019493443229,185775,29257,69578752,51784808,1.3877009782406629,0.284936842591801,1,2048,0,1,1,94.515622,0.7167967865762123,0.08979804855456609,428.2865207904763
2048,2048,29.173018160454088,253115,35349,68792320,51330024,1.6337632953095365,0.24401796827165298,1,2048,0,1,1,72.77184665,0.7116863716527627,0.11319649150289561,428.2865207904763
2048,256,650.0588896325575,247371,54137,32743424,29867312,0.32489786026160644,0.16417227884704957,0.34763987696096493,2048,0,1,1,1231.9832941333334,0.8980703156490812,0.04489920770690752,428.2865207904763
2048,512,119.67370057069414,241344,58438,32219136,30074496,0.6667380511235654,0.24602228483058725,1,2048,0,1,1,401.2719202,0.9079876905874433,0.023809269322979568,428.2865207904763
256,1024,108.83278505949103,382961,41853,39432192,29907936,0.7761161546866419,0.1677421209845534,1,256,0,1,1,234.67243595000005,0.7833635395879679,0.09522670906218186,428.2865207904763
256,128,707.0874919075566,251067,59776,32743424,30127392,0.368299779687917,0.24091002224474364,0.3413500527251053,256,0,1,1,1254.6842086923077,0.9160552315222252,0.010124232882168266,428.2865207904763
256,1536,57.99742278783303,189197,20591,69316608,51792760,1.4115349663723513,0.30036935401424375,1,256,0,1,1,107.27996190000002,0.713961461430269,0.11092923125724408,428.2865207904763
256,2048,34.165964837749584,279620,28734,50049024,30067760,1.797795018740834,0.3927201468842617,1,256,0,1,1,65.199864,0.6982887017512682,0.1341065422321366,428.2865207904763
256,256,240.13669353210517,279327,31522,33005568,30359808,0.3501955487754925,0.1399193158369049,0.4734637715210493,256,0,1,1,904.5813989411764,0.902565972131971,0.044641673525489776,428.2865207904763
256,512,192.80537675058815,278505,65005,33005568,30268688,0.5882053288200734,0.28038375548456407,0.8205780336160609,256,0,1,1,521.9327148,0.9137220246366905,0.021504861820930296,428.2865207904763
512,1024,109.78283057744004,251027,42418,36286464,30372320,0.8405102640308921,0.174217031308692,1,512,0,1,1,235.62806650000002,0.7874228153001828,0.09071402900374041,428.2865207904763
512,128,1012.0916045167866,359557,53496,33005568,29864200,0.29779718953779744,0.17476962064638246,0.25830829872606603,512,0,1,1,1658.043984272727,0.9156485958894567,0.011274408160015723,428.2865207904763
512,1536,42.24988411720193,241085,16687,70103040,51764952,1.5797492956367882,0.1857770433910738,1,512,0,1,1,90.86949444999999,0.7077667465727951,0.12690984249594456,428.2865207904763
512,2048,31.40752376116563,184380,37816,37457920,15692088,1.623912815624367,0.3204637184991523,1,512,0,1,1,69.56613515000001,0.7163258763398848,0.14270643310890072,428.2865207904763
512,256,318.10630762305436,260935,33112,32219136,29800840,0.4083886466678921,0.2093570218427217,0.5162673300327095,512,0,1,1,829.5828457000001,0.9105328824724086,0.038159285590439726,428.2865207904763
512,512,146.1471550143893,251293,21694,33005568,29746808,0.4540734563025568,0.19998709812309687,0.7449303332127891,512,0,1,1,574.93499955,0.885648546663514,0.06690655920265157,428.2865207904763
