cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,54.8851863910288,247272,29810,39432192,30624728,1.3094840435641517,0.20342674684664996,1,1024,0,1,1,140.25264810000002,0.7656207750213151,0.1168847160337573,157.092295925
1024,128,75.05094481501771,366528,53781,32481280,30421080,1.2712168888608206,0.23452894282941586,0.8745992059759637,1024,0,1,1,179.6163258,0.8545407311316456,0.09808809546406151,157.092295925
1024,1536,25.927331798436047,264599,31816,50573312,30472464,1.619742013958551,0.2246898858331725,1,1024,0,1,1,80.382207,0.6826860204392625,0.14715654753805846,157.092295925
1024,2048,28.736347515033078,278848,60651,50311168,31396992,1.6285629836077322,0.23473498948614072,1,1024,0,1,1,83.04191454999999,0.6363848997127293,0.18123611138205947,157.092295925
1024,256,71.79156487750264,227124,38651,33005568,30132904,1.055448693448893,0.22691015160899686,0.736309857991429,1024,0,1,1,213.35079819999996,0.8817630267337296,0.06111238929698226,157.092295925
1024,512,73.7140320374704,313743,56172,33267712,30427496,0.9212525059022632,0.17499860893454974,0.5871625935368808,1024,0,1,1,267.54479534999996,0.8756109415072151,0.05760677513228961,157.092295925
128,1024,48.91495931512323,256618,40320,39432192,30324408,1.38166189777797,0.29247967899297256,1,128,0,1,1,128.71527015,0.720722638476378,0.13136228086193882,157.092295925
128,128,316.6641419643768,247119,33790,33267712,30425712,0.9964369294986084,0.3585361266454444,0.46365421822939984,128,0,1,1,338.8134729473684,0.8775343974779433,0.042403522037075626,157.092295925
128,1536,29.174029714947558,254032,34762,51097600,30522584,1.6346087906198192,0.24567578087820421,1,128,0,1,1,87.493327,0.7113472298120402,0.15162672642288566,157.092295925
128,2048,37.31898104567407,288559,22887,49786880,30216000,1.6217154926952435,0.2431233059360537,1,128,0,1,1,81.89631465000001,0.7045082491587402,0.13085910408695958,157.092295925
128,256,67.33887603252772,237352,22938,32481280,30301504,1.0488458787793018,0.23417907159136284,0.724407496710249,128,0,1,1,216.85625374999995,0.8789996888282976,0.04826746974600592,157.092295925
128,512,65.18188997438286,243202,29494,33267712,30009288,1.0399435976963967,0.2062091094943358,0.7267258797812213,128,0,1,1,216.16444425,0.8844145568752373,0.04887770305084252,157.092295925
1536,1024,45.56607080039262,244958,22023,39956480,30468376,1.2027691976441448,0.25924199111743135,1,1536,0,1,1,145.81815945,0.7408719047929803,0.13510077629806835,157.092295925
1536,128,67.49906343460148,272510,34604,33529856,30169688,1.053729882660106,0.21823267455031367,0.7069592520362521,1536,0,1,1,222.20841650000003,0.8795879192663921,0.04853247841948378,157.092295925
1536,1536,29.90354046765151,282395,46049,50835456,30475824,1.6080459002837375,0.2255612579629211,1,1536,0,1,1,77.72335269999999,0.7385863388332504,0.15396939023142397,157.092295925
1536,2048,29.939227989761097,310740,26483,50573312,31380720,1.6099698894200363,0.24409901424514538,1,1536,0,1,1,82.69779340000002,0.661536713466134,0.15255318953223176,157.092295925
