cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,137.2711500153316,351301,67519,38645760,30015112,0.8167037018951744,0.09221254243758525,1,1024,0,1,1,508.1125937499999,0.708291583174202,0.10672181796269979,717.153367377359
1024,128,519.8805549939166,578918,82544,40607744,30106064,0.501461871615264,0.18128408510771532,0.5484191188076615,1024,0,1,1,1307.6738990000001,0.8500996645112734,0.0777549537046035,717.153367377359
1024,1536,67.88314437308334,381386,54548,58445824,44853120,1.5023798806725424,0.249913014125415,1,1024,0,1,1,204.43955840000004,0.7279532335231258,0.1178692617429758,717.153367377359
1024,2048,43.705445132961984,365528,44496,58445824,44958904,1.7586431007667407,0.20265834006085812,1,1024,0,1,1,149.88006875,0.6873353942985996,0.13867526780696215,717.153367377359
1024,256,447.83873302751914,478581,36971,32743424,29660464,0.6134776185564491,0.35468476411884986,0.6392054241191071,1024,0,1,1,1121.945059157895,0.8666503876869142,0.07520020139910642,717.153367377359
1024,512,292.96601915644897,571381,25735,35627008,29610688,0.5211736711550802,0.20262426682352108,0.6840904140043794,1024,0,1,1,1048.3312625000003,0.8505246843249559,0.07296622651869951,717.153367377359
128,1024,122.59707133649854,479156,46938,47820800,30339168,0.8552373593536629,0.10661581134393333,1,128,0,1,1,478.3122364000001,0.7632842803263423,0.11697024944055041,717.153367377359
128,128,950.2333328667918,426941,91987,33529856,29613408,0.22862454968591908,0.05905047440113598,0.24949301895276335,128,0,1,1,2874.442621230769,0.8774894879846975,0.050554814135607175,717.153367377359
128,1536,87.92198181506022,377072,43282,44806144,30218944,1.0496934171181567,0.11118631815394794,1,128,0,1,1,337.71800085000007,0.7037115922622023,0.10656468069287393,717.153367377359
128,2048,61.33423148141195,398482,54769,61067264,46082128,1.342063710568293,0.25222085842158193,1,128,0,1,1,227.2283046,0.7644979307393713,0.11932967283799187,717.153367377359
128,256,264.05404497221133,505658,50035,32743424,29968536,0.25860143148137826,0.029677666714297005,0.3220275095180642,128,0,1,1,2226.9941113125,0.8818721533355854,0.04447410954746528,717.153367377359
128,512,246.28714694164728,504926,36104,32743424,29979632,0.4320905045547104,0.06957109687668696,0.6032818043364581,128,0,1,1,1188.7535182105266,0.8716308225839565,0.07185701775443717,717.153367377359
1536,1024,136.11550030604207,471669,44668,46510080,30116368,0.8628459959287248,0.11110154635456097,1,1536,0,1,1,472.50952724999996,0.7431324920240618,0.09394399301302678,717.153367377359
1536,128,860.1781038000875,629428,66365,33529856,29598200,0.328263944971361,0.1844481831216574,0.32217187018143495,1536,0,1,1,2225.996226714286,0.8474188598503687,0.06798421088760472,717.153367377359
1536,1536,80.638631124371,367934,49584,59494400,44856600,1.1360332123421983,0.18849737757916485,1,1536,0,1,1,325.13732360000006,0.7375059852376029,0.11269312064325504,717.153367377359
1536,2048,79.57615598234158,414374,61029,58970112,44604744,1.3150188408151777,0.12922738123601846,1,1536,0,1,1,220.89957439999998,0.7458792111404161,0.11625034198991406,717.153367377359
1536,256,522.9587176782195,444785,48688,36413440,29633176,0.4641000699000855,0.19782529008978783,0.5280827175670886,1536,0,1,1,1358.0322618421053,0.8484407923006727,0.0749392616237252,717.153367377359
1536,512,280.9650503364515,587336,49152,37199872,29972384,0.8513375998732202,0.38878203759561014,1,1536,0,1,1,713.1370937500001,0.8321090105130209,0.10030925953015656,717.153367377359
2048,1024,119.75902747471775,514360,53060,49393664,30854912,0.7955746056049384,0.07818531984913754,1,2048,0,1,1,523.0993399500001,0.7409886882764015,0.11692159113819617,717.153367377359
2048,128,276.4346624392868,503564,27917,36937728,30151296,0.5941867872668107,0.15772845052690757,0.6782747113111266,2048,0,1,1,1057.3199257142858,0.8952295377188647,0.03234909861521078,717.153367377359
2048,1536,78.43241782815298,485742,51239,59232256,45506288,1.1576969086558633,0.1279090652332895,1,2048,0,1,1,305.99226309999995,0.6709867740775265,0.13321252172438988,717.153367377359
2048,2048,68.0382035065802,484798,54468,59232256,45437648,1.574573885898742,0.25433311235816575,1,2048,0,1,1,206.719506,0.7138303613480752,0.12724074999457693,717.153367377359
2048,256,216.12346333375476,547403,55324,35627008,29630872,0.5583329818058848,0.13209344927468963,0.7515794012754827,2048,0,1,1,954.1950806000001,0.8871819827901518,0.0571943548067547,717.153367377359
2048,512,137.59436467996247,527407,77658,32743424,29657464,0.46029856718133483,0.034273042612765085,0.6430066622477693,2048,0,1,1,1115.3124990500003,0.8391401884730044,0.07777409669940294,717.153367377359
256,1024,113.42180648537148,530716,51914,53858304,44824360,0.8661760943019061,0.1457265156356031,1,256,0,1,1,470.85761894999996,0.7327843213158418,0.09829555080867446,717.153367377359
256,128,670.0378442888406,549373,59618,32743424,29641240,0.3166290160695873,0.10160696323275868,0.3442171732299614,256,0,1,1,2083.4328533000003,0.8908428718747414,0.05659504783606033,717.153367377359
256,1536,69.39870232158245,399261,50255,58707968,44883040,1.4664145322328115,0.2207600515343578,1,256,0,1,1,227.23819584999995,0.667842071512349,0.12467970991672424,717.153367377359
256,2048,37.73640158795367,289890,83184,58970112,44556240,1.691442777190129,0.2562085215985817,1,256,0,1,1,183.22992205000003,0.710068262982447,0.12052346634787646,717.153367377359
256,256,395.5333634658705,521411,57377,31956992,29619192,0.3106918239028407,0.06532269845618308,0.40213999695046976,256,0,1,1,1783.3425494,0.8951108515154382,0.04443144632403304,717.153367377359
256,512,213.92318956180264,446263,67136,33005568,29684736,0.43077535293406033,0.06690704813477438,0.5828680285417188,256,0,1,1,1230.3872099,0.90749763987431,0.04256077027773549,717.153367377359
512,1024,138.10720442010756,490596,53439,41005056,30050696,0.8081128907559147,0.17762405857733277,1,512,0,1,1,516.0045688,0.774897218147514,0.089986942452916,717.153367377359
512,128,709.4196903572678,613888,71028,38772736,29776584,0.29019117913675513,0.09808551619965333,0.3027123798966917,512,0,1,1,2369.091636166667,0.8250315391975316,0.06085396299417492,717.153367377359
512,1536,88.21731820490274,392451,49362,44544000,30207440,1.1123250625829597,0.11758467397526684,1,512,0,1,1,300.67884234999997,0.75432315331652,0.09514069447063547,717.153367377359
512,2048,61.325143443175044,293276,65397,44544000,30212512,1.3418580181178374,0.18332766901806746,1,512,0,1,1,243.70104474999994,0.6912394513861264,0.1263481721485808,717.153367377359
512,256,706.990785471357,485532,51648,32743424,29671064,0.5416753477798582,0.3624321111580425,0.5114452965042642,512,0,1,1,1402.209331631579,0.8712021134568637,0.05124951717487929,717.153367377359
512,512,242.90251773608767,624647,75305,47169536,44200392,0.7253806835090664,0.25631593009795883,0.8790199519135752,512,0,1,1,815.85561945,0.8987289018895718,0.05849695657986739,717.153367377359
