cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,853.5498828389834,1933047,208879,43175936,33765976,0.8200749917931749,0.13762948033032865,1,1024,0,1,1,823.7712506842106,0.8386130432820513,0.07883827599587488,2039.238610360825
1024,128,743.0815556413597,1929204,204593,52224000,49511160,0.5138135603984628,0.08148127973532798,0.4313277598301641,1024,0,1,1,4727.816756249999,0.933013913809459,0.028105755433535135,2039.238610360825
1024,1536,325.74907629604826,1661127,124943,68218880,52273688,1.5040683207127767,0.3554921526489775,1,1024,0,1,1,306.0131697,0.7365219599248978,0.10467282616624266,2039.238610360825
1024,2048,232.95635328125283,1742546,119427,53006336,39009744,1.6675259048569469,0.37250248238339406,1,1024,0,1,1,194.08031430000005,0.7443662330248846,0.11554703843630992,2039.238610360825
1024,256,3191.6180329080444,2673829,181870,44351488,35429000,0.5020157207841159,0.3126626506120795,0.3687124768292252,1024,0,1,1,5530.701396105263,0.8883473074787638,0.07972548377368419,2039.238610360825
1024,512,2046.1286467048365,2215890,148607,38322176,35472056,0.5058773642508301,0.157919755645222,0.863984322006546,1024,0,1,1,2360.2727022,0.9283466490541048,0.03627474070305788,2039.238610360825
128,1024,860.5726706302734,2015210,162093,44748800,36660768,0.8919520304311943,0.12782503324256217,1,128,0,1,1,819.7385184000001,0.8407130826907057,0.060411925922206886,2039.238610360825
128,128,3072.189670186077,2417473,283471,38322176,35880544,0.4825804964493232,0.29721955494306695,0.29007764674900144,128,0,1,1,7029.975019499999,0.9282645817603793,0.029816564078460887,2039.238610360825
128,1536,571.9168758002924,1907026,229349,61657088,34297792,1.0290800770746187,0.16497494271877164,1,128,0,1,1,528.2644441999998,0.719920072359728,0.11812002244680136,2039.238610360825
128,2048,354.9446598809209,1635546,176521,77123584,37444360,1.3123367088722246,0.2441936230366254,1,128,0,1,1,335.78876935,0.7178206668960775,0.10982290030127598,2039.238610360825
128,256,4200.808605879345,2251198,271481,52224000,49775736,0.32663826042872374,0.15695952783211156,0.2474966849235423,128,0,1,1,8239.458282,0.9167307886352857,0.05294470828964423,2039.238610360825
128,512,2119.1763542179665,2170414,184356,37797888,35357016,0.4673874194240112,0.08904501296652886,0.7357959498160437,128,0,1,1,2771.4730026315788,0.9189155856403664,0.04994638908037675,2039.238610360825
1536,1024,748.5909400823452,1889914,153035,58650624,50379440,0.8673121288040335,0.1160875722738084,1,1536,0,1,1,811.0506561999999,0.7769270696184268,0.124520153211041,2039.238610360825
1536,128,1315.1208736371784,2349721,267181,37535744,35189304,0.38203061613650247,0.07790752694459249,0.2810599639478059,1536,0,1,1,7255.528612888888,0.9377582452029843,0.010286128757413606,2039.238610360825
1536,1536,562.7184638805082,1876333,155603,73723904,56769472,1.1872712112131312,0.20050283569051447,1,1536,0,1,1,480.20322615,0.7104446431533185,0.0929611451692614,2039.238610360825
1536,2048,369.94532580875006,1776614,147741,52744192,40502552,1.2814782176274213,0.19621111593283655,1,1536,0,1,1,318.61171729999995,0.7617112633978995,0.12184268638123381,2039.238610360825
1536,256,2873.9943981522747,2115462,144146,51699712,49193888,0.3732480321388059,0.12614575716404108,0.3371747896951397,1536,0,1,1,6048.016259473685,0.9212153330619528,0.043634069614936766,2039.238610360825
1536,512,1826.6090672219368,2337855,181012,37797888,35247976,0.5499602717195582,0.21452605284441145,0.9357995817023202,1536,0,1,1,2179.1403311499994,0.8880860542927345,0.07033772959403856,2039.238610360825
2048,1024,863.9381287914465,2215990,124728,43700224,35268744,0.8752983278433228,0.11177397013771222,1,2048,0,1,1,854.1537864444442,0.8412271079443211,0.05209381411304778,2039.238610360825
2048,128,934.2087911720179,2581957,259508,46710784,33237704,0.450576755007443,0.041651289375394626,0.37527770597544974,2048,0,1,1,5433.94552325,0.8719632556920609,0.09283055957639616,2039.238610360825
2048,1536,357.76909377539,1856841,150176,63754240,38960040,1.3696769878578094,0.2711144281717503,1,2048,0,1,1,307.54622175,0.7401477747765828,0.11028949774941862,2039.238610360825
2048,2048,210.3107349808055,1599022,133037,52482048,37865896,1.6619612418918972,0.4189794743154782,1,2048,0,1,1,178.78875595000002,0.7521762168573356,0.11487236560545683,2039.238610360825
2048,256,3130.180369041571,1983229,168179,37535744,35025384,0.3525078612799003,0.0756831248841671,0.3514453817749426,2048,0,1,1,5802.433937421052,0.905142196309558,0.07376831202843212,2039.238610360825
2048,512,1489.7091788836708,2121840,145843,37273600,35007312,0.5420153815751646,0.1359600691984199,0.9938229275346788,2048,0,1,1,2051.9134283,0.907029560244316,0.07110793565329251,2039.238610360825
