cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,54.308556001974225,267532,50229,39694336,30417752,1.3843142374609854,0.2995523233311136,1,1024,0,1,1,110.88132935000003,0.7691344613738325,0.12490323686884587,139.78435170000003
1024,128,47.49479391266215,251245,27951,33529856,30172560,1.1294761285830468,0.18912779544023403,0.7367723998513485,1024,0,1,1,189.7252825,0.8644251915157769,0.05246513159857552,139.78435170000003
1024,1536,24.19084690345598,209877,33616,48738304,30528472,1.4601188466640844,0.19997710862274662,1,1024,0,1,1,78.88698965,0.7061208801407969,0.13401395653152906,139.78435170000003
1024,2048,26.64536928457888,265963,45802,50049024,29990016,1.5721390493852962,0.24380152841074074,1,1024,0,1,1,76.9856819,0.7403234207026738,0.10231608286580546,139.78435170000003
1024,256,54.46360305932793,274016,39980,33267712,29588872,0.9691657461336479,0.15263118164146494,0.6586875504657003,1024,0,1,1,212.21647745,0.8752774292190088,0.05842050461126498,139.78435170000003
1024,512,74.49185355208738,269671,34609,33267712,30338304,1.0217061730094148,0.22285699608755655,0.6746955669923832,1024,0,1,1,207.18136969999995,0.8772343189768256,0.050638796095766415,139.78435170000003
128,1024,55.207836607726314,293713,41058,39956480,30522840,1.3527929939091625,0.30141877547954427,1,128,0,1,1,128.78910470000002,0.7696689485284726,0.12116601445237354,139.78435170000003
128,128,250.18845387637523,230818,23606,33005568,30065424,1.367939339797293,0.587730266693635,0.6025508091211595,128,0,1,1,231.9876591052631,0.8992852664614918,0.07425232269745936,139.78435170000003
128,1536,27.643659642564327,225351,15242,49000448,30522776,1.853168395753792,0.3756251742778899,1,128,0,1,1,60.52562409999998,0.697568330291626,0.12185889542719444,139.78435170000003
128,2048,27.645438195265513,259863,33614,50311168,29938576,1.5201238464149136,0.17331009096593233,1,128,0,1,1,74.57335075,0.6887356996250641,0.1189292733939493,139.78435170000003
128,256,61.49230822202442,262309,33825,32743424,29906288,1.0217454545156504,0.22845081474867318,0.6850452208198,128,0,1,1,204.05127639999998,0.9000247628599309,0.04246997993507666,139.78435170000003
128,512,54.033511694343154,223015,33204,32219136,29724832,0.988556898457204,0.14457013395991075,0.6162228648407341,128,0,1,1,226.84057940000002,0.8665239569948817,0.06308370104593847,139.78435170000003
1536,1024,46.23213391778149,289884,36387,39956480,30625832,1.1954714550168886,0.24392063301174738,1,1536,0,1,1,138.3029947,0.7778082649034826,0.09116520646380379,139.78435170000003
1536,128,228.4249888532713,214870,64710,33005568,29911136,1.1634022483850168,0.41234078341714686,0.5515861173729588,1536,0,1,1,253.42253421052632,0.8659415744593483,0.06339953743211689,139.78435170000003
1536,1536,32.8520742784457,293444,26351,51097600,30097584,2.057629940619586,0.27056996911183046,1,1536,0,1,1,58.520550449999995,0.7486781981968995,0.10070141352054628,139.78435170000003
1536,2048,25.4150997108948,273005,15759,50311168,29941752,1.5845632096787243,0.24874616885955306,1,1536,0,1,1,70.82646744999998,0.7320806549743082,0.11541492735928287,139.78435170000003
