cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,109.35665072137432,356705,54496,63778816,53615392,0.800448594066131,0.13016260268552501,1,1024,0,1,1,398.9828753,0.7446400040802581,0.08575525630359096,637.4222382641507
1024,128,1047.8504768641237,437385,44829,42565632,37009880,0.4312516219915937,0.4145399138400576,0.36496911713184216,1024,0,1,1,1746.510069875,0.900900317684052,0.03908280641764268,637.4222382641507
1024,1536,82.29655321824086,297448,72548,70582272,50551952,1.1660149730221216,0.2153051687333401,1,1024,0,1,1,236.3263204,0.6863645265706542,0.10499849725627938,637.4222382641507
1024,2048,48.55835664882631,309956,35307,61116416,40799984,1.4248099768164333,0.20551564852785678,1,1024,0,1,1,173.53992224999996,0.6927531114265524,0.10701453361822365,637.4222382641507
1024,256,416.33332593229517,408646,52931,41254912,36070112,0.3705728216229186,0.12101342248786216,0.5107862446797382,1024,0,1,1,1247.9236567222222,0.8859880273635858,0.03187115161407708,637.4222382641507
1024,512,244.22471956093295,533127,70504,38522880,34299232,0.5995763974681992,0.2598896775615123,0.8524497731850154,1024,0,1,1,747.75342585,0.8832296185033932,0.046973290580291684,637.4222382641507
128,1024,99.852313039388,344335,40948,40509440,27843064,0.8880341722265003,0.15615467785231746,1,128,0,1,1,391.2456642,0.8153846365273065,0.05712710489662312,637.4222382641507
128,128,1023.7439195106967,289623,95959,40361984,37496736,0.3180051452129302,0.17481666963878909,0.3535191840412685,128,0,1,1,1803.0767976363638,0.8876760873759305,0.04567806330177125,637.4222382641507
128,1536,69.2459280167441,297582,63213,63946752,43797136,1.1878288577828464,0.16080289796286246,1,128,0,1,1,234.79864885,0.6967204560937937,0.08877303565134556,637.4222382641507
128,2048,56.27046787294015,312527,63203,60854272,40882288,1.3916277074056853,0.1813987257497219,1,128,0,1,1,193.64061955000003,0.6869854456600515,0.0850676531263675,637.4222382641507
