cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,177.37380779515775,323538,51904,39432192,30333608,0.5491654106600737,0.2069174381359226,1,1024,0,1,1,541.02524905,0.7331832642214435,0.11478674919395697,742.9908354380951
1024,128,376.374723038206,338247,36706,32743424,30273216,0.3981302425054282,0.13157765862302298,0.704127036678383,1024,0,1,1,1055.1942998,0.9166539794650719,0.012502220668694693,742.9908354380951
1024,1536,148.98765480922648,321025,38387,51359744,30868968,0.6067138808100594,0.3095973959864301,1,1024,0,1,1,420.5736667499999,0.6398027428206808,0.16318952115782734,742.9908354380951
1024,2048,156.38130328137532,332259,43015,50311168,30387464,0.5349348710867943,0.260604169651889,1,1024,0,1,1,449.00372930000003,0.5872601306007258,0.17222006759346753,742.9908354380951
1024,256,405.78241179620755,378252,25011,33005568,30122760,0.3000355911094671,0.08316576450857484,0.5818813320400065,1024,0,1,1,1276.8769068999998,0.9158385259644373,0.018373536411984488,742.9908354380951
1024,512,221.8664080241228,365335,44722,32743424,30245696,0.4378269108002021,0.14302620915163775,0.986423563280696,1024,0,1,1,753.21683615,0.8998455045442476,0.03762875257358138,742.9908354380951
128,1024,148.2950782920151,266428,42855,39432192,30617016,0.5595645766536648,0.1833288942624534,1,128,0,1,1,508.22430670000006,0.726556561998785,0.12035952481103565,742.9908354380951
128,128,564.5690612519179,300509,53446,32481280,30407616,0.27999859795694526,0.09949722791542129,0.520228493737102,128,0,1,1,1428.2009624285713,0.9185723678484917,0.013501792986369937,742.9908354380951
128,1536,169.67318882207152,269817,31862,48738304,30688616,0.5045878019944834,0.23741403857808047,1,128,0,1,1,522.8951135499999,0.5743683922334413,0.17745019015232746,742.9908354380951
128,2048,123.4995893968611,356283,48255,49000448,30428816,0.571687333853931,0.27286182013837496,1,128,0,1,1,447.5997366999999,0.5863092429336378,0.15788464283553172,742.9908354380951
128,256,318.7244379169178,333438,30536,33005568,30109744,0.24021961799614186,0.052198963893185325,0.47618706859248017,128,0,1,1,1560.2919198,0.9076386858871347,0.05010970165834546,742.9908354380951
128,512,232.17815785561572,417266,20002,33005568,30154816,0.3729970174733831,0.06502330580482321,0.789068194803267,128,0,1,1,941.6053521500002,0.8922503883914136,0.04202835080734,742.9908354380951
1536,1024,180.39586823885224,364852,47549,37859328,30604352,0.5447409802889365,0.21825486388175155,1,1536,0,1,1,543.3299273,0.7383555115782408,0.12224841101030372,742.9908354380951
1536,128,651.7914369107843,365723,36817,32481280,30144064,0.3228249473019978,0.12202688371976662,0.5244557683161252,1536,0,1,1,1416.689224,0.9191610678456298,0.009100640310615866,742.9908354380951
1536,1536,154.2293072465817,303868,34684,50049024,30417624,0.5146217401530712,0.24709183805545754,1,1536,0,1,1,503.5609143,0.667550671501734,0.14900993523310396,742.9908354380951
1536,2048,148.31684530090504,303786,42186,37982208,16038848,0.5343122661628736,0.25656008484521403,1,1536,0,1,1,448.89850415,0.5565873924405333,0.15886034327192597,742.9908354380951
1536,256,335.0140430348868,252586,51361,32481280,30226360,0.33642571591076126,0.11682457244012577,0.6670589535484455,1536,0,1,1,1113.8308413157895,0.91188570438077,0.02154516429272268,742.9908354380951
1536,512,213.15129845544527,390781,26730,33005568,30589112,0.3883770807886529,0.10322445204492256,0.8060510514499389,1536,0,1,1,921.76647385,0.8842436672527765,0.0745551554160784,742.9908354380951
2048,1024,163.73370865090504,276633,32674,40480768,29822368,0.5622852264155667,0.20322382038758197,1,2048,0,1,1,547.6338574,0.7224473025202348,0.12258257662609581,742.9908354380951
2048,128,572.127339429722,379863,54844,32743424,29859008,0.36332030058536063,0.16790521332466501,0.5455105441287865,2048,0,1,1,1362.0100352499999,0.9156148879406633,0.01071971629143632,742.9908354380951
2048,1536,151.3971594593741,196918,59056,38244352,16033416,0.5222566729231424,0.2828194841463795,1,2048,0,1,1,510.118408,0.6883886941578561,0.14184431267132416,742.9908354380951
2048,2048,163.321034243005,326460,32420,49000448,30419528,0.5332202309347595,0.2768885284884541,1,2048,0,1,1,447.93599845000006,0.666345186207772,0.13139262700178025,742.9908354380951
2048,256,310.6450729176518,370149,33747,32481280,29774440,0.3927458808662772,0.109766285657535,0.798969703877406,2048,0,1,1,929.93618135,0.8995181601108329,0.04716709752770437,742.9908354380951
2048,512,193.82265855182848,234942,86671,32481280,29724200,0.38918772086260534,0.111354813514381,0.8780925605143705,2048,0,1,1,846.1418179,0.9003151277039259,0.04235967640366034,742.9908354380951
256,1024,169.20491455258139,444115,52427,39170048,30236736,0.5059986079421944,0.16287999599958777,1,256,0,1,1,612.2555873499999,0.7415150447454512,0.12520314680676373,742.9908354380951
