cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,228.15900386933794,445499,35670,50712576,44482800,0.6382290950908385,0.2703773787554414,1,1024,0,1,1,615.36369145,0.7414614653888992,0.10175649744027024,795.1451789626169
1024,128,488.9348946210044,486697,45621,32743424,29702168,0.32095780801965934,0.06563323480812343,0.5130901737502259,1024,0,1,1,1549.7181970000001,0.9070344738232554,0.009111062755503852,795.1451789626169
1024,1536,177.57356135087267,332286,39004,58970112,44544320,0.6518781840482781,0.2684033535265575,1,1024,0,1,1,466.4990702000001,0.7107663682841625,0.13335402575480665,795.1451789626169
1024,2048,163.46050510851458,358072,56182,38768640,15533336,0.765861072797017,0.35852469252054314,1,1024,0,1,1,381.96634144999996,0.6884639575859761,0.1374672864400257,795.1451789626169
1024,256,299.56255603524187,394396,82294,32219136,29670704,0.40576050434368155,0.11823772135583704,0.6571943266534683,1024,0,1,1,1209.9087693157896,0.8822412237556481,0.06057366049568508,795.1451789626169
1024,512,238.45966347406156,423233,62545,33267712,29669368,0.45585607418088187,0.09435135497222945,0.7788691543717177,1024,0,1,1,1020.8969946999999,0.8786604216105177,0.05186356048931929,795.1451789626169
128,1024,169.14946021268224,358936,43189,50450432,44599968,0.5934212179437197,0.17666620404865457,1,128,0,1,1,598.8595301,0.7346306487434037,0.11436898383465002,795.1451789626169
128,128,1068.8331780719952,459274,63538,34578432,29600128,0.3450413307723411,0.16690585268899044,0.40488905691503596,128,0,1,1,1963.8593965000005,0.9063927373149261,0.02132096894797832,795.1451789626169
128,1536,147.70055359564313,374352,75194,62640128,44418112,0.6850036355786302,0.2526699886529572,1,128,0,1,1,395.8584854,0.7629436430702173,0.07608965590359709,795.1451789626169
128,2048,136.5440591806768,305588,57268,58970112,44900192,0.792387228567818,0.338545813053309,1,128,0,1,1,347.1978784,0.744285341479795,0.09162192309651519,795.1451789626169
128,256,596.8948169396899,453729,31089,33267712,29879232,0.33471805441595215,0.11873877383150677,0.5123487612533602,128,0,1,1,1551.9607718333332,0.8653554396003772,0.05666306629391497,795.1451789626169
128,512,236.3135045212669,390584,66910,32219136,29852704,0.48263974451740815,0.09715284423848636,0.8337100517612943,128,0,1,1,953.74306365,0.8646688549957455,0.0854648022965147,795.1451789626169
1536,1024,176.49967775695717,421508,35384,45199360,30843080,0.6524027828017241,0.17406797375147667,1,1536,0,1,1,575.2418057500001,0.7627176940055866,0.11469664825664173,795.1451789626169
1536,128,184.161538727025,459986,63155,32481280,29607616,0.48394127258753783,0.07379456803201158,0.7395608048996453,1536,0,1,1,1075.1586261666669,0.8459143318497925,0.0731597103812394,795.1451789626169
1536,1536,150.65610602410328,323604,55684,58707968,45849104,0.6228275199564197,0.3073445029497998,1,1536,0,1,1,433.82976545,0.7530884197447942,0.12328354947840577,795.1451789626169
1536,2048,140.4161591700381,299919,40170,44806144,31439320,0.6106948101312482,0.2018437233068836,1,1536,0,1,1,459.53879775000007,0.7296598638256683,0.12496971416596518,795.1451789626169
1536,256,422.64320584226755,397730,57238,32743424,29631496,0.40279330880126324,0.1407267808609025,0.6427163370601942,1536,0,1,1,1237.1634780588236,0.8601843751536886,0.057864712990218344,795.1451789626169
1536,512,240.27256931022487,430620,40702,33005568,29789984,0.4331896944602249,0.1180143734554556,0.7550264946301102,1536,0,1,1,1053.1354655999999,0.8854831852749647,0.0647322738047442,795.1451789626169
2048,1024,218.39178142322362,368926,68812,42315776,30886248,0.6529827725746956,0.25186164595163235,1,2048,0,1,1,566.7027083,0.7856372938592733,0.09274585068844933,795.1451789626169
2048,128,731.7932358645041,457056,82379,33267712,30132656,0.38263548843848244,0.19318342045476825,0.49361241040404646,2048,0,1,1,1610.8695045,0.8795828541339752,0.05181179572353676,795.1451789626169
2048,1536,135.5358220226115,279738,48655,44806144,30545840,0.6094680716701892,0.22095499724334305,1,2048,0,1,1,431.76679809999996,0.7498595199685104,0.11080710157567396,795.1451789626169
2048,2048,149.7028363343151,365317,51951,58970112,46111960,0.6594951523842578,0.2790047094447701,1,2048,0,1,1,374.0077559,0.7237479081955941,0.14190254980934675,795.1451789626169
2048,256,299.3513422887726,389970,78286,36937728,30062728,0.425723595347171,0.13135537379233939,0.6860910226453025,2048,0,1,1,1158.9499829000001,0.8523761807093843,0.06678937188309157,795.1451789626169
2048,512,173.82418662243055,400140,35068,37199872,29650792,0.44358009460475556,0.09361443698971082,0.7858010621192554,2048,0,1,1,1011.8911990500001,0.8816238287188319,0.06791651724422224,795.1451789626169
256,1024,190.61739956097043,302542,44390,50450432,44508080,0.5743933997220887,0.17966510530616492,1,256,0,1,1,629.4570908000001,0.7550909224813257,0.12102377472671491,795.1451789626169
256,128,710.8409115685025,390544,58510,39559168,29603680,0.47961913562218317,0.14855873871800915,0.664398499899272,256,0,1,1,1196.7895458571431,0.8517328638215477,0.08372102694369324,795.1451789626169
256,1536,169.64580342481042,344163,74195,59232256,44635208,0.7221833999493609,0.32298267902332856,1,256,0,1,1,440.175652,0.7253257017512533,0.10163606714287972,795.1451789626169
256,2048,154.15772733552205,278688,54342,45068288,30539448,0.6178695864166293,0.1969741782147751,1,256,0,1,1,442.03813634999995,0.722793428416409,0.123039974383023,795.1451789626169
256,256,450.56401595105166,457645,56491,32743424,29619008,0.4047726115202752,0.13373354621022765,0.6428937791044836,256,0,1,1,1236.8220144705883,0.8379200503821578,0.0855118830448403,795.1451789626169
256,512,174.187502982285,392877,57811,35889152,30222456,0.47331867534380523,0.07916086167516018,0.8227705338434552,256,0,1,1,966.4239861,0.882638561977027,0.04805522836374989,795.1451789626169
512,1024,188.53964353908862,425571,51984,39170048,29794880,0.6413975400487718,0.24744774716661372,1,512,0,1,1,580.7218217999999,0.7619985914657358,0.10733577847072726,795.1451789626169
512,128,1221.4118263554,512873,81274,38772736,30068936,0.3565459631614915,0.1997754108691459,0.3958070491933169,512,0,1,1,2008.9212169999998,0.8627861024043038,0.07417045690685387,795.1451789626169
512,1536,142.67791992602832,336946,40993,39817216,15504328,0.61337670040813,0.22478931752192907,1,512,0,1,1,522.9399501,0.7266352613299594,0.14308701799368037,795.1451789626169
512,2048,167.8240875445951,370285,36334,59494400,44647296,0.6851221456690213,0.29394618758174157,1,512,0,1,1,395.5616476,0.7474662714525148,0.10064142064195053,795.1451789626169
512,256,250.3028391215603,461642,40748,34578432,29617920,0.28158389935260153,0.04946256643361605,0.46065801705442044,512,0,1,1,1726.1073280499998,0.8619441450612412,0.06325274664648563,795.1451789626169
512,512,270.3316630718168,416178,57062,32743424,29853192,0.39584627710764586,0.08287899433167299,0.696890265472581,512,0,1,1,1140.99050935,0.8897672923585315,0.047588582368743096,795.1451789626169
