cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,75.02079438593458,293335,61159,44466176,35057296,1.0228703808734438,0.1322877494438157,0.9907075757192098,1024,0,1,1,296.1045534,0.7550244740174012,0.08025019364196954,293.3530242583333
1024,128,198.812660951751,320821,89195,32772096,27991944,0.7657257714118979,0.12731334630975932,0.5821166086338786,1024,0,1,1,503.94202795,0.8707974402839389,0.044337299838437906,293.3530242583333
1024,1536,54.51435791435454,320121,52252,62689280,40973208,1.2991359481013596,0.23993592056281285,1.0,1024,0,1,1,182.53627850000004,0.6978326541455389,0.119383071216169,293.3530242583333
1024,2048,28.963250760502586,226602,43146,47738880,26529088,1.6558719686739625,0.22531598124864521,1.0,1024,0,1,1,127.7084816,0.7048209702899608,0.07983893305689987,293.3530242583333
1024,256,51.496587581912316,308227,59501,39211008,33757256,1.3931214104100105,0.15347063952824083,1.0,1024,0,1,1,265.604741,0.8692312798395051,0.04176389370385935,293.3530242583333
1024,512,72.9833881287606,424203,32982,50491392,48183792,1.010458903998317,0.11871673413343181,0.8146738657500097,1024,0,1,1,360.0864549500001,0.8670307995380979,0.05645209452709258,293.3530242583333
128,1024,115.27109227852306,371639,54614,40771584,29116520,1.054183982564853,0.24799573596083072,0.8576868558151005,128,0,1,1,342.02812165000006,0.771031433965729,0.0584576623193598,293.3530242583333
128,128,119.8773929490368,374947,56518,51171328,46198872,0.9994320073047346,0.3007455223231618,0.72723269220378,128,0,1,1,403.38261385,0.8911217621494508,0.04407328225816241,293.3530242583333
128,1536,55.88958605574423,164404,20775,77164544,59011704,1.4181583507788174,0.27984184683392704,1.0,128,0,1,1,212.35800465000003,0.7113665886737307,0.08964218709640849,293.3530242583333
128,2048,41.42609131400198,324856,72317,63188992,43749472,1.652594726874661,0.24052723187885608,1.0,128,0,1,1,142.74143454999998,0.7008800634328038,0.09728424535563167,293.3530242583333
128,256,85.52484025281825,295276,34613,40886272,37670880,1.0729720007399204,0.12029314124827147,0.8816896129848655,128,0,1,1,332.71688804999997,0.8963089132184626,0.04820429738048054,293.3530242583333
128,512,97.20858443475143,421290,90006,45481984,41530192,1.0792782268589316,0.12421395252631981,0.8974029568063008,128,0,1,1,326.8910828,0.8822357997325099,0.04845855472370287,293.3530242583333
1536,1024,91.51534063187457,303995,79597,59695104,48013976,1.0208762584575541,0.19227639635756275,0.9255801683928242,1536,0,1,1,316.93961720000004,0.743827716241235,0.09513907215770917,293.3530242583333
1536,128,118.09896995332261,339418,77310,40624128,37795928,0.7855295043780031,0.12365441352379797,0.5920328308173101,1536,0,1,1,495.50127795,0.891872037262849,0.035807518352308124,293.3530242583333
1536,1536,71.66292320055793,296767,83572,69492736,47999040,1.3889984418987484,0.24296839171481918,1.0,1536,0,1,1,189.40823880000002,0.6972827131763423,0.10785573852482755,293.3530242583333
1536,2048,35.39263195269756,286536,52025,58204160,42589232,1.675619015892013,0.25198917945869437,1.0,1536,0,1,1,138.94680379999997,0.7374745151695167,0.10506076414512723,293.3530242583333
1536,256,86.22460676782784,394360,46607,33521664,29187208,1.0822189250206076,0.15595424921049075,0.8616384769518701,1536,0,1,1,340.4595223,0.8555334208922716,0.0833790510976822,293.3530242583333
1536,512,90.43554097108664,325577,94843,32800768,26909512,1.0942941717457915,0.114939904072806,0.9133224770885235,1536,0,1,1,321.19326044999997,0.8631248097984885,0.05858522916976552,293.3530242583333
2048,1024,108.63060007723364,404107,32787,45187072,36819776,1.0228477996730574,0.15734853217902273,0.9138374637557416,2048,0,1,1,321.01225425,0.776426943479432,0.08986364617708656,293.3530242583333
2048,128,113.52829084093993,283297,99285,38948864,33660632,0.9523191056437742,0.17133904414996462,0.718810413287153,2048,0,1,1,408.1090352,0.8789081994602117,0.041316366360522064,293.3530242583333
2048,1536,57.04986883409152,337743,101834,82345984,62400664,1.3146107043934727,0.1617903373197474,1.0,2048,0,1,1,195.6373965,0.7005997710122729,0.10148118366814049,293.3530242583333
2048,2048,37.63868136404841,314790,51428,61116416,41341744,1.6966218459028521,0.2386167597696809,1.0,2048,0,1,1,137.87282455000002,0.732921968228782,0.10194211281655202,293.3530242583333
