cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,44.06821940210764,96178,36586,50335744,39185512,0.9436234838179199,0.13226098375104822,0.8896328579303776,1024,0,1,1,126.7183329,0.7605062708281023,0.04837653456387188,112.73279265
1024,128,70.70955644490815,110907,9307,42590208,38299864,0.8841020401970425,0.1108625524804601,0.7373481648148401,1024,0,1,1,152.88950055,0.8898936642210676,0.018657979877415926,112.73279265
1024,1536,52.68874653974089,110718,17438,49070080,29317144,1.0633106116281534,0.20723363348521207,1.0,1024,0,1,1,91.9627166,0.6624067330505439,0.04825015719605279,112.73279265
1024,2048,26.13091113459503,96048,27411,61186048,43253992,1.2041449361347756,0.2014286430458848,1.0,1024,0,1,1,62.49882205,0.6838340956129486,0.06401681998148491,112.73279265
1024,256,37.617612289334275,124308,29698,32210944,28117416,1.1696213127107258,0.2358867649091359,1.0,1024,0,1,1,106.60040735000003,0.8857562265905985,0.023765895377130492,112.73279265
1024,512,55.07315251008854,74166,33911,42328064,38323032,1.055035969628873,0.1414811739523411,0.998796959240334,1024,0,1,1,112.86857814999999,0.8833946168823296,0.0205593636308897,112.73279265
128,1024,59.15690992361576,113950,30988,40214528,30032192,0.9209615516409828,0.17360863384609346,0.949952657518556,128,0,1,1,118.67201144999999,0.7559035563689881,0.04055268285511026,112.73279265
128,128,53.65697997587969,122403,34141,32210944,28223256,1.0699779031849848,0.09888755985106203,0.922191292413267,128,0,1,1,122.24447745000002,0.8870833080214913,0.015364847629516743,112.73279265
128,1536,36.52099889888117,129717,36501,66347008,47334072,0.9825215965001902,0.15531987393343274,1.0,128,0,1,1,109.23848039999999,0.6676974727120162,0.056538290352644564,112.73279265
128,2048,26.77002941975966,144536,55163,69292032,49251304,1.1304999116847017,0.22692477760459193,1.0,128,0,1,1,56.620286650000004,0.648297973989825,0.0418512848832736,112.73279265
128,256,62.36826389155921,163506,41401,49074176,45589512,0.961721608443014,0.1426390018167135,0.722673173157364,128,0,1,1,155.9941573,0.884517386069821,0.02793442619254844,112.73279265
128,512,55.171069217384634,112648,20849,28106752,23902400,1.0125957623787056,0.12703739361593167,0.8757879388356574,128,0,1,1,128.72156335,0.8854817336823768,0.02176823074285212,112.73279265
1536,1024,68.24399764427906,58764,19787,41066496,30093528,0.8176601515037347,0.21908603116576453,0.8606393869591149,1536,0,1,1,130.98725710000002,0.760836853188662,0.052378031963011724,112.73279265
1536,128,88.63041362786488,42125,16758,32206848,28847896,0.8446999676776754,0.11285789644844173,0.6154186675407388,1536,0,1,1,183.18065179999994,0.8948754358459137,0.014025428908189025,112.73279265
1536,1536,34.819231874825604,116053,33925,58601472,38291608,1.0258448249007608,0.17475860336692467,1.0,1536,0,1,1,94.26728685000002,0.6694744187987767,0.04657113205668758,112.73279265
