cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,40.71941267403658,126507,414,30519296,25194816,0.8248761214111651,0.12026972706912908,0.8680614779093787,1024,0,1,1,80.90116895000001,0.6755947885816681,0.07593475567185554,70.22718828333335
1024,128,51.55082837679101,95918,4102,24612864,21036344,0.8360235858416616,0.12838724088940612,0.7351458862578371,1024,0,1,1,95.52823405000001,0.8680177019308836,0.013990043580152886,70.22718828333335
1024,1536,40.80794302901429,38329,388,39038976,25121632,0.9707356183841952,0.08399626085447422,1.0,1024,0,1,1,61.68048080000002,0.6304686586003025,0.11235579847795236,70.22718828333335
1024,2048,19.127988842402463,30269,7685,39038976,24899240,1.0224999005692685,0.06370928693929498,1.0,1024,0,1,1,41.3032608,0.5473883499436532,0.060625246603724474,70.22718828333335
1024,256,35.14402029040498,72016,8003,25399296,21431192,0.81828885142356,0.14163235699563814,0.8042365617218128,1024,0,1,1,87.32155639999999,0.8600926739487587,0.01327094835903244,70.22718828333335
1024,512,35.99405431539237,115708,1146,25137152,21321616,0.9147557151440422,0.1358452701616419,0.980442525301248,1024,0,1,1,71.62805209999999,0.8665461256421925,0.012303192420048632,70.22718828333335
128,1024,53.29891024532202,52964,7943,25792512,15173712,0.7889948038450391,0.12732255053123184,0.848100513590205,128,0,1,1,82.80526560000001,0.6756513005791757,0.05355563086217788,70.22718828333335
128,128,42.13911156270367,120169,8659,24612864,21064680,0.7378656932127499,0.14867575441810335,0.6414848965590163,128,0,1,1,109.4759809,0.8713622734523389,0.014478270524405699,70.22718828333335
128,1536,37.55885248657043,36883,19,38776832,25250216,0.993757606491782,0.09780785842314293,1.0,128,0,1,1,63.6672017,0.628327719787175,0.11592141881940111,70.22718828333335
128,2048,25.67641891381881,75861,6497,34312192,15310016,1.0201418385284773,0.09443304856898657,1.0,128,0,1,1,46.57038899999999,0.554324142275725,0.05687258500172386,70.22718828333335
128,256,30.886663728151113,37296,19,25137152,21543016,0.9112145294643297,0.09451092328451459,1.0,128,0,1,1,67.4881862,0.8605540304313509,0.01632018980187655,70.22718828333335
128,512,27.13106917573958,17752,20,25137152,21322280,0.9334803741387177,0.08447521937299012,1.0,128,0,1,1,54.31023965000001,0.8634562210634507,0.01714126415584204,70.22718828333335
1536,1024,32.773829706967454,62333,8627,25792512,15199848,0.8223993686353508,0.17693112844715173,1.0,1536,0,1,1,65.21647715,0.6759198752314416,0.0595694828570396,70.22718828333335
1536,128,58.18578050613126,84114,3252,25137152,21309936,0.7778932334068279,0.25279232711726474,0.7782137269662198,1536,0,1,1,90.24151830000002,0.8626174829444533,0.01123040344860508,70.22718828333335
1536,1536,39.241003656448804,43743,4112,39301120,24929272,0.9194238950150322,0.11041067325188676,0.956109265853146,1536,0,1,1,73.45100689999998,0.5255594154886499,0.05483624737106042,70.22718828333335
1536,2048,14.307884148752745,60799,16,39038976,24943288,1.0392900131958043,0.11244298963111174,1.0,1536,0,1,1,41.8283091,0.5393963208168457,0.060201063084537265,70.22718828333335
1536,256,37.59448443182131,45668,0,25137152,21446648,0.8195979583120039,0.16297698363476668,0.8866599213971257,1536,0,1,1,79.20419835,0.8664447326371111,0.013512399121336265,70.22718828333335
1536,512,27.560449419009316,88146,632,25137152,21319816,0.8865155638564527,0.10037721447922451,0.9844235879913553,1536,0,1,1,71.33838435,0.8661328340182137,0.010867030673797838,70.22718828333335
2048,1024,33.888165765262755,80650,4329,26054656,16555960,0.8420183462438716,0.15785924511031774,0.9564253200477956,2048,0,1,1,73.42673475000001,0.6601192201686538,0.06874772638002814,70.22718828333335
2048,128,36.815329989463535,99850,3394,24612864,20796064,0.793782178615934,0.13173675699075915,0.8713380958583691,2048,0,1,1,80.59694464999998,0.8704108591193295,0.01661257962523274,70.22718828333335
2048,1536,25.22318895807943,42396,8464,34574336,15301680,0.9502565469852712,0.08353759472389169,0.9719008846315418,2048,0,1,1,72.25756185,0.5488584219848922,0.05613374849274785,70.22718828333335
2048,2048,23.24187040116026,66934,2993,39301120,24910464,1.0146557695079006,0.03664636973858771,1.0,2048,0,1,1,49.70021824999999,0.5479846550179358,0.060027241873499705,70.22718828333335
2048,256,36.392570103929366,27679,3955,25137152,21308752,0.9533477363767545,0.08430879180260116,1.0,2048,0,1,1,64.5366597,0.8676379310173358,0.01655767127610651,70.22718828333335
2048,512,46.0393136636233,115494,19903,25923584,20958664,0.9059759450344771,0.08470611968365015,0.8686644710539477,2048,0,1,1,80.8450105,0.8525763040880827,0.01938720827824622,70.22718828333335
256,1024,41.55942060514087,16440,127,25792512,15221488,0.8438851410746894,0.11417821858465571,0.7522651196238724,256,0,1,1,93.35430614999999,0.6579241933005837,0.05502908919998554,70.22718828333335
256,128,35.762426181819485,39998,4669,25399296,21399688,0.8964506573392945,0.09047963393354322,0.9644878917009663,256,0,1,1,72.81292889999999,0.8655797770339891,0.014177159601125137,70.22718828333335
256,1536,34.18365767618211,69867,370,38776832,25095560,0.8966977894260226,0.16521932122085467,0.9540825871102545,256,0,1,1,73.60703279999998,0.5858218232816149,0.09645971244941465,70.22718828333335
256,2048,27.618721164586734,116339,6484,34312192,15438232,1.0029109827280251,0.045231442524714636,1.0,256,0,1,1,47.15670229999999,0.5552160253316849,0.06077600576377695,70.22718828333335
256,256,39.92209755638459,99498,42,25137152,21337216,0.8934051078290448,0.14090792912507724,0.8249424905499273,256,0,1,1,85.12979885000001,0.8635886239800363,0.010392104247282517,70.22718828333335
256,512,23.855597241725366,40908,721,25137152,21351488,0.8780434928110139,0.09459720615640214,1.0,256,0,1,1,63.90815579999999,0.8673462945318169,0.014460595261301864,70.22718828333335
512,1024,39.62060776133369,61800,8262,26054656,15212736,0.8764226660374226,0.0911405241764845,0.9745577845526712,512,0,1,1,72.06056880000001,0.664372270085255,0.05383649448992403,70.22718828333335
512,128,38.77546399889099,64490,127,24612864,21028112,0.8392967973042138,0.1036506228166107,0.673036690079212,512,0,1,1,104.34377400000001,0.8702932373977893,0.013190499275791653,70.22718828333335
512,1536,29.282216350771982,67713,3810,34574336,15327808,0.9876159731335277,0.070795796429136,1.0,512,0,1,1,53.28001785,0.5342226904950539,0.05466077365481521,70.22718828333335
512,2048,15.297055808912763,41576,4238,39563264,24691648,1.0516411589147716,0.12058214398684472,1.0,512,0,1,1,30.093291049999998,0.5421374266328158,0.05984000474692767,70.22718828333335
512,256,31.4773733899937,42431,8373,25399296,20646488,0.9610114511356004,0.14517118904188375,1.0,512,0,1,1,50.790580350000006,0.8613929215638907,0.017135514593568605,70.22718828333335
