cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,783.9151314983295,2017397,183615,58388480,50653840,0.9004663095693921,0.17997333008075708,1,1024,0,1,1,740.9921219500002,0.8190107399536058,0.08035435715344676,1806.6980328367347
1024,128,367.7333979569786,2255168,218406,38322176,35606704,0.586274339722188,0.057531003835606144,0.4484841287553825,1024,0,1,1,4028.4547813333324,0.9446942840328242,0.011209765096635673,1806.6980328367347
1024,1536,373.58629880842614,1870058,138190,64540672,33040200,1.414722008761744,0.28998415065642913,1,1024,0,1,1,274.33044424999997,0.736623642708707,0.10424737843818686,1806.6980328367347
1024,2048,224.66857448702902,1624118,167112,83161088,55682312,1.6575162186502037,0.3220598419645936,1,1024,0,1,1,148.87480455,0.7658504034955864,0.08595550957356271,1806.6980328367347
1024,256,3100.4173071151567,2185486,179325,37797888,33431856,0.4843836825836323,0.29547749248068345,0.3301984415388658,1024,0,1,1,5471.552271466668,0.9162488405392197,0.04300643254824309,1806.6980328367347
1024,512,1840.4546140986786,1985330,165705,37273600,35053800,0.5104134217180655,0.06975576946318937,0.8659015125315745,1024,0,1,1,2086.4936793499996,0.9033194089186021,0.08337726074010146,1806.6980328367347
128,1024,813.346669547301,1849197,161013,44224512,35411808,0.8138312719658931,0.1508252074800838,1,128,0,1,1,760.7725037000001,0.8686668618743209,0.05129388052296066,1806.6980328367347
128,128,1072.4259074033519,2200275,245690,38060032,35132280,0.45885623146758087,0.06695782837039288,0.326309017012487,128,0,1,1,5536.7701738,0.9330575986297633,0.009508249521254867,1806.6980328367347
128,1536,560.6693041710057,1920854,124884,56938496,40313016,1.1073613350802938,0.16038275023194173,1,128,0,1,1,460.8757710000001,0.7865129809677506,0.06373314289161373,1806.6980328367347
128,2048,346.8374837410211,1714942,106590,53006336,40230352,1.2301859235504486,0.22787036785728151,1,128,0,1,1,298.47931209999996,0.7432263900519199,0.1336247319307753,1806.6980328367347
128,256,3620.5039686599066,2100866,187873,52224000,49861096,0.43821966932364403,0.2741416120235782,0.3221204300755893,128,0,1,1,5608.765741473684,0.9031414637828702,0.07063961565075659,1806.6980328367347
128,512,1693.274575466269,1979993,146285,37273600,34963960,0.5150215570302528,0.09720104680469155,0.8690339748921184,128,0,1,1,2078.9728423000006,0.9363830274575051,0.014954827533938132,1806.6980328367347
1536,1024,914.8858735706199,2021923,164012,43438080,37090640,0.8524331541088019,0.11950382720942657,1,1536,0,1,1,764.1678185000002,0.8759696369269385,0.039231473997025,1806.6980328367347
1536,128,1362.2295633411734,2088987,258065,52748288,49739352,0.5018974344926163,0.10255303055106078,0.3519839360866691,1536,0,1,1,5132.899111599999,0.9066753998520893,0.07983951446760838,1806.6980328367347
1536,1536,573.5534526432818,2088656,168087,63492096,43347496,1.0659505173180022,0.25506866546889434,1,1536,0,1,1,459.09549649999997,0.8093529462906014,0.06397190823361175,1806.6980328367347
1536,2048,355.073996875177,1762685,168282,61657088,37649880,1.322577361966074,0.2393488455240009,1,1536,0,1,1,285.4553327,0.7538818908143419,0.09642209396804075,1806.6980328367347
1536,256,3759.7995842884757,1775373,160026,51961856,49434000,0.5356637643979002,0.417888219508561,0.35055009590267294,1536,0,1,1,5153.8939910555555,0.930353037499001,0.027062020943335176,1806.6980328367347
1536,512,1851.4364774048136,2140028,193604,38322176,36195464,0.4797325674662469,0.04381448264335606,0.8312889998436664,1536,0,1,1,2173.3693494999998,0.9121412736259794,0.04913719874266964,1806.6980328367347
2048,1024,819.1268880579647,1997932,164264,59437056,53448752,0.8577013102817703,0.19221520052921826,1,2048,0,1,1,720.34822935,0.835334857681446,0.08269792911275319,1806.6980328367347
2048,128,1462.8979821592548,2291459,223182,42516480,33346072,0.5307594152869385,0.13917610707236727,0.3501391097369532,2048,0,1,1,5159.943527,0.9077247195318818,0.06261793767267156,1806.6980328367347
2048,1536,598.3463575313491,351331,20948,68481024,57348704,1.1045784946548545,0.22941225427767745,1,2048,0,1,1,485.86086594999995,0.7797740323398626,0.09196843863206831,1806.6980328367347
2048,2048,363.08374120582687,1768264,154595,82112512,55401392,1.3870134496862263,0.2873208329862818,1,2048,0,1,1,269.8696861500001,0.7399414842185542,0.10497542063794804,1806.6980328367347
2048,256,2452.999976803725,2249846,182188,37797888,34810168,0.5227509184956907,0.2324566617597421,0.4639995011410359,2048,0,1,1,3893.7499466999993,0.9184596260919962,0.05541078205285592,1806.6980328367347
2048,512,1824.3665295617911,2368620,194003,38060032,35385480,0.5123418969587624,0.07594210022197484,0.9246269492434244,2048,0,1,1,1953.9750970000005,0.9221619319725137,0.049308738721875287,1806.6980328367347
256,1024,879.7318485572358,1900846,140516,58388480,52102176,0.8425231244236574,0.15136528133237753,1,256,0,1,1,774.9504682105264,0.8105125216333963,0.07759629332323917,1806.6980328367347
256,128,2699.4967764588478,2167322,213113,37797888,34854680,0.22684386357958072,0.04845454830274809,0.15847639981860798,256,0,1,1,11400.42324853846,0.9348768852791718,0.009595945026682162,1806.6980328367347
256,1536,383.9598761624627,1776092,132195,59297792,39359496,1.3876501248078723,0.3577186360534077,1,256,0,1,1,262.9177256499999,0.7333014923981279,0.11055317967965538,1806.6980328367347
256,2048,235.4563994258918,1743644,152582,64016384,36922960,1.6917656229884614,0.3534398395675323,1,256,0,1,1,151.3089052,0.7329969482995564,0.09954859681232187,1806.6980328367347
256,256,4304.771026667484,2060334,251826,37273600,34630576,0.32299668324053543,0.15021697170945858,0.2948003433925339,256,0,1,1,6128.547925166667,0.9004204859458808,0.07308067423491568,1806.6980328367347
256,512,1785.6747434825104,2012518,165795,37011456,34916704,0.48186648176861174,0.08709417669930189,0.8701767390124884,256,0,1,1,2076.242620421052,0.9258385885366627,0.03840644710900452,1806.6980328367347
