cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,184.75857157762934,230983,28212,37072896,30125056,0.49763360474497176,0.2080363130250925,1,1024,0,1,1,482.41540289999995,0.7414323086986984,0.1075954907413793,670.1077713679246
1024,128,480.1530964946544,260963,34747,32743424,29876632,0.2462038180053728,0.08591620139896704,0.42486500790898946,1024,0,1,1,1577.2251395,0.9162594533211382,0.0086531209078865,670.1077713679246
1024,1536,149.63551213430145,258127,39349,48738304,29849176,0.4414730879806544,0.19703159414034568,1,1024,0,1,1,446.6931401999999,0.660210769822444,0.15909503001293496,670.1077713679246
1024,2048,114.44251905704664,215912,34277,36671488,15599680,0.6106063729490241,0.31283879578499824,1,1024,0,1,1,322.8487549,0.5692266102825296,0.17193618343424014,670.1077713679246
1024,256,270.138404139802,299352,28901,33005568,29756704,0.2886391508026351,0.08263978722345951,0.6161207476439434,1024,0,1,1,1087.6240963000005,0.8993142203551914,0.04450453516690889,670.1077713679246
1024,512,174.6079024353111,277559,61848,33267712,30440472,0.3608089423485238,0.10625808780226328,0.9069945707011882,1024,0,1,1,738.8222521,0.8801711860104012,0.056212338007831354,670.1077713679246
128,1024,175.99758451819497,283475,19681,37072896,30265200,0.5147263498959196,0.15889275721683832,1,128,0,1,1,467.20341214999996,0.7337725480760129,0.1305782750664082,670.1077713679246
128,128,617.6382606917642,245234,56262,32481280,29709392,0.384299848408752,0.23566222852543986,0.5592714081347802,128,0,1,1,1198.1799205555556,0.9176393346732458,0.010249197072385396,670.1077713679246
128,1536,152.57677621802188,295744,37318,50049024,29993872,0.5448463980956226,0.31195952911226854,1,128,0,1,1,383.52898875,0.6876050262334299,0.15193327749638477,670.1077713679246
128,2048,113.1013549204846,286581,30705,49786880,30035000,0.5324911864123965,0.21317033159166307,1,128,0,1,1,341.52591175,0.5842777597536271,0.17371079020992067,670.1077713679246
128,256,256.08654238346514,337234,53497,32743424,29909128,0.2357072336632344,0.0480020806247377,0.5152767462757841,128,0,1,1,1300.481297111111,0.9070596840958713,0.029905846513920465,670.1077713679246
128,512,263.38444990050453,251754,38775,32743424,29813184,0.4364725867106613,0.2072460483933702,0.9600281643236723,128,0,1,1,698.00845045,0.851581405644558,0.07889215346551322,670.1077713679246
1536,1024,169.56691888006569,239961,34966,35762176,30318296,0.5101155000843247,0.26255967279784914,1,1536,0,1,1,488.5536516999999,0.7224368220409222,0.12130050917590665,670.1077713679246
1536,128,281.28626730086984,331236,26795,32743424,29792080,0.33464280007207875,0.1000779945533545,0.6543192023441597,1536,0,1,1,1024.1297656666666,0.90761879349088,0.006697865899240384,670.1077713679246
1536,1536,162.61940470863502,286330,30625,50311168,30127552,0.4746430184625088,0.2400348682323899,1,1536,0,1,1,446.83177605000003,0.6285971016373668,0.1708520027560688,670.1077713679246
1536,2048,158.74903437763604,260173,44514,50049024,29924080,0.49759769961856326,0.2353253810962139,1,1536,0,1,1,395.8683928,0.6056790692723107,0.18140434206053266,670.1077713679246
1536,256,291.736529132142,289807,64838,33267712,30236592,0.3386261477538402,0.13766547107198726,0.7138448650013458,1536,0,1,1,938.7302539,0.898375814626901,0.0454338423678427,670.1077713679246
1536,512,158.71558488865108,292849,38020,32743424,30108296,0.36560664448958,0.10704040932374659,0.8744223509013198,1536,0,1,1,766.3433702000001,0.875779336671533,0.08457227165234542,670.1077713679246
2048,1024,148.40721467858052,315741,33476,39432192,31610952,0.5330697289786298,0.23544884462206472,1,2048,0,1,1,448.3906854999999,0.7082109748791141,0.13738306796361885,670.1077713679246
2048,128,936.9722296015449,253285,60265,32743424,29676392,0.42449063994082326,0.2568005091796793,0.5091888916685822,2048,0,1,1,1316.029831625,0.9099656330671343,0.009893554474090436,670.1077713679246
2048,1536,130.52338599107222,210303,50561,37457920,15600256,0.5018176036175778,0.2774517411812671,1,2048,0,1,1,401.50846430000007,0.587773545595684,0.16993580140018413,670.1077713679246
2048,2048,132.71055074690528,235140,54800,50049024,29987624,0.5696783300067979,0.3123260120691945,1,2048,0,1,1,334.43718929999994,0.601939657634649,0.1646338170970272,670.1077713679246
2048,256,160.23013937603147,292041,26733,32481280,29883304,0.3623328183075626,0.09428902422628684,0.8427796893734009,2048,0,1,1,795.11618495,0.8971833813804228,0.04660742386087861,670.1077713679246
2048,512,166.9461317756401,287893,58443,32743424,29821712,0.37213585977422026,0.09293357749848268,0.9542310478026121,2048,0,1,1,702.24897095,0.8910964462120436,0.04786228879184152,670.1077713679246
256,1024,174.67260938562728,250426,54107,39432192,29785240,0.4916037193782722,0.13147532357256916,1,256,0,1,1,473.8942352,0.7086974661709775,0.11362119947920025,670.1077713679246
256,128,747.5724015506212,313713,63056,32481280,29761792,0.28775455480794476,0.10576798814042711,0.454832425159975,256,0,1,1,1473.3069462500002,0.9170595603986689,0.010980138531375607,670.1077713679246
256,1536,143.83818774988274,204584,38174,37720064,15589144,0.5781839654368225,0.27155269397774157,1,256,0,1,1,358.2677480499999,0.5812362626954721,0.1865859835769924,670.1077713679246
256,2048,129.20761942340647,190797,40701,37720064,15626208,0.47997483263537344,0.37972613339453665,1,256,0,1,1,418.7771514,0.5756061250488779,0.1769561178615259,670.1077713679246
256,256,278.06914281086256,264035,50020,32481280,29827984,0.26271464493093466,0.07221494232112666,0.5870056903342973,256,0,1,1,1141.56946415,0.8934445138659826,0.061512779126034624,670.1077713679246
256,512,224.0153463701645,249753,44180,32743424,29695984,0.43780689888731394,0.15508677603178495,0.9887708076742242,256,0,1,1,677.7179971,0.8719993191315961,0.0694040468043452,670.1077713679246
512,1024,178.42403332803815,298405,36118,37597184,30218944,0.5752579072481121,0.34876473151242227,1,512,0,1,1,463.4832860999999,0.743701903410501,0.12012339670064119,670.1077713679246
512,128,904.2035310024586,290605,32180,32481280,29695496,0.29602594453928494,0.16322534193689936,0.4191153424815949,512,0,1,1,1598.8624215,0.9134293299245856,0.009401944302468806,670.1077713679246
512,1536,155.00792138082267,236497,39655,51359744,30204320,0.5981537490290226,0.4265754599104816,1,512,0,1,1,377.84928,0.6129858736816236,0.15963321120287094,670.1077713679246
512,2048,134.40930807192444,287635,48291,50049024,30048064,0.5564377315186786,0.2237211623224649,1,512,0,1,1,328.7839684500001,0.563540347667385,0.17413337717620336,670.1077713679246
512,256,179.22905369433698,238982,51888,32481280,30443152,0.2761829492357769,0.05895716266562533,0.6196580935580425,512,0,1,1,1081.4153455499998,0.9087140382377463,0.0431449886895941,670.1077713679246
