cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,87.75541529774115,257926,57578,39694336,31018136,1.0456847260458062,0.22421030980043288,1,1024,0,1,1,176.4991569,0.8035761202802577,0.10948923469556565,186.15031084873945
1024,128,245.5383273028236,272451,74191,32743424,29787464,0.8207440478304535,0.27472475202198277,0.5148139451615561,1024,0,1,1,361.58754555555555,0.869112374412586,0.06886557854980632,186.15031084873945
1024,1536,51.98590266811114,267434,36731,50573312,29978336,1.063845518994621,0.2382549591868408,1,1024,0,1,1,131.07137385000001,0.7242662209202816,0.08762199773703207,186.15031084873945
1024,2048,33.059500406506025,280936,35622,50311168,31296992,1.5573889153282154,0.24654512796245562,1,1024,0,1,1,73.88317880000001,0.6805517655378333,0.12223497616080703,186.15031084873945
1024,256,57.797935155597834,277328,28564,33005568,30422640,1.0167236602236993,0.16579922323059726,0.9713428155801854,1024,0,1,1,191.6422378,0.8981729992467441,0.052874724708968,186.15031084873945
1024,512,61.50857969709901,220811,41292,33005568,29742432,0.9096596636219578,0.15081877613797087,0.7881126619472211,1024,0,1,1,236.19758929999998,0.8728010465369159,0.05103771412403194,186.15031084873945
128,1024,87.68616580064774,266609,37856,39432192,30127584,0.9384741370737025,0.16083136779707186,0.9758504160850527,128,0,1,1,190.75701335,0.7874060079586662,0.10723931618612909,186.15031084873945
128,128,290.77760239374896,282356,29818,32743424,29720472,0.805243756616435,0.3274657327240001,0.4808934704181855,128,0,1,1,387.0926146842105,0.8925844811926006,0.06691252378362923,186.15031084873945
128,1536,39.78554970576393,188678,42494,73007104,55210976,1.0263985962432107,0.1596141375246698,1,128,0,1,1,125.96188174999997,0.7346812052840966,0.08133419358270098,186.15031084873945
128,2048,28.346049321784708,233844,39703,50573312,30205192,1.5960427705651496,0.27583899175583837,1,128,0,1,1,75.5530911,0.6553062109841833,0.12611019513905436,186.15031084873945
128,256,38.25819608438947,203889,41856,33267712,30029072,1.28080722956669,0.2332202012685496,1,128,0,1,1,146.8919607,0.8903440831126769,0.05955367900142978,186.15031084873945
128,512,60.54644710033778,227910,67781,33005568,30365232,1.0176626724065394,0.1758341855473621,0.9275403229207254,128,0,1,1,200.69241870000002,0.8715528433372708,0.06945037276169931,186.15031084873945
1536,1024,62.9550405044306,239063,36628,38121472,30107720,1.0470357833924753,0.20825225119906648,1,1536,0,1,1,157.8044178,0.8101344545193833,0.09987617673615234,186.15031084873945
1536,128,148.13451889190006,200203,35156,34316288,30402304,0.9041638599629765,0.27412842945288723,0.6174507012912089,1536,0,1,1,301.4820623888889,0.8757088027666053,0.06523896604593096,186.15031084873945
1536,1536,36.5942879085366,290034,47047,51097600,30752296,1.3607496185825856,0.2391553167076827,1,1536,0,1,1,91.14468200000002,0.7108613067621106,0.10246107429749034,186.15031084873945
1536,2048,38.78268883531089,280095,30212,50573312,31245384,1.7101886169557123,0.42010493463922455,1,1536,0,1,1,77.8598776,0.690358281376715,0.11455824291791938,186.15031084873945
1536,256,31.37828262930489,195458,40299,33005568,29728904,1.3506791389180701,0.21007296729423292,1,1536,0,1,1,145.08209334999998,0.8718203172812748,0.0580525087890071,186.15031084873945
1536,512,59.25689763376252,197192,67199,32481280,29975048,1.0213380940865837,0.20819802546662333,0.8762289720621915,1536,0,1,1,212.44482525000004,0.8683153433856228,0.055941571911654484,186.15031084873945
2048,1024,68.89872321072353,297091,22039,39432192,30980624,0.9384153979535789,0.17471857417297018,0.9937496791538615,2048,0,1,1,187.32112800000004,0.805970851614736,0.07182348114854768,186.15031084873945
2048,128,210.6434176949837,225849,55243,32481280,29771880,1.127705564843245,0.3747568938444405,0.8113142921540615,2048,0,1,1,229.4429084375,0.8798921557285277,0.042133588156027094,186.15031084873945
2048,1536,94.69899082250545,302621,34063,50835456,30088400,0.9830735124268669,0.1831378918524212,1,2048,0,1,1,172.92055555000002,0.7337504571894536,0.09308117620140617,186.15031084873945
2048,2048,46.07818003166001,274846,29400,50311168,30560440,1.3155249699467033,0.2891646695812085,1,2048,0,1,1,96.96712230000001,0.7417193282739221,0.0965175114345955,186.15031084873945
2048,256,74.78768968615131,282901,24261,33529856,29753984,0.8295913763792004,0.1435062548893723,0.6812428599627426,2048,0,1,1,273.2510266,0.9067835867629999,0.01154239248760543,186.15031084873945
2048,512,68.80501637093865,270131,53415,33005568,29864520,0.8092895211123885,0.1272260650028585,0.6839510134605306,2048,0,1,1,272.16906939999996,0.8707518756188376,0.06383750808904322,186.15031084873945
256,1024,74.92665650516354,283025,28605,38645760,30951336,0.9992164890966275,0.20537361729126313,1,256,0,1,1,180.34224245,0.7954433652570543,0.08552752370771752,186.15031084873945
256,128,185.8284581392099,216615,54479,32743424,29676296,0.8475884927094557,0.2933902839403273,0.5862624192453916,256,0,1,1,317.5204562631578,0.879521216932261,0.069747326762614,186.15031084873945
256,1536,40.992656360072615,151833,51845,72482816,55230224,1.254235640705607,0.2960849872999395,1,256,0,1,1,103.67428524999998,0.6901739641410256,0.10134027082005742,186.15031084873945
256,2048,29.999247223861303,265786,38663,50311168,30627360,1.5730650455746282,0.19823704220126598,1,256,0,1,1,79.15478315,0.6497058090485922,0.12205406010476058,186.15031084873945
256,256,45.239422164130914,237571,37510,33267712,29802712,1.4344879540354911,0.22900759643875293,1,256,0,1,1,136.60799994999996,0.8745713124742082,0.05858138213416717,186.15031084873945
256,512,65.70422723168056,231426,37580,33005568,30205448,1.0818361126357205,0.18456796522513758,0.9273930393023713,256,0,1,1,200.72429160000002,0.858775283115685,0.07912923029948198,186.15031084873945
512,1024,79.10731472614576,304364,53354,39694336,31279624,1.0630271605617885,0.14407609026402515,1,512,0,1,1,168.76611479999997,0.7891575174450991,0.10114983320651841,186.15031084873945
512,128,113.9730923167178,257689,53073,33005568,29735312,0.7496860866500477,0.12698789426804644,0.5937439917719317,512,0,1,1,313.51948554999996,0.8802151164875831,0.05987370012219595,186.15031084873945
512,1536,50.31720435015953,269474,54167,51621888,30374792,1.4028719678951158,0.24848790829595246,1,512,0,1,1,94.87956605,0.6854786888782143,0.12227177425458467,186.15031084873945
512,2048,29.48763086079007,259496,54447,50311168,30516736,1.5689562285226755,0.20958458364971375,1,512,0,1,1,78.5635672,0.6380727782385527,0.13973263890205234,186.15031084873945
512,256,75.35178621117613,278184,23889,32743424,30053080,0.9820276799616444,0.1541979686056884,0.8926669768267519,512,0,1,1,208.5327627,0.862565082490596,0.08832121069061123,186.15031084873945
512,512,106.92648625760579,235868,36028,32743424,29688864,0.7795561581839421,0.1269572718155822,0.6342137147383585,512,0,1,1,293.51353735000004,0.883303738995099,0.0623294085942821,186.15031084873945
