cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,119.39002890063804,36090,864,25792512,15178928,0.10239980758354106,0.11557917709682175,0.974383814542975,1024,0,1,1,306.11810950000006,0.664109466056477,0.06805326397619764,298.27653123529416
1024,128,125.77887113788124,24934,865,25124864,21340208,0.11562663785115831,0.12910170316435857,1.0,1024,0,1,1,281.3372046315789,0.8639117601992173,0.013247001442167373,298.27653123529416
1024,1536,127.54661874593444,15526,3934,39026688,25096248,0.11655854832914274,0.1695278627378229,1.0,1024,0,1,1,244.24720359999998,0.5348756699460904,0.053919218617477185,298.27653123529416
1024,2048,149.31941689067818,65158,9870,34312192,15027232,0.0649809191966245,0.03750250399069419,0.9531185429120943,1024,0,1,1,312.94798894999997,0.5556420994613228,0.05836157310110361,298.27653123529416
1024,256,151.19579608806924,15840,11946,25124864,21287320,0.09571723077725577,0.07352611231380655,1.0,1024,0,1,1,297.38634780000007,0.8658887729453835,0.012797402598905445,298.27653123529416
1024,512,139.41750806401737,23921,29,25124864,21328688,0.0641728919720531,0.038843796282893625,0.8601433664674096,1024,0,1,1,346.77536660000004,0.8609044177052858,0.011782207720869409,298.27653123529416
128,1024,140.14093680810063,22775,20,25792512,15171064,0.10239706854920268,0.15456318241172018,0.8604262492091136,128,0,1,1,346.66135710000003,0.669140076715828,0.05268611605894097,298.27653123529416
128,128,131.08494901520373,26689,25,24600576,21369104,0.1305398555658126,0.13116217983411835,1.0,128,0,1,1,254.1347126,0.8695742151574717,0.012373605936414477,298.27653123529416
128,1536,117.9894632193699,18921,509,39550976,24866256,0.12943708373754176,0.17156250551762042,1.0,128,0,1,1,246.14081025000002,0.5384214917468281,0.053288642458095385,298.27653123529416
128,2048,132.17574158326113,63146,11475,34312192,15107744,0.06948511883469889,0.05123403704148886,1.0,128,0,1,1,288.07443055000005,0.5576643077772473,0.058994134796229065,298.27653123529416
128,256,143.53078400977617,22912,3038,24338432,21249704,0.07270697751681846,0.051569008223575075,0.8451850965851472,128,0,1,1,352.91267254999997,0.8685812645997878,0.011383745606093346,298.27653123529416
128,512,148.79399032376747,22185,414,24600576,21616384,0.09296966275190331,0.10613797447970476,1.0,128,0,1,1,296.98817699999995,0.8681553184481899,0.012654603665026866,298.27653123529416
1536,1024,138.33219083725524,37837,8480,25792512,15159800,0.09604096866032744,0.08906795819923587,0.8978833541639069,1536,0,1,1,332.1996447,0.6716925901186916,0.0596756524562996,298.27653123529416
1536,128,131.3519539766106,21946,4294,24600576,21207168,0.10375668084660786,0.1525512096126062,0.8472731940939638,1536,0,1,1,352.04292230000004,0.866028226436488,0.012522118454112784,298.27653123529416
1536,1536,110.28163013659142,22066,22,39026688,24928320,0.09085067819770767,0.05508794582481902,1.0,1536,0,1,1,229.87592224999997,0.5350728749951873,0.05391113469063049,298.27653123529416
1536,2048,145.46441350790118,29306,3290,39288832,24808888,0.06332148733535602,0.059645907148898974,0.8947496832985048,1536,0,1,1,333.36310345,0.5523380539959183,0.052611957084346586,298.27653123529416
1536,256,143.11550813059728,22126,466,24862720,21515360,0.08862232780688288,0.09594309469547081,0.9302339627944487,1536,0,1,1,320.64678690000005,0.8681421019620938,0.01271396209177774,298.27653123529416
1536,512,155.99371670760885,39054,7158,25387008,21193752,0.09659865189059756,0.10120552959750546,1.0,1536,0,1,1,286.14756625,0.866491376367653,0.013632261864627916,298.27653123529416
2048,1024,129.09248340910491,47272,11821,25792512,15147784,0.13171140009264953,0.16609224861141134,0.9990981334086304,2048,0,1,1,298.54577969999997,0.6683324300726932,0.05614973786490832,298.27653123529416
2048,128,126.8490623705754,18235,7758,24862720,21605480,0.08736694005487314,0.06444378325675978,1.0,2048,0,1,1,292.59360655,0.8717101592406733,0.013308798284744358,298.27653123529416
2048,1536,146.50281896312026,28242,11353,34312192,15271000,0.08052879054846782,0.0721132147428735,0.9459254871973023,2048,0,1,1,315.32772430000006,0.6070919857603184,0.08993595796537973,298.27653123529416
2048,2048,102.2605684738998,31033,4601,39550976,24752760,0.05986487044246671,0.04646832144543641,1.0,2048,0,1,1,298.13779660000006,0.5582404783248565,0.05290316516624859,298.27653123529416
2048,256,137.0033254325869,17626,4248,25387008,21278824,0.08571819969992364,0.12212787560056208,0.9768441135271341,2048,0,1,1,305.34711434999997,0.8630510775297996,0.012985538567442691,298.27653123529416
2048,512,148.0191743714314,32814,8165,25124864,21206464,0.10993489648811654,0.11557901130670258,1.0,2048,0,1,1,292.17023959999995,0.8593805167938671,0.01420360299818731,298.27653123529416
256,1024,136.05995525982135,25994,361,30769152,24965456,0.12523655583067206,0.1462921562430378,1.0,256,0,1,1,285.20871139999997,0.6728602784870998,0.05837848462227874,298.27653123529416
256,128,136.30999299794235,18057,3718,24600576,21670344,0.07481664760395147,0.039477025185395864,0.8691169523582319,256,0,1,1,343.19492955000004,0.8650392586993586,0.012372443374358276,298.27653123529416
256,1536,127.91714340054162,20776,45,39026688,25024096,0.07047578052814787,0.05251497906379925,0.8784840271549467,256,0,1,1,339.53552030000003,0.585081408587815,0.09656292527128009,298.27653123529416
256,2048,111.10164054724474,61869,11635,34312192,15000256,0.06953651702261565,0.07844849177038878,1.0,256,0,1,1,298.09630450000003,0.5577503996247164,0.05940459227346589,298.27653123529416
256,256,139.87804548992665,28751,7525,25124864,21232968,0.08098525712547144,0.05512237895396107,1.0,256,0,1,1,294.5616671,0.8614966715226438,0.012144872191435216,298.27653123529416
256,512,160.3661375618851,17534,4203,24600576,20947824,0.0872905896767313,0.07257832394236809,0.9581167447974054,256,0,1,1,311.3154350500001,0.867876119134276,0.014216555943670628,298.27653123529416
512,1024,172.30360457035948,19444,17,30769152,25031384,0.10674803491905485,0.13672758756199663,1.0,512,0,1,1,298.0321177999999,0.6654927362178793,0.07136019626614815,298.27653123529416
512,128,140.30298838902854,22253,7743,24600576,20989304,0.11787356176695277,0.10416516390871157,1.0,512,0,1,1,279.53994935000003,0.8668347173448693,0.01192525361194782,298.27653123529416
512,1536,134.75445417247354,36559,3314,34574336,15251936,0.0955361129730449,0.08655723233782647,1.0,512,0,1,1,269.73007309999997,0.5438577677963214,0.05793200789103994,298.27653123529416
512,2048,126.50944626834345,19040,512,39550976,24726504,0.09558508538405239,0.11896672864380495,1.0,512,0,1,1,238.2490608,0.5513741865303967,0.058725282100166414,298.27653123529416
512,256,125.87544441954554,24043,545,24862720,21308888,0.09893750723633254,0.15923002236838582,1.0,512,0,1,1,271.23195245000005,0.8676133832607504,0.011871998825922568,298.27653123529416
512,512,154.75115723782505,29017,11301,25124864,21236368,0.11128013072261211,0.14902400210738598,0.9389104371964946,512,0,1,1,317.6836889,0.8658374626786405,0.012418683699088573,298.27653123529416
