cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,877.0811702733702,2156518,161745,58126336,47675080,0.7999144878000066,0.11812156478536986,1,1024,0,1,1,786.3473582999999,0.8648048834368882,0.055248722809743606,2120.1903203366337
1024,128,787.7390842728558,2328429,246265,50126848,47226816,0.5915572259358708,0.07843948628969559,0.5199696207134591,1024,0,1,1,4077.5272936666665,0.9201710938293611,0.016474852149490998,2120.1903203366337
1024,1536,370.3698089124064,1795567,141280,63762432,48459360,1.2515293943196888,0.1764938032026965,1,1024,0,1,1,295.34002604999995,0.824666974464787,0.05640799862491064,2120.1903203366337
1024,2048,234.44292472355957,1745729,116046,62713856,51418912,1.5834551056654633,0.34695147593370385,1,1024,0,1,1,143.8013023,0.8086890420924819,0.07497844207845356,2120.1903203366337
1024,256,4023.618046893398,2064021,170860,49340416,46965624,0.44295671704468065,0.4424352443479211,0.3043045881585437,1024,0,1,1,6967.329454894737,0.9268556361568215,0.02758588001741131,2120.1903203366337
1024,512,2072.112655879299,2247230,173972,49864704,47512976,0.4902283019982109,0.11727439543075348,0.8948413450674184,1024,0,1,1,2369.3477419473684,0.9281365773861123,0.037970686142533246,2120.1903203366337
128,1024,831.8418867321928,1964761,168875,56291328,49424856,0.8276709838968402,0.1587684013931079,1,128,0,1,1,733.65927005,0.8702635139845913,0.06174393904022899,2120.1903203366337
128,128,525.8268505995337,2246203,257669,50388992,47528096,0.5810008387835345,0.05638463933685888,0.4986905884498082,128,0,1,1,4251.514605333333,0.933659987768392,0.015080248174712159,2120.1903203366337
128,1536,365.9753871251741,1769496,148123,67956736,47293488,1.3067546935529426,0.20961349681214372,1,128,0,1,1,264.03158129999997,0.8049868836024917,0.05687963513192149,2120.1903203366337
128,2048,219.7721292066446,1619474,146846,61927424,50826472,1.5211173825240158,0.3298852289866403,1,128,0,1,1,158.43872975,0.8052816761740728,0.06812307757819708,2120.1903203366337
