cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,623.209836962771,2121463,175946,70979584,61465896,1.1217690212654705,0.11335269692090713,1,1024,0,1,1,613.74709865,0.8513885251683752,0.08456194002295564,1730.3925016666662
1024,128,2859.64200651087,2552756,236877,64552960,61496096,0.4529709258052508,0.21018008888653195,0.24359026593029495,1024,0,1,1,7103.701353,0.9326048830298729,0.041240341164645804,1730.3925016666662
1024,1536,376.18948300582485,1824003,190691,76091392,62870656,1.2412316821865077,0.19870034244020873,1,1024,0,1,1,376.5956656499999,0.7850363661922347,0.10105939956040712,1730.3925016666662
1024,2048,216.0917564662445,1703609,180800,82907136,61617704,1.8291410469394358,0.3586087477089724,1,1024,0,1,1,189.70673835,0.7307440346132562,0.14283294821734174,1730.3925016666662
1024,256,3556.9856135188597,2366844,229050,64552960,61463472,0.43463959724306694,0.16829751080024807,0.41360127753967085,1024,0,1,1,4183.7213655625,0.9271647787727554,0.04328975255264266,1730.3925016666662
1024,512,2395.8807495153333,2545142,204373,64552960,61438904,0.7210802143512491,0.24875493410043198,0.7488448666620962,1024,0,1,1,2310.7489664444442,0.9206014459881859,0.059555016271169166,1730.3925016666662
128,1024,578.7216181797694,2162607,168771,71241728,61984472,1.0509929592831608,0.11481418295791948,1,128,0,1,1,612.3823469499998,0.81187904447528,0.10410850745077042,1730.3925016666662
128,128,1311.4869750270354,2222199,255516,64290816,61224648,0.4100356630839861,0.062189010859072885,0.2623131657038131,128,0,1,1,6596.6666104000005,0.9239663986935366,0.04172739585157833,1730.3925016666662
128,1536,362.0831113262498,1881525,189172,76615680,63081328,1.3565127455049253,0.2454482536298051,1,128,0,1,1,355.97322784999994,0.8208300905503687,0.10089191282310037,1730.3925016666662
128,2048,213.40782675411538,1657959,157169,76345344,47485640,1.7735971724331023,0.29294326908924734,1,128,0,1,1,196.36998705,0.71588373466098,0.14018723435649333,1730.3925016666662
128,256,4212.411894439119,2373925,234184,64290816,61347392,0.4752290637591647,0.25247213504984484,0.36164516251595075,128,0,1,1,4784.779892058823,0.935136047365154,0.04694210525775156,1730.3925016666662
128,512,1483.338262692719,2343343,238888,64552960,61361008,0.6074431337438734,0.10771216325177847,0.8900982465138176,128,0,1,1,1944.0466358,0.9083772561309168,0.057405439332804085,1730.3925016666662
1536,1024,598.3406319949669,2341359,143932,56553472,47245064,1.0753325568543795,0.1299242773505673,1,1536,0,1,1,619.0430554500001,0.8526510047900471,0.08383387965393048,1730.3925016666662
1536,128,953.3874616342702,2495333,238584,64290816,61400832,0.6996762100748489,0.18253259898971286,0.42567861963289755,1536,0,1,1,4065.0209379999997,0.953955326867809,0.002498949629383232,1730.3925016666662
1536,1536,341.859049594408,1852044,130698,72675328,48569168,1.4155978365810273,0.24074332320145864,1,1536,0,1,1,331.76157785,0.7975754909805826,0.08593770799154411,1730.3925016666662
1536,2048,214.62667334687168,1626960,158849,62451712,47512688,1.7094781151469138,0.34457944238470806,1,1536,0,1,1,199.44928184999998,0.7569158639848668,0.13383152660401576,1730.3925016666662
1536,256,3099.538550180054,2406100,207029,54845440,46742032,0.34461074819188886,0.06454026305462592,0.309956543123759,1536,0,1,1,5582.693897111111,0.930368932526195,0.04001176199102673,1730.3925016666662
1536,512,1451.5690789601283,2220202,215733,64290816,61364968,0.5991865235260301,0.0982340612826404,0.9495432498473481,1536,0,1,1,1822.3419543499997,0.9075677896294543,0.07569773916322656,1730.3925016666662
2048,1024,560.4046710211071,1812770,177242,69144576,61912552,1.1038817958817935,0.1495582572350316,1,2048,0,1,1,568.48735325,0.8730207863388599,0.0667332185219695,1730.3925016666662
2048,128,1745.921528,2455637,203241,51175424,46670848,0.6032548115375422,0.22354062787767298,0.348742526638709,2048,0,1,1,4961.805256,0.9342329087056807,0.022255159386007195,1730.3925016666662
2048,1536,374.68847301165397,1954068,182929,80023552,61790248,1.4452825127180913,0.2141862815346903,1,2048,0,1,1,359.51450545,0.7765480612443395,0.10757613414430968,1730.3925016666662
2048,2048,224.93376990709288,1741119,177355,76353536,63214376,1.8106078950660227,0.2211941700712535,1,2048,0,1,1,183.36447174999998,0.7824290032615322,0.11802979136614732,1730.3925016666662
2048,256,3030.2132171809117,2264165,183705,64552960,61184168,0.39519940784078056,0.08824192106963022,0.4071658733685774,2048,0,1,1,4249.846597777778,0.9316723572399757,0.05338201399801885,1730.3925016666662
2048,512,1536.606226235747,2362094,164771,64552960,60903568,0.6005542865255011,0.06704319993081241,0.8735539218200243,2048,0,1,1,1980.8651285789474,0.933910228314917,0.05318704593431369,1730.3925016666662
256,1024,534.7471514077787,2017423,167423,59699200,47407552,1.0728848473914119,0.15787696391367106,1,256,0,1,1,612.65992385,0.8308297245537677,0.07876918442316971,1730.3925016666662
256,128,3458.237520026337,2526341,218625,64552960,60912912,0.39481074566797486,0.13598688269092993,0.21332554867283063,256,0,1,1,8111.510845428571,0.938641074347995,0.04027519080631205,1730.3925016666662
256,1536,389.25170804199894,1925519,171867,78974976,65049296,1.4025830288790406,0.19565886984984887,1,256,0,1,1,348.67552635,0.7958281514197734,0.08872881374509504,1730.3925016666662
256,2048,346.46175593400034,1933113,194899,82120704,62020200,1.7997172219547992,0.33646300186820927,1,256,0,1,1,223.2863582,0.7071888812357704,0.15659042246520993,1730.3925016666662
