cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,773.8437563625041,62939,7842,45797376,36549600,0.9457278805954086,0.27677705544259146,1,1024,0,1,1,391.3922589499999,0.7997837540817891,0.051369791863965016,2647.4339688907553
1024,128,0.0,2042026,113096,37011456,33924352,1.3612584257276557,0.0,1,1024,0,1,1,1583.183589,0.9165905821159805,0.0,2647.4339688907553
128,128,2459.9223918364264,2034194,154075,37011456,34391656,0.20386172538977934,0.050930475730933435,0.23220492076900878,128,0,1,1,11401.2827985,0.922603967650605,0.01021515720507901,2647.4339688907553
128,1536,340.730385229041,1469651,114632,52482048,36731360,0.8942601840714322,0.3834585796410673,1,128,0,1,1,238.88038915000007,0.7364926121749488,0.06660106634843582,2647.4339688907553
128,2048,213.46950460441076,1360046,171731,53006336,40842544,1.0919525562147894,0.24963166138452275,1,128,0,1,1,111.62371195,0.7244178188789022,0.0648518699360636,2647.4339688907553
128,256,3161.293306854602,2172656,160811,36487168,34009144,0.22654371689549663,0.02681817201724305,0.31667457248602265,128,0,1,1,8360.109080142856,0.9289466362102013,0.007331976133826351,2647.4339688907553
128,512,2008.3757210624474,173349,10972,38846464,36043872,0.36048375512431813,0.10749549834827594,1,128,0,1,1,2181.2995849411764,0.927467440474101,0.01016322529117176,2647.4339688907553
1536,1024,841.6842991259049,1913034,141525,43962368,36563344,0.7482604136794924,0.16401996840509572,1,1536,0,1,1,544.8670903499998,0.8359811471345152,0.04339224463296089,2647.4339688907553
1536,128,2085.5316563288525,1940892,213760,35962880,33180680,0.30506935514773537,0.0503278612079143,0.33646439086850694,1536,0,1,1,7868.3927355789465,0.9231343491043998,0.007265986649277206,2647.4339688907553
1536,1536,609.9164927416983,1731750,112889,52482048,35978072,0.8754210140688794,0.22383812789421986,1,1536,0,1,1,379.4395670999999,0.7561650448554919,0.05855528062883831,2647.4339688907553
1536,2048,355.37550161183714,1545168,126721,52219904,37032096,1.023982933668194,0.18140293506493782,1,1536,0,1,1,206.3776677,0.7326413518250894,0.06710331795932366,2647.4339688907553
1536,256,2722.5484656846124,2005374,157776,36225024,33528528,0.3446737890918772,0.13355409103209517,0.4735965327889573,1536,0,1,1,5590.061973850001,0.9280315364316968,0.010617928917615009,2647.4339688907553
1536,512,1667.7095997537847,2100874,160963,37535744,34723368,0.516599456374333,0.2648101233297013,1,1536,0,1,1,1556.5127171000001,0.9216201004645388,0.03382427413479286,2647.4339688907553
