cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,347.93439628760416,1473070,104484,43438080,33923208,0.28094920819801156,0.31725828671739237,1,1024,0,1,1,452.18262455,0.8056085077805468,0.06125239830822428,505.40503546666673
1024,128,556.9669843780167,1666529,147658,35962880,33005368,0.3399084857785177,0.34095865981797885,0.7891162833165154,1024,0,1,1,640.4696572,0.9308130735332576,0.010375961827636395,505.40503546666673
1024,1536,278.2074680624004,1344283,87145,52219904,39530896,0.25262428905544443,0.21851796778772062,1,1024,0,1,1,386.04417864999994,0.7145534653680625,0.0672835305109449,505.40503546666673
1024,2048,217.85848886371545,1288811,98157,51695616,35391712,0.265313584348637,0.33821678726602544,1,1024,0,1,1,426.1667745,0.6768292709769169,0.061041144022804195,505.40503546666673
1024,256,486.86275840445245,1636388,111122,35962880,32974448,0.3790905448076576,0.3256210697821358,0.9445820305129987,1024,0,1,1,535.0567967,0.9270399885019147,0.010261485738054629,505.40503546666673
1024,512,542.6362738972292,1649494,130330,36225024,33182096,0.34064790081423346,0.31529794472459194,0.8529896219556583,1024,0,1,1,592.5101812000001,0.9320015644190397,0.009387816638436944,505.40503546666673
128,1024,340.80623468482025,1443306,137758,43962368,34557824,0.35089991717844426,0.38895807800580484,1,128,0,1,1,432.75953945000003,0.8080942649018834,0.040590544152026155,505.40503546666673
128,128,575.192956240883,1874419,145317,36487168,32253512,0.34178043050905804,0.3535425429083357,0.9007458639928652,128,0,1,1,561.0961489473684,0.9261084815914028,0.015111506790993105,505.40503546666673
128,1536,209.3185679601474,1418060,121321,53268480,39202768,0.20908994195672953,0.2952670146356506,1,128,0,1,1,415.24456040000007,0.7091745886759224,0.06263910985117918,505.40503546666673
128,2048,179.99249739523393,1296034,101416,52219904,34079816,0.24854967913614784,0.33131733664226815,1,128,0,1,1,431.6965080500001,0.6987465952173323,0.06228195174925764,505.40503546666673
128,256,472.3540686285947,1691035,105469,35962880,33193712,0.3349272795397609,0.33182086623940793,0.8106010937961533,128,0,1,1,623.4941444499999,0.9353958592118413,0.009055607231298923,505.40503546666673
128,512,523.1031330775276,1674249,95063,36225024,32925248,0.3328853522113931,0.34401049107650294,0.900350803759733,128,0,1,1,561.3423493999999,0.9305144506090752,0.011878670587526669,505.40503546666673
1536,1024,361.9113768461842,1516257,74814,43438080,36861896,0.2874843441634172,0.33608312200299895,1,1536,0,1,1,499.1493735,0.7954098698497669,0.049955655228140765,505.40503546666673
1536,128,554.8901839780548,1587220,153245,36225024,32997976,0.3836244097349196,0.33653312896206417,0.8571316027973975,1536,0,1,1,589.6469501500001,0.9307480677179593,0.011744538913811697,505.40503546666673
1536,1536,230.58900382201,1435902,118782,53268480,35276848,0.22462900428809723,0.27001524088119205,1,1536,0,1,1,380.9621315999999,0.6921411341521426,0.050830222011794185,505.40503546666673
1536,2048,260.4694441509146,1474796,132993,52482048,35489000,0.24355550195012884,0.2828855145694371,1,1536,0,1,1,382.17030145,0.7064996192123769,0.05762630679162708,505.40503546666673
1536,256,361.2081404013134,1603254,123065,35962880,32519576,0.3144902742821877,0.3313963443635367,1,1536,0,1,1,422.87711025,0.9283703364612437,0.021449550265761244,505.40503546666673
1536,512,350.73226636753446,1561040,95922,36225024,32991480,0.24018303221065396,0.31475887309097683,1,1536,0,1,1,487.52821214999983,0.9286284384760964,0.009659520939158478,505.40503546666673
2048,1024,337.69378472289685,1523120,134907,43175936,35017344,0.26080197729104126,0.30286839896240636,0.9574588444814461,2048,0,1,1,527.8608457999999,0.8246213904751707,0.040303087773927875,505.40503546666673
2048,128,1020.2619558430958,1873759,257785,35962880,33140448,0.34491501956292464,0.2790249909021136,0.5234396063347172,2048,0,1,1,965.5460331052631,0.9322195136893696,0.013727620872802968,505.40503546666673
2048,1536,197.67412123200202,1377109,82771,52219904,34622760,0.2806755426765925,0.3054011048666755,1,2048,0,1,1,395.22913504999997,0.6895678267635957,0.05954880305893934,505.40503546666673
2048,2048,201.08156057714544,1286548,111460,52482048,38471704,0.26820955213106734,0.3461077560868264,1,2048,0,1,1,403.84323385,0.7112108507186412,0.06640927832760557,505.40503546666673
2048,256,388.0613810184646,1675268,142551,36749312,33207232,0.31012514090870635,0.31045862001440777,1,2048,0,1,1,477.8225708,0.9176004367064394,0.042827823543180175,505.40503546666673
2048,512,566.9364551447106,1816260,120083,36487168,33641808,0.346206094279677,0.31732586289941045,0.8587410851014086,2048,0,1,1,588.5418134,0.9288407714314024,0.012067282621829207,505.40503546666673
256,1024,283.955732048271,1425990,109117,44486656,36177728,0.29007083366941855,0.3596886626873404,1,256,0,1,1,450.3310259,0.8240931326627324,0.03854775495588476,505.40503546666673
256,128,1004.5643447416393,1790888,230516,35962880,32276456,0.3580408924179674,0.3682791924721995,0.5794562915488607,256,0,1,1,872.2056224736843,0.9235036226174796,0.012814839543799042,505.40503546666673
256,1536,201.65741199771,1340410,93518,52482048,39627624,0.27989942405477364,0.30243041032113865,1,256,0,1,1,350.5822319999999,0.7032924581867905,0.06048953816306652,505.40503546666673
256,2048,256.4989942678866,1369249,110950,52219904,34173480,0.26749257201910753,0.2537961742592259,1,256,0,1,1,410.5675633000001,0.6910143914381346,0.05402499902226656,505.40503546666673
256,256,409.5949356008059,1679179,110942,36225024,33051152,0.33092282529927475,0.36599581491716904,1,256,0,1,1,445.75207285,0.918672521683445,0.04570796655730721,505.40503546666673
256,512,582.4766692541332,1743038,100175,36225024,32989808,0.3711127222479928,0.3261197687158965,0.9156594663715617,256,0,1,1,551.9574187000001,0.9303652373288964,0.01216690626570831,505.40503546666673
512,1024,317.7100839389519,1523425,86365,42913792,33714944,0.3242255332132708,0.3726145398058153,1,512,0,1,1,471.81798875000004,0.8352146914767312,0.02785967604352265,505.40503546666673
512,128,1007.1171137515336,1773023,234254,35962880,33217264,0.3672179023763262,0.2628055032861418,0.5678538701027238,512,0,1,1,890.026575631579,0.9310059827391266,0.012651852365570258,505.40503546666673
512,1536,211.85701507988966,1375840,119834,52482048,34592288,0.2770467321068217,0.3868828744508581,1,512,0,1,1,337.1167547,0.710643450317061,0.04463751641092657,505.40503546666673
512,2048,207.82420099793347,1362055,140023,52219904,36117176,0.33722614688615327,0.3329605972416988,1,512,0,1,1,369.12914570000004,0.6782140173839885,0.05919992800352433,505.40503546666673
512,256,388.57623665593405,1508458,151363,35962880,32853408,0.28257944926868006,0.2964500280657797,1,512,0,1,1,488.07696289999996,0.932808973580795,0.010623681331850071,505.40503546666673
512,512,552.3705223392687,1825864,137894,36487168,33632616,0.3917540077247873,0.3193995178463786,0.9384482131519728,512,0,1,1,538.55399625,0.9341573067501046,0.009287107976352233,505.40503546666673
