cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,151.30523121251855,8895,212,33902592,28053120,0.12044061738513671,0.14710501932229306,0.9784728534630688,1024,0,1,1,341.53306054999996,0.6494171830692674,0.08110458162942942,334.1808283083335
1024,128,129.474002874367,11496,1095,28520448,24148552,0.033578870573224916,0.018084327709953503,0.8562025076111337,1024,0,1,1,390.30582757894734,0.8604237558609565,0.012154051816321673,334.1808283083335
1024,1536,122.87967893792764,8797,163,42422272,27792280,0.07403075317952676,0.09105208621176607,0.8979653998025331,1024,0,1,1,372.1533462,0.5077225316113984,0.0669157635538742,334.1808283083335
1024,2048,132.1081113835311,8324,62,42946560,27753152,0.06479011712738279,0.03977609532733988,1.0,1024,0,1,1,317.40114155000003,0.523086952920423,0.05166150813528619,334.1808283083335
1024,256,141.8451137373472,9314,3214,27996160,24068496,0.043318710254199415,0.027958228778157974,0.9820173360024653,1024,0,1,1,340.3003348888889,0.871408280024015,0.01404199909257941,334.1808283083335
1024,512,126.83111572371521,10611,509,28520448,24095984,0.07102867588985731,0.0577981831690783,0.9809686703955387,1024,0,1,1,340.66411945000004,0.8640069178766717,0.019466780530673324,334.1808283083335
128,1024,140.3355411262727,24270,3221,25530368,14488088,0.07620446533470929,0.061780625212437906,0.9129969384853551,128,0,1,1,366.0262310000001,0.6528690119849995,0.06730520601095763,334.1808283083335
128,128,161.3831894675922,10789,485,28258304,24419768,0.04719344520527248,0.028315710881661793,1.0,128,0,1,1,310.0490578,0.871350916726247,0.0059834727878742755,334.1808283083335
128,1536,135.9881129610152,5226,3475,42160128,27950784,0.09807666206022679,0.11595760130321137,1.0,128,0,1,1,305.32245775000007,0.4946477669568162,0.05063849416798423,334.1808283083335
128,2048,113.75213878544778,60370,4946,34574336,14597448,0.08018210162210884,0.11668486299495606,0.9519525633235706,128,0,1,1,351.047774,0.5153732294381591,0.04829646016651409,334.1808283083335
128,256,151.57051438714004,2561,7857,27996160,24571728,0.05313763384311278,0.04496947582381365,0.8099368648249273,128,0,1,1,412.60108388888887,0.8698632695006852,0.015002376065038115,334.1808283083335
128,512,132.29493066491233,5693,4077,27996160,24450760,0.12039183690256819,0.14479809871044835,0.9309973775768687,128,0,1,1,358.9492692,0.8735712615169037,0.014393287154626655,334.1808283083335
1536,1024,169.25965636677358,7165,4750,33902592,28064944,0.17013704342623368,0.26476225009915416,0.9885562707950608,1536,0,1,1,338.04937379999996,0.6677609306617326,0.0960810574359899,334.1808283083335
1536,128,173.96967145193292,9994,21,28258304,24366856,0.04572161602969803,0.025945773514910734,1.0,1536,0,1,1,316.24482045,0.8634713050368763,0.010796531834720511,334.1808283083335
1536,1536,143.47593681920299,10190,32,42684416,27848264,0.12736987751981715,0.22515840664902062,1.0,1536,0,1,1,273.45786780000003,0.5040446330246267,0.05923991248097488,334.1808283083335
1536,2048,135.47272392303472,4704,4232,42422272,27918512,0.08549437390531686,0.12766631295257572,0.9245851093369524,1536,0,1,1,361.43868739999994,0.5130031589282738,0.05399716791369689,334.1808283083335
1536,256,149.8464723361606,5504,5020,28258304,24464512,0.04077833430112204,0.03238481932206914,0.9021917829059972,1536,0,1,1,370.40996674999985,0.8676751058304628,0.014788783777092604,334.1808283083335
1536,512,146.0364831766904,10050,354,28258304,24536856,0.04946739703668588,0.037755737140350014,0.967282371852705,1536,0,1,1,345.4842536499999,0.8737264405648156,0.01585742605964262,334.1808283083335
2048,1024,147.0005685652697,8800,113,33902592,27891896,0.14258371043782617,0.16700137448318342,1.0,2048,0,1,1,281.23541535000004,0.648670791209644,0.06975025422068719,334.1808283083335
2048,128,155.0708810857802,11322,1453,27996160,24505640,0.04064011543413131,0.024064468070491753,0.9285391569215848,2048,0,1,1,359.89955384999996,0.8661013647537189,0.013456782817665448,334.1808283083335
2048,1536,137.0843295981492,18660,7712,34836480,14736592,0.10115007824456065,0.1471102016787505,1.0,2048,0,1,1,316.57692215000003,0.4977251729253499,0.050462527273754935,334.1808283083335
2048,2048,114.4427025979274,7916,33,42684416,27687864,0.06242945009914387,0.06420128369941121,1.0,2048,0,1,1,331.26176055,0.5189206265340762,0.05313434571425834,334.1808283083335
2048,256,144.45310197048562,2459,8480,28258304,24422416,0.05046143011670449,0.04142764348974803,1.0,2048,0,1,1,268.78488275000007,0.8703056989830958,0.014476782529150248,334.1808283083335
2048,512,147.52233102357556,3956,6605,28520448,24157176,0.070312083660949,0.06676321216418224,1.0,2048,0,1,1,307.48868715000003,0.8707712572529227,0.016956054980683276,334.1808283083335
256,1024,124.81692780602846,9565,368,33902592,27966600,0.10656839760674175,0.16012927860798246,0.9086998820608844,256,0,1,1,367.75709439999997,0.6540494779902823,0.0777692891181044,334.1808283083335
256,128,178.12502755553388,11577,632,28258304,24448184,0.034495709111757734,0.022567559464388074,0.7887291223904428,256,0,1,1,423.69530783333335,0.8682580252515847,0.010134970445205208,334.1808283083335
256,1536,126.5344304768731,9946,399,42684416,28005848,0.07427102941802771,0.06322369944010453,1.0,256,0,1,1,301.72907895,0.5099374373692056,0.06896148852219482,334.1808283083335
