cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,91.95929831320562,264669,54764,35762176,30284384,0.799255625038776,0.12617257007386817,1,1024,0,1,1,299.324974,0.8159901777644348,0.05742725942480335,540.1407569351854
1024,128,710.8819897484581,422486,52851,32219136,30212888,0.32736656031910083,0.23187206713140115,0.34493969100059013,1024,0,1,1,1565.8991151999999,0.9200021105281028,0.010715077839807885,540.1407569351854
1024,1536,62.884103157838204,215489,37720,69832704,55005720,1.0077417080928583,0.1797941016845527,1,1024,0,1,1,206.97881094999997,0.6896192017255606,0.1220215016857623,540.1407569351854
1024,2048,41.11315653003688,237962,45492,50049024,30273096,1.1736836003478288,0.2079702268301675,1,1024,0,1,1,143.4026075,0.7106415205218303,0.09082554873959649,540.1407569351854
1024,256,551.9780943653591,286541,24777,32743424,30043520,0.4940091083419284,0.18934278814258063,0.6339764472003437,1024,0,1,1,851.9886808421053,0.9015620235434537,0.04965406765281156,540.1407569351854
1024,512,158.5743646219932,328339,35391,31956992,29895008,0.5637614899912734,0.1866693804780621,0.93204753867436,1024,0,1,1,579.5206086842106,0.9047503760897515,0.03141297213134261,540.1407569351854
128,1024,99.61495873700073,326689,29525,36810752,30204472,0.8606296081504151,0.14101419345797192,1,128,0,1,1,297.5908905,0.8045044241470043,0.08366788687850629,540.1407569351854
128,128,1072.5215917825344,298067,98957,33005568,29636168,0.15558199210758275,0.06062433403228762,0.186627424071697,128,0,1,1,2894.219644416667,0.9097687072734052,0.010883772933747128,540.1407569351854
128,1536,56.03153786393445,341832,39417,71667712,55260256,1.29762996461517,0.11251896899266729,1,128,0,1,1,137.03339904999999,0.7527986708262325,0.08080930407501193,540.1407569351854
128,2048,36.29561910651111,298571,36187,50311168,29970944,1.5008163953122182,0.22272114213501717,1,128,0,1,1,99.8191104,0.7458378819163936,0.0878863002509155,540.1407569351854
128,256,541.3489910396515,308311,31512,32743424,29903424,0.33284509919594985,0.16944343277850263,0.40814472940166385,128,0,1,1,1323.404954235294,0.9050406787329321,0.034700107735049474,540.1407569351854
128,512,155.51797537888493,338446,33380,32743424,30150152,0.4353674339515619,0.07083883607001515,0.7349951983415606,128,0,1,1,734.8901845263157,0.89875706776496,0.055567621250431624,540.1407569351854
1536,1024,282.46025779208816,295099,38058,37072896,30398536,0.9072302536362642,0.3197298967010926,1,1536,0,1,1,374.77665755,0.7805005221716963,0.10484197981497757,540.1407569351854
1536,128,543.6266653915563,314069,71866,32743424,29782968,0.43351778978120065,0.18123497577057635,0.49554040915205105,1536,0,1,1,1090.0034527142857,0.913678800619638,0.01092657638420761,540.1407569351854
1536,1536,72.75881227510168,247871,49289,71667712,55139072,0.9959831253767844,0.15541799440739065,1,1536,0,1,1,200.5272971,0.7122853084658898,0.0902479520856305,540.1407569351854
1536,2048,73.08770669207976,388615,64360,49524736,31124480,1.1352835160442694,0.18125937697943567,1,1536,0,1,1,163.37765214999996,0.6972238173148301,0.10662182546397397,540.1407569351854
1536,256,389.3015018458586,374165,33766,32743424,29648640,0.684369821699524,0.325103438318919,0.8238602026441258,1536,0,1,1,655.6218581764706,0.8981366310671796,0.04509703985600478,540.1407569351854
1536,512,162.28933420944838,347583,29802,32743424,29859616,0.6005479212239762,0.1916558470467812,0.9349823002388647,1536,0,1,1,577.70158515,0.9086219708538168,0.02078699892324353,540.1407569351854
2048,1024,98.17795946393954,328619,50480,37859328,30888752,0.7419700659861412,0.09313897561882829,1,2048,0,1,1,347.1909224736842,0.7746934350285128,0.09041593519166669,540.1407569351854
2048,128,2076.969739218007,314682,46682,33005568,29575016,0.4115061159868675,0.3344357807484046,0.2425299395976805,2048,0,1,1,2227.1096007000006,0.9083176981172117,0.013940191891615007,540.1407569351854
2048,1536,65.53538070595306,377333,46796,51097600,30122136,1.2959483325140377,0.18692416261951375,1,2048,0,1,1,138.43213375000005,0.7292340672369797,0.131983815521338,540.1407569351854
2048,2048,34.850249697789806,303227,38770,50311168,31250000,1.5359184691962975,0.20947470747903113,1,2048,0,1,1,94.51448935000002,0.7337975444336091,0.09014992124547445,540.1407569351854
2048,256,251.00603004893964,303260,38337,32743424,29774416,0.5813769264766967,0.23539447145388212,0.7776570473689866,2048,0,1,1,694.5745026842106,0.9085482589268932,0.009789058760397757,540.1407569351854
2048,512,149.4047435707371,431131,59732,33267712,29749768,0.5708837571779929,0.19002300844590442,0.9303444004652351,2048,0,1,1,580.5815101000001,0.884182122476082,0.061662636577643426,540.1407569351854
256,1024,125.96278824994208,331214,55213,38645760,31164992,0.8439615028776863,0.10485057249403854,1,256,0,1,1,285.2774568947369,0.7885419535410524,0.10193259610962181,540.1407569351854
256,128,1050.3471611527993,406899,61834,32219136,29846040,0.16648887370593624,0.06278700769379533,0.19331209174208783,256,0,1,1,2794.1384942222226,0.9205837539250159,0.004665833707842055,540.1407569351854
256,1536,85.37662387129537,292135,46533,71405568,55142296,0.9792052407197746,0.14449380186597482,1,256,0,1,1,209.83659375000002,0.7277086357979292,0.1317966489837901,540.1407569351854
256,2048,53.85819308340689,297302,35373,50573312,29931968,1.2591758201785794,0.17271107088961127,1,256,0,1,1,155.69234180000004,0.705859143680245,0.09250743547055253,540.1407569351854
256,256,308.42769651620915,251483,56003,32481280,29834344,0.3270835978286238,0.07884362053612012,0.47530342904614664,256,0,1,1,1136.4124976315788,0.9082496104449541,0.045062392688098536,540.1407569351854
256,512,171.18782313798846,420052,61814,32743424,29714440,0.469706423238691,0.10799983978214717,0.8200187934420663,256,0,1,1,658.6931436875001,0.8991820864212449,0.04909670183451444,540.1407569351854
512,1024,107.73636753649028,398297,31749,39694336,29929976,0.8312128344853529,0.12116147738769906,1,512,0,1,1,286.73593852631575,0.7936944760386608,0.07219871226126993,540.1407569351854
512,128,683.8247252579043,309018,55154,32743424,29828504,0.3282417098179029,0.3215907460671112,0.2967063009687542,512,0,1,1,1820.4559700000002,0.9123709854738914,0.009678336665962564,540.1407569351854
512,1536,89.68652551989298,333535,36754,55808000,15634680,0.99510156563098,0.1069116181953402,1,512,0,1,1,212.83361559999997,0.6547952075939752,0.13707262429167943,540.1407569351854
512,2048,57.65016928896572,238743,28492,92758016,77391160,1.2228366968228015,0.1623552632695765,1,512,0,1,1,156.00552120000003,0.7396737111017161,0.09168124187253487,540.1407569351854
512,256,314.52535038617424,261955,51705,31956992,29650760,0.32422876460188826,0.13923070592827852,0.46513082896129987,512,0,1,1,1161.2663003684208,0.9167743078948444,0.013067460408678365,540.1407569351854
512,512,203.59268363068773,391641,46987,32481280,29645000,0.5045733420432261,0.16248467432839483,0.7508535842872477,512,0,1,1,719.3689532000001,0.8993938502381107,0.03531538855575339,540.1407569351854
