cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,125.79845806845503,343594,60848,39432192,30170344,0.8226740777778143,0.1388483063726607,1,1024,0,1,1,421.71475979999997,0.7953819068987403,0.10529730761977382,613.423377925234
1024,128,485.3866682503667,423923,55862,37199872,29837072,0.31248227092050995,0.09028510946971338,0.3460574002555461,1024,0,1,1,1772.6058667500001,0.7947177690766167,0.06532416387791665,613.423377925234
1024,1536,77.71046833441942,336040,59234,58445824,44591432,1.104289220807877,0.19005997541816164,1,1024,0,1,1,271.09142259999993,0.6399552926316006,0.141241785425548,613.423377925234
1024,2048,58.70302315700358,310270,50300,56610816,45525080,1.430931958761319,0.20261148153710934,1,1024,0,1,1,191.68578979999998,0.7701089513359128,0.09501342524345728,613.423377925234
1024,256,396.7181738285148,409610,50553,33792000,30241512,0.5175149180807107,0.16110389085481358,0.6338365715312445,1024,0,1,1,967.7942319473684,0.874961590349431,0.06258767907330776,613.423377925234
1024,512,270.0976488370856,367560,72993,32219136,29645072,0.4950809381045854,0.16164010864640307,0.6505671633652763,1024,0,1,1,942.9055330000001,0.8820174793160984,0.06305472488810819,613.423377925234
128,1024,103.9236870366506,390586,52747,39170048,31460312,0.8921474496333934,0.14413796697814946,1,128,0,1,1,413.96156384999995,0.7618481687745678,0.10452157679167884,613.423377925234
128,128,527.7535803922757,464387,64282,36937728,29637888,0.20215588571259757,0.049865165668740136,0.23964726656499905,128,0,1,1,2559.6927798,0.8628139071471107,0.044383592587908846,613.423377925234
128,1536,153.5378662241748,338956,58495,60542976,44857880,0.8778844956792936,0.24422621005415637,1,128,0,1,1,387.01928659999993,0.6445599535901078,0.12919361180704828,613.423377925234
128,2048,75.26678044054687,321671,58466,57397248,46120648,1.5446874240273594,0.2883140206202093,1,128,0,1,1,190.16965885,0.6967741171909332,0.15824888722803185,613.423377925234
128,256,752.6907262419738,448252,54623,32219136,29803280,0.32575510445840494,0.14219343676133567,0.3706785338419074,128,0,1,1,1654.8662032500004,0.9031216956127591,0.04957192701677661,613.423377925234
128,512,258.53272564219276,446539,41546,41918464,29681472,0.4726336719197146,0.0821030118531776,0.626307097271178,128,0,1,1,979.4290701764704,0.8811360527934334,0.08938400526437643,613.423377925234
1536,1024,119.44462962430718,385720,58476,43364352,30112032,0.8591308633078135,0.11521156216720833,1,1536,0,1,1,427.5654286,0.7473392950675423,0.10019657999270337,613.423377925234
1536,128,1050.5980095469265,440318,78456,35889152,29736336,0.6168696131565723,0.5031701009005297,0.40648698261377153,1536,0,1,1,1509.0849256249999,0.8850865012867873,0.0309100724101881,613.423377925234
1536,1536,70.42087659205278,458306,60255,60805120,45718832,1.044153204655427,0.13513725224701117,1,1536,0,1,1,283.6250411499999,0.6906512073970384,0.1228222303676875,613.423377925234
1536,2048,55.0777211946376,335249,58200,59494400,44603904,1.241631733662412,0.16294490097076214,1,1536,0,1,1,199.54120854999996,0.7118711273525884,0.14827322306585114,613.423377925234
1536,256,284.07218848737847,488940,36325,38510592,29998808,0.5649217838111188,0.17061716302906163,0.6981113085701296,1536,0,1,1,878.689931526316,0.8671666743398746,0.08139220074231517,613.423377925234
1536,512,178.1654594371103,406804,64214,21200896,15167072,0.6219792281530824,0.20005587011741768,0.8119608262784489,1536,0,1,1,755.4839569499999,0.882944147718165,0.06653313314136167,613.423377925234
2048,1024,104.45138700205774,431445,37586,45199360,30118096,0.8289736200395266,0.17508226039257266,1,2048,0,1,1,438.1606896000001,0.7569250516550888,0.10614664282543215,613.423377925234
2048,128,809.1518455488219,425897,92917,32481280,29606096,0.34135674746847483,0.12872732403973963,0.35388333119921267,2048,0,1,1,1733.4056844285715,0.8218322920442337,0.06866968065160926,613.423377925234
2048,1536,89.7119343794513,348304,55366,61067264,44879704,1.0573383278856539,0.1675887581328967,1,2048,0,1,1,293.21956735,0.6840009157884333,0.11470857624849205,613.423377925234
2048,2048,62.057270185698464,314292,39912,59232256,44590088,1.4025832414393768,0.22578211603141712,1,2048,0,1,1,182.38704465,0.6849886516498974,0.1538135017988359,613.423377925234
2048,256,326.38311556647625,429865,64425,38772736,30024352,0.5413717412895466,0.2797415511414998,0.6521277992204894,2048,0,1,1,940.6490240999999,0.8812650646382476,0.06505594357099831,613.423377925234
2048,512,228.14180952229833,389136,57069,32743424,29930448,0.5824346768665473,0.24481669379151239,0.7474330788126259,2048,0,1,1,820.70675665,0.8674879333369081,0.07746991856539139,613.423377925234
256,1024,96.0688035170719,522401,44211,53858304,44878936,0.7157540937880416,0.10234508898311684,1,256,0,1,1,484.2422485999999,0.7716492032030698,0.1070476834202489,613.423377925234
256,128,1296.3842685150605,420253,46451,32743424,29627352,0.3485936948551762,0.5093605763962805,0.19867487337303774,256,0,1,1,3087.5740223750004,0.8513478775873423,0.05077386265767766,613.423377925234
256,1536,86.96784278956638,393324,34117,60018688,44942184,1.1414547904016075,0.18548955103465303,1,256,0,1,1,264.74903869999997,0.6985684135764787,0.12313479147447617,613.423377925234
256,2048,60.79795694304644,375857,33080,58445824,45484320,1.4816579352032506,0.27409497214490885,1,256,0,1,1,176.66058055,0.7050309380893952,0.14651640791067622,613.423377925234
256,256,540.8576979731432,437385,51808,33792000,29855080,0.39596027750931706,0.22400919288091667,0.4242307641635451,256,0,1,1,1445.9662753,0.8973468101153894,0.04800248436052276,613.423377925234
256,512,318.88686403371827,387467,71049,46907392,44446976,0.8100848407648894,0.33096665550815507,0.8963071564233197,256,0,1,1,684.389691111111,0.86299316261957,0.08746527421953633,613.423377925234
512,1024,112.77962824193165,442206,53412,53071872,45969688,0.7766458685913366,0.13851973727780068,1,512,0,1,1,470.07433354999995,0.7816652872252788,0.09860188656472392,613.423377925234
512,128,858.2643605904831,384511,65111,35102720,29667432,0.3556097101850148,0.19981030012465084,0.3242224424815968,512,0,1,1,1891.9830880000002,0.8979672475278,0.03738755912635806,613.423377925234
512,1536,50.167060672587425,332046,43417,44806144,31719704,1.3806007089672327,0.15572937563920436,1,512,0,1,1,203.62379424999997,0.6535242354819346,0.152149478970667,613.423377925234
