cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,809.1264147186774,1921349,174315,56815616,48818112,0.8817991168408732,0.12852788600676668,1,1024,0,1,1,693.4301553000001,0.8530109109980122,0.07729899194680191,1822.9384983402063
1024,1536,363.8975288577709,1848556,151676,58773504,32821296,1.2093940342866383,0.2686218556711162,1,1024,0,1,1,283.25112335000006,0.7849751268237479,0.09147786883318462,1822.9384983402063
1024,2048,213.60310966673802,1545819,138730,93384704,47702568,1.609055625171073,0.30932746687533996,1,1024,0,1,1,135.2146696,0.7650373551277665,0.10377229728568461,1822.9384983402063
1024,256,3947.4944231703603,2453224,194324,50126848,46818888,0.5061849672572639,0.37654849946607427,0.3156630899158974,1024,0,1,1,5774.94980115,0.9296653345827115,0.04179529131431205,1822.9384983402063
1024,512,3055.566328209437,2155482,200863,51175424,47119768,0.6262100998728803,0.3575581208477529,0.6713784878582207,1024,0,1,1,2715.21731975,0.92694843787427,0.045378463811999906,1822.9384983402063
128,1024,850.1938899612691,1971468,165588,56553472,47470040,0.84690487618447,0.12381865118136819,1,128,0,1,1,770.6310509473684,0.8700322272573449,0.049668500622131594,1822.9384983402063
128,1536,361.08377253191435,1827823,96677,94171136,48766096,1.2515545248199647,0.27339224130835377,1,128,0,1,1,257.16703865000005,0.7445673079204979,0.11084609913832394,1822.9384983402063
128,2048,204.72988238451015,1449572,142638,90501120,48657840,1.5728839456408505,0.22017315654343864,1,128,0,1,1,149.3235581,0.767374260630849,0.09032569239011216,1822.9384983402063
128,256,4238.027292002943,2390507,247733,49864704,47441832,0.47534589838705577,0.30423580470017203,0.30929045246746145,128,0,1,1,5893.937183631578,0.9303974932086374,0.03885831062327988,1822.9384983402063
128,512,1967.6500340420519,2263413,283783,50913280,47283048,0.5439367002561706,0.1122392035796541,0.7941638796059305,128,0,1,1,2295.4185466666663,0.9246423556927721,0.051733316751822744,1822.9384983402063
1536,1024,844.5052725753925,2004542,218774,58650624,47254080,0.8713525608758429,0.15136114595362404,1,1536,0,1,1,729.9226179999998,0.8435916126309493,0.0762501246301248,1822.9384983402063
1536,1536,381.86344542864185,1777643,142644,94433280,49219344,1.302885421583093,0.15210306064909937,1,1536,0,1,1,253.26269019999995,0.791996803185905,0.09682536002378203,1822.9384983402063
1536,2048,214.33309101553857,1563522,138107,94171136,47376104,1.5515880801348383,0.22148124445387085,1,1536,0,1,1,131.81210794999998,0.7497326007941711,0.11706126832730489,1822.9384983402063
1536,256,3132.729356767177,1989249,178176,50388992,47729728,0.45131041160632124,0.1884734940178592,0.46166400730845086,1536,0,1,1,3948.6259909411765,0.9353161344188465,0.03170951394809316,1822.9384983402063
1536,512,1553.0259263001985,2088696,191092,49864704,47040584,0.5844177247835923,0.1342242559253276,1,1536,0,1,1,1702.9499525789472,0.9365268139222007,0.02902638802776885,1822.9384983402063
2048,1024,934.1086764772551,2331749,150725,60223488,47756632,0.796186739758349,0.09113090126947734,1,2048,0,1,1,736.5751160499999,0.8783059484633281,0.06494879159938481,1822.9384983402063
2048,1536,377.2008817494009,1905649,168915,78704640,48255152,1.2171782091385583,0.1954024273325194,1,2048,0,1,1,284.48578194999993,0.8210904311692684,0.08463731225958097,1822.9384983402063
2048,2048,222.0912493426777,1621812,139869,90501120,48065632,1.5297773942523651,0.19156337838023774,1,2048,0,1,1,139.3846169,0.7774521083156295,0.10382567089859235,1822.9384983402063
2048,256,2609.6565147219417,2093137,162775,51175424,47058200,0.48255601245439406,0.14788206758162134,0.5917848289943114,2048,0,1,1,3080.4076228823524,0.9185468000319023,0.06188715347624109,1822.9384983402063
2048,512,1552.480577274469,2023414,186343,51437568,46810216,0.6056627754199404,0.08380973783749321,1,2048,0,1,1,1498.3403897499998,0.9198359861231842,0.055741497632796275,1822.9384983402063
256,1024,710.0502457483218,2004874,174136,57864192,47389320,1.1431952664346618,0.24971763872053068,1,256,0,1,1,515.39357955,0.8424454074303938,0.07998103698556411,1822.9384983402063
256,1536,362.97610104461177,1671384,121098,78704640,48672560,1.1924105978476067,0.2572006312805331,1,256,0,1,1,263.9457844500001,0.7715689665248925,0.08567306491470898,1822.9384983402063
256,2048,230.72998380292847,1702452,140221,94433280,47829392,1.5831570305540603,0.3531270579833312,1,256,0,1,1,149.99149440000002,0.7502042946915176,0.1190354881305518,1822.9384983402063
