cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,811.5026851177154,1644996,134263,42389504,34222104,0.3865044247326098,0.2710070979472681,1,1024,0,1,1,692.1000544999999,0.827726241416436,0.027262768218723175,2164.649557490385
1024,128,1917.6033909048826,1890529,204121,36225024,33178008,0.36417887734725995,0.08026233350940346,0.3440243253298072,1024,0,1,1,6292.140985714285,0.9200269898596246,0.007005886725585255,2164.649557490385
1024,1536,501.94035305004786,1768264,152391,51695616,31777296,0.3760715610728415,0.414452855991781,1,1024,0,1,1,581.4467204499999,0.684876862289867,0.044809359535904106,2164.649557490385
1024,2048,407.60625419002463,1834232,143341,53530624,31817432,0.3001821196390917,0.31528041186853656,1,1024,0,1,1,468.53210555,0.6973693762797352,0.057819500426866045,2164.649557490385
1024,256,3197.631300025977,1879954,155359,36225024,32937400,0.2610389534829622,0.0705043352977361,0.3536918036299326,1024,0,1,1,6120.157536235293,0.9224819569421789,0.01198192922189841,2164.649557490385
1024,512,1904.5334208513825,1894277,125046,35962880,33102016,0.3373114506710536,0.12179769300614995,1,1024,0,1,1,2109.7155676500006,0.8686364092565574,0.13975925660454216,2164.649557490385
128,1024,811.4907896682496,1644680,131282,42913792,35536752,0.3440591072436137,0.2514814527959765,1,128,0,1,1,847.3264648000002,0.8285069143193875,0.025506846651620323,2164.649557490385
128,128,1871.9508691622182,1876059,148731,36225024,32607016,0.26872509754520874,0.07870326958238091,0.2556827367480127,128,0,1,1,8466.154520333333,0.9157031126842239,0.008583574656668801,2164.649557490385
128,1536,419.97030792290496,1807989,121014,51957760,31807896,0.28889682693916474,0.303780552962156,1,128,0,1,1,488.39360669999996,0.6807624002241557,0.057296858729766385,2164.649557490385
128,2048,197.62780112509748,1314158,132758,51433472,32876312,0.2552757633496442,0.3220680429835707,1,128,0,1,1,373.30515155000006,0.6924004527308443,0.05432279837629041,2164.649557490385
