cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,124.7309813216791,100368,32786,40476672,28443008,0.38992123216740354,0.1708929385723672,1,1024,0,1,1,376.53473995,0.7792832935698972,0.044619203603962154,377.3525182416669
1024,128,146.02766524594335,162897,38325,37736448,33093536,0.41417978540920436,0.24030990278774805,1,1024,0,1,1,363.69507015,0.880927946070908,0.024896262058468784,377.3525182416669
1024,1536,135.8119233030047,124015,19263,56807424,36769184,0.29875161988334575,0.17710096735864755,1,1024,0,1,1,359.11293055000004,0.6519493112057239,0.04289104408440908,377.3525182416669
1024,2048,156.4301839323948,74040,13217,47161344,37309472,0.2767338085168669,0.13935231830187944,0.9467371363888486,1024,0,1,1,398.5821446500001,0.6872713106801742,0.07161345560320309,377.3525182416669
1024,256,119.80257837238449,105626,31168,36327424,32387480,0.4264164628007673,0.21895699585374845,0.9940257831486309,1024,0,1,1,379.62045315000006,0.892389732721625,0.02650025424247409,377.3525182416669
1024,512,126.14884696244502,174604,48859,49336320,45525656,0.47100928044062257,0.2649526274156187,0.97615630230349,1024,0,1,1,386.569771,0.8742492992170916,0.038933438833106675,377.3525182416669
128,1024,146.3302225893686,85806,46645,39952384,28448488,0.3197595748665803,0.20069642316511185,0.971883452901639,128,0,1,1,388.2693106,0.7627480970044701,0.058771757894301044,377.3525182416669
128,128,120.39190751449974,155957,52205,48812032,45522144,0.4498358199912773,0.24058223386191963,1,128,0,1,1,345.48610545,0.8911863703082286,0.024754340384089895,377.3525182416669
128,1536,145.72009595063327,111828,41589,66871296,47195648,0.30713017507460105,0.2236220701705674,0.9565831312043068,128,0,1,1,394.4795867000001,0.6545258195983376,0.05426114649902227,377.3525182416669
128,2048,152.96482628598372,153794,41384,66871296,47097624,0.36645417154465376,0.2159227523248927,1,128,0,1,1,317.20081585,0.6578111174869484,0.04176682623200139,377.3525182416669
128,256,143.69837695590624,166145,37560,37736448,33029304,0.3899412354098543,0.2150468830693441,1,128,0,1,1,346.57506445,0.8784113458775413,0.0221421991750057,377.3525182416669
128,512,137.19106969973316,106716,24476,51589120,47148472,0.43779972028618214,0.2271467466409035,1,128,0,1,1,342.50072860000006,0.8637220529389259,0.04891199544864281,377.3525182416669
