cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,139.24192023343053,3989,8652,30523392,24901736,0.16608631249261974,0.19535949496339544,1,1024,0,1,1,218.51382674999996,0.678748058660244,0.08439873971673369,286.8640101833333
1024,128,156.01163147690949,13443,32,24616960,21375656,0.08550378693469297,0.06762722216196311,0.8586793130634804,1024,0,1,1,334.07583695,0.862981636665331,0.01411958458724443,286.8640101833333
1024,1536,125.70329000357664,19729,8724,34574336,14879640,0.12784885001765384,0.1841320286272346,1,1024,0,1,1,228.1567469,0.5252961061068537,0.049443297123708846,286.8640101833333
1024,2048,111.93613167768602,11203,677,39043072,24619816,0.09804337092003114,0.1682984255296391,1,1024,0,1,1,257.02761539999995,0.5457066663663174,0.05821997759436011,286.8640101833333
1024,256,136.84777182263144,23481,730,25403392,20850344,0.0861777155844219,0.06554415053191376,0.9806244590597398,1024,0,1,1,292.53197544999995,0.8597906441016772,0.016656786644709175,286.8640101833333
1024,512,156.59091051041344,13328,18,25141248,20873392,0.08385316832164459,0.06915036196354572,1,1024,0,1,1,267.75038845000006,0.8654818997504137,0.01608698801457709,286.8640101833333
128,1024,146.3724524868137,7345,3265,30785536,24590680,0.10588645405252443,0.09543004270386402,1,128,0,1,1,273.31065865000005,0.6549989012163707,0.05683302435719694,286.8640101833333
128,128,142.79977193550226,12500,22,25141248,20992168,0.08015487548335201,0.06995896049529365,0.9313203210848352,128,0,1,1,308.01863084999997,0.8638931911667607,0.014833210746218116,286.8640101833333
128,1536,118.18387485329637,47563,21931,34574336,14740232,0.09590041908579111,0.11828574906201843,1,128,0,1,1,277.99364465,0.52609188976885,0.05209296091048053,286.8640101833333
128,2048,144.8668686246535,58593,8634,34312192,14760632,0.06609945951241566,0.04618888379809457,0.9192187851129907,128,0,1,1,312.07370305000006,0.5519176390712666,0.06386906138711466,286.8640101833333
128,256,123.66287886643805,25514,162,25403392,20846032,0.07195128085070512,0.057401822886508254,0.9320847819780702,128,0,1,1,307.76600555,0.8643999822949047,0.017000182060795132,286.8640101833333
128,512,154.56704825729386,14953,1244,25141248,20978896,0.13063921171785303,0.13090589924478016,1,128,0,1,1,228.5148511,0.8582804404017439,0.016790679302725067,286.8640101833333
1536,1024,116.32493041885604,13454,24,30785536,24594960,0.10531506575006702,0.06791525245952802,1,1536,0,1,1,238.60631364999995,0.6749134312132355,0.08254820402685813,286.8640101833333
1536,128,115.87627662213775,12619,194,24616960,21247528,0.09109014716575331,0.12499167119824865,0.8343394492129667,1536,0,1,1,343.82170285,0.8639209645957449,0.01605562201487641,286.8640101833333
