cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,610.9339883464621,1673760,120147,43962368,34376704,0.31466438123533885,0.3097122464225676,0.8922478909616408,1024,0,1,1,608.4243376000001,0.8339729425168377,0.026963570538598682,542.8653320333334
1024,128,650.7633548306643,1851480,192669,36487168,33419176,0.3475770986806074,0.29523351893470684,0.8653941987007323,1024,0,1,1,627.3041035499999,0.9333546734146545,0.010597325430742951,542.8653320333334
1024,1536,388.46529519560596,1574799,95745,52744192,39415416,0.3585887531867308,0.3559875842280721,1.0,1024,0,1,1,429.01815070000004,0.750746479020521,0.047054771585885655,542.8653320333334
1024,2048,245.44591477043977,1483658,114864,52744192,41033616,0.20820219475603477,0.26398247486110415,1.0,1024,0,1,1,428.13913900000006,0.7403815067283797,0.058711588381108466,542.8653320333334
1024,256,654.5899376402251,1798185,128322,36749312,33484008,0.3363101082080921,0.3352376038355116,0.9316493999611865,1024,0,1,1,582.6927297500001,0.9286574389719282,0.01082517432441634,542.8653320333334
1024,512,532.4922125216776,1502943,118392,35962880,32855344,0.34483387246643027,0.33297333849699845,0.978253701007198,1024,0,1,1,554.93307255,0.9276989467934081,0.013776213469923708,542.8653320333334
128,1024,508.2699590347611,1631491,161637,43962368,37307920,0.3416705662357803,0.31198922573635757,0.8627131666019703,128,0,1,1,629.2535608,0.851270899394731,0.025770309669763455,542.8653320333334
128,128,1029.5604827236928,1749099,202448,36225024,32857160,0.34684790393735476,0.2870547029745837,0.6335124911568595,128,0,1,1,856.9133831000001,0.9281443284806595,0.011454802270714236,542.8653320333334
128,1536,398.1886760616799,1782385,113108,52744192,41063032,0.31554670861541695,0.31590728299922527,1.0,128,0,1,1,409.81430075,0.7129043182510123,0.06929910613379055,542.8653320333334
128,2048,238.33464305215242,1456166,111125,53006336,41345296,0.20554289572849282,0.28251214351547194,1.0,128,0,1,1,396.49362585,0.7249600304753322,0.06895122045661146,542.8653320333334
128,256,400.3102368187289,1610225,105968,36225024,32982376,0.2919190328558015,0.2873107777376924,1.0,128,0,1,1,461.5444386000001,0.9309062442998342,0.010868360290507756,542.8653320333334
128,512,479.66187394161096,1620549,110130,35962880,33094392,0.30677359936018983,0.3266540701644856,0.8510130365632244,128,0,1,1,637.9048366,0.9321537432569024,0.012364032233013638,542.8653320333334
