cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,140.82264259746344,7729,753,30756864,24335840,0.08415902900044761,0.07894023215337362,0.9725005582090006,1024,0,1,1,302.24290205,0.6780965491183399,0.09497925544090888,293.9313909583333
1024,128,112.75800937553593,8591,111,24850432,21181840,0.10780078053971845,0.15063163413615827,1.0,1024,0,1,1,277.73784505000003,0.866057252313392,0.019583782612398893,293.9313909583333
1024,1536,155.3432127216484,19991,8118,34050048,14726064,0.09631552817962365,0.1203840421735222,0.9725298575455188,1024,0,1,1,302.23379639999996,0.5246777129069766,0.05413695799984451,293.9313909583333
1024,2048,154.3085784926023,51362,9392,34312192,14608160,0.09603989126738907,0.13082365231061843,1.0,1024,0,1,1,291.69747855,0.5403799675637161,0.05673419061959121,293.9313909583333
1024,256,135.79014222338358,7014,517,24588288,21091096,0.07812862365383194,0.08058445432146227,0.9888753616319883,1024,0,1,1,297.23805685,0.8645817252938022,0.017934882945265573,293.9313909583333
1024,512,130.0218489564504,6924,468,24850432,21146392,0.08973821348963265,0.10482017235150595,1.0,1024,0,1,1,292.43826685000005,0.8634741674035524,0.013011477216922009,293.9313909583333
128,1024,156.41177974446617,3406,3964,30494720,24616384,0.10774654711659346,0.13305218493059312,0.9560421555640166,128,0,1,1,307.4460569,0.682404850347313,0.097103262418028,293.9313909583333
128,128,132.10824365675396,7601,31,24850432,21179016,0.1287620878279299,0.20033393063975674,1.0,128,0,1,1,278.5030017,0.8624699872308907,0.016550567582472614,293.9313909583333
128,1536,107.05988748119262,5854,359,39276544,24727360,0.09291032813043298,0.12461452612226288,1.0,128,0,1,1,252.16375019999995,0.5800995318364375,0.10127623120106402,293.9313909583333
128,2048,118.22626918902691,55329,7207,34574336,14608832,0.06428295431900294,0.06175166137311915,0.97490725529519,128,0,1,1,301.49677249999996,0.5368201199872645,0.056120471036548415,293.9313909583333
128,256,150.72632784694616,3522,3915,25112576,20693616,0.06289458516962973,0.04136270011576017,0.8988969189204125,128,0,1,1,326.99120974999994,0.868072537471219,0.017785458487915275,293.9313909583333
128,512,140.53657538596266,551,7282,25374720,20763344,0.09154237469465136,0.08015519275952804,0.9548566874132649,128,0,1,1,307.82775555,0.8623101920525729,0.017738364184544247,293.9313909583333
1536,1024,149.59964777623264,16830,8091,25792512,14602368,0.10522436899008973,0.13867616634071855,1.0,1536,0,1,1,267.25547135,0.6697688083906684,0.08523090190567593,293.9313909583333
1536,128,142.5782464717111,8508,94,25112576,20824624,0.07879371967799767,0.07333446151168066,0.9259383117977658,1536,0,1,1,317.4416559,0.8614302133487675,0.016494015840648846,293.9313909583333
1536,1536,120.45708436602278,7707,737,39276544,24286560,0.10560316609204054,0.11316598384397039,1.0,1536,0,1,1,256.7719836,0.5196155253396147,0.0480566845849386,293.9313909583333
1536,2048,125.82149932248402,58940,2514,34312192,14608064,0.08181534765631772,0.12067662699201705,1.0,1536,0,1,1,276.5011501,0.5405228438917572,0.05669023400566097,293.9313909583333
1536,256,138.99857969443562,6894,548,25374720,20700672,0.08932609719241828,0.1242369333299143,0.9378355375950473,1536,0,1,1,313.4146438,0.8602157300726574,0.01944274967982565,293.9313909583333
1536,512,135.42183073518783,5875,3696,24588288,21046904,0.08620445970965965,0.07558974099858473,1.0,1536,0,1,1,287.1184591,0.8684074829976651,0.015541191200849134,293.9313909583333
2048,1024,144.67380977199858,6784,457,25792512,14616032,0.07907754956238394,0.08712921760166198,1.0,2048,0,1,1,292.37417655,0.6570185140865291,0.07061889155134658,293.9313909583333
2048,128,124.90084214404808,6813,24,25112576,20761024,0.09067283237217763,0.12551388971711058,0.9852773365808907,2048,0,1,1,298.32350755000004,0.8637651060595335,0.014136301174915464,293.9313909583333
