cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,120.36599732727878,9831,421,33771520,28063064,0.08735701798965306,0.12875971286265042,0.8944141627670552,1024,0,1,1,347.94128815000005,0.6681844861932804,0.08462737265356612,311.203615932773
1024,128,212.26438029619433,10610,418,27602944,24074352,0.040784844029229654,0.01741400545663976,0.862011561704517,1024,0,1,1,361.02023424999993,0.8675997355584952,0.01243605623120412,311.203615932773
1024,1536,143.7830313194148,8770,117,33787904,14722912,0.06607667593446938,0.04945881568870491,0.9503888782421434,1024,0,1,1,327.44871395,0.5113407017313587,0.05869210965221501,311.203615932773
1024,2048,102.33722486363921,5001,3467,42557440,27641224,0.0876727080581092,0.07610743525087736,1.0,1024,0,1,1,247.14263035000005,0.6027046547283187,0.1147487596171827,311.203615932773
1024,256,133.00803543669565,661,12493,27865088,24433816,0.039075468147117993,0.01852962794153541,0.9091085133723705,1024,0,1,1,342.31734865000004,0.8696944242541956,0.010391209305378969,311.203615932773
1024,512,130.78072009335816,10504,36,27865088,24400496,0.09175477160423011,0.07897318724550197,1.0,1024,0,1,1,301.10107555,0.8712420734634014,0.01776661470465605,311.203615932773
128,1024,106.23842403993328,8373,78,33771520,28057024,0.09127133773948319,0.09517418443027785,1.0,128,0,1,1,287.97351584999996,0.6525605587634344,0.07145186236147504,311.203615932773
128,128,168.25808462180967,7259,3759,28127232,24455584,0.051799404318386144,0.027896086523980197,1.0,128,0,1,1,296.31897738888887,0.8694944053974255,0.006827996058894496,311.203615932773
128,1536,140.18764262446982,11356,693,42029056,28539928,0.1276898945336839,0.22772345186982493,0.8827735210983797,128,0,1,1,352.5293957,0.5195877971448506,0.07296054001045331,311.203615932773
128,2048,143.09963534271344,19737,5970,34574336,14846440,0.08344174368887697,0.13084365476369839,0.8963630423816854,128,0,1,1,347.18479145000003,0.5245427457640754,0.04884518758687736,311.203615932773
128,256,162.65587658450315,4567,5972,27865088,24500968,0.05756455722113747,0.05794250688656741,0.8117757168091226,128,0,1,1,383.36157326315794,0.8744742547640869,0.00983933606909202,311.203615932773
128,512,117.52962069101422,155,9342,27865088,24417040,0.06818531285834446,0.0626203707073521,1.0,128,0,1,1,246.47730314999998,0.8769401825098282,0.012224257207473348,311.203615932773
1536,1024,124.25639233786714,11279,704,33775616,28078152,0.11829237346282384,0.13394037865996763,1.0,1536,0,1,1,243.08102280000003,0.6519821383914978,0.07112515278231137,311.203615932773
1536,128,143.32579839958774,6152,4344,27865088,24413208,0.045740040130702084,0.02540386077454464,1.0,1536,0,1,1,303.99436269999995,0.8709760089047427,0.010228179535211143,311.203615932773
1536,1536,113.38892912143194,5301,4310,42029056,28289464,0.07132403653361322,0.05325141937250257,0.9950721091897643,1536,0,1,1,312.7447881000001,0.5372186953628703,0.10226796439398184,311.203615932773
1536,2048,142.75787294306267,25765,4316,34312192,14845960,0.08221302167721808,0.0781663176781529,0.9808717650302486,1536,0,1,1,317.27247845,0.5263539245845597,0.06297710061645069,311.203615932773
1536,256,114.8231547722009,10071,404,28127232,24226872,0.03197455965704289,0.017547946542468596,0.9898013186958108,1536,0,1,1,314.41018521052627,0.8696316830492322,0.013889116974391241,311.203615932773
1536,512,116.23659292886093,10193,31,28389376,24128952,0.05234629773710806,0.045629558713994725,0.9373119902836385,1536,0,1,1,332.01710760000003,0.8755712241793777,0.011905587032464745,311.203615932773
2048,1024,133.6261996241899,9564,30,33775616,27903112,0.12038598910745002,0.1364242135654625,1.0,2048,0,1,1,288.7776608,0.6693209788481866,0.08804328818493402,311.203615932773
2048,128,139.87438934423514,13163,230,28651520,24077752,0.03536710771846437,0.020651266205952545,0.7992812605664228,2048,0,1,1,389.35432529999997,0.8642021958988476,0.013350273591392207,311.203615932773
2048,1536,120.60444574021982,10488,455,41771008,28555912,0.08013746112555561,0.07511462892207334,0.9650260647147683,2048,0,1,1,322.48208345,0.5162945448710635,0.07524294927992665,311.203615932773
2048,2048,142.43460058905765,2437,4708,42553344,27535440,0.07307817635780914,0.04299329887953254,1.0,2048,0,1,1,287.06862390000003,0.5256759696573654,0.05183223599874567,311.203615932773
2048,256,130.20129309990116,4243,8119,28389376,24116072,0.04236478821956852,0.02398493677507457,1.0,2048,0,1,1,291.7035507368421,0.8701328768754785,0.01478646068406586,311.203615932773
2048,512,132.7152788519367,13068,257,27865088,24511512,0.06847789235713517,0.10029238716987456,1.0,2048,0,1,1,286.86044815,0.8805242045655183,0.011902720585395455,311.203615932773
256,1024,152.5235144408691,8399,87,33771520,27876912,0.10222969865605272,0.06621945598934885,1.0,256,0,1,1,268.24312724999993,0.6516637924804405,0.06924681714645589,311.203615932773
256,128,149.3287784350692,8566,131,28389376,24126312,0.0447961851650319,0.024064893964374025,1.0,256,0,1,1,307.64510926315785,0.8691135310808084,0.009245106018138709,311.203615932773
