cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,129.97604031291485,134623,3211,33742848,28171016,0.21287514125857174,0.14622412155852482,1,1024,0,1,1,349.1659704999999,0.6620127778944565,0.0569509155853021,406.60058265517233
1024,128,149.89235730142173,30308,4470,27574272,24346304,0.17893856278611098,0.06742993040888086,0.7722228400616609,1024,0,1,1,526.53270735,0.8709376759964291,0.011769444348313875,406.60058265517233
1024,1536,142.52408785541155,42913,1689,42262528,27927088,0.2377933154584305,0.1820549396198966,1,1024,0,1,1,330.18208165,0.5636421483841649,0.09825733428656472,406.60058265517233
1024,2048,144.55792690667747,46645,25,42262528,28151712,0.19235059638198865,0.170451672578948,1,1024,0,1,1,345.76804875000005,0.6433331090866031,0.12207607323776443,406.60058265517233
1024,256,185.1109345956921,25218,35,28360704,24518648,0.14918310891376763,0.06127303239469088,0.8026793462884123,1024,0,1,1,506.5541857222222,0.8684609174567935,0.009435809221853447,406.60058265517233
1024,512,158.8677634045001,101554,38,28098560,24085136,0.2212476036146663,0.12565309837065042,0.9696354644399618,1024,0,1,1,419.33344804999996,0.8782256296852932,0.017203154180901042,406.60058265517233
128,1024,146.6335418595511,22605,7708,33742848,28370392,0.19631176365137432,0.12555293393633554,1,128,0,1,1,386.84853295000005,0.6680599755364108,0.06804634325401203,406.60058265517233
128,128,218.15672788743046,51846,4147,27836416,24375584,0.16444608604739971,0.09242193584476173,0.7840937655839351,128,0,1,1,518.5611727857143,0.8680785264100707,0.013377733916447778,406.60058265517233
128,1536,156.77493056571603,77181,372,42000384,28072192,0.20510041473400636,0.14631831564967013,1,128,0,1,1,335.2559176,0.5233884472778778,0.06636945124603248,406.60058265517233
128,2048,115.1182347421924,55557,10980,34574336,15163256,0.17401875903984623,0.15123027646148682,1,128,0,1,1,321.7561203,0.598559869901097,0.10460824751103931,406.60058265517233
128,256,132.87375210081603,57995,4950,27836416,24699600,0.16180359779378503,0.07287724816359893,0.7822058243030169,128,0,1,1,519.8127782,0.870690400874276,0.014673896598521861,406.60058265517233
128,512,130.888921621506,44988,179,27574272,24438224,0.20342891635723065,0.09045200522651105,1,128,0,1,1,398.40445905,0.879220890388346,0.015471141948118628,406.60058265517233
1536,1024,125.56173941947073,129338,310,33742848,28230224,0.2659289312864638,0.19733375544965592,1,1536,0,1,1,308.0358188000001,0.6767752620916728,0.08523296581033737,406.60058265517233
1536,128,173.9089677632218,103186,2191,28360704,24347368,0.18829496745849797,0.10087184336443696,0.811689606810857,1536,0,1,1,500.93111855000006,0.8683374244923338,0.013530233657294782,406.60058265517233
1536,1536,123.67864083768332,119772,634,42524672,28138152,0.1913805259663963,0.15093580916990584,1,1536,0,1,1,379.823778,0.517152998416323,0.04827100194845836,406.60058265517233
1536,2048,128.73951223247266,37187,5854,34574336,15173264,0.16367281273051915,0.10894789518283414,1,1536,0,1,1,339.70550130000004,0.5413443775174742,0.05104002403654324,406.60058265517233
1536,256,213.54647381397814,116127,6543,28360704,24436120,0.14179827194029518,0.057433917221815296,0.8170062388246545,1536,0,1,1,497.6713314210526,0.8740542386410377,0.015279819645160033,406.60058265517233
1536,512,151.2253569647555,64100,1142,27836416,23860640,0.2050561386719178,0.13992831397798763,0.9684150912085272,1536,0,1,1,419.86188189999996,0.8740922496831889,0.011679003593062552,406.60058265517233
2048,1024,145.99102027652282,56284,856,25792512,15049616,0.20189150941833142,0.11688995001084142,1,2048,0,1,1,400.52142905,0.6695429429238827,0.06756648034702693,406.60058265517233
2048,128,124.95951855866458,49448,4217,28360704,24372040,0.20021433868825272,0.10481270031055695,1,2048,0,1,1,341.6438676000001,0.8683030293559668,0.01269345308797085,406.60058265517233
2048,1536,137.74647378849502,17893,385,42262528,28613264,0.18917643024444603,0.14941863886532009,1,2048,0,1,1,377.44199324999994,0.5311918483487593,0.08018021905068057,406.60058265517233
2048,2048,124.37365410155981,68863,23,42262528,27790512,0.23972903405795404,0.1684479776340948,1,2048,0,1,1,332.50821015,0.5351350850530276,0.056041066336411725,406.60058265517233
2048,256,182.0298542118314,93218,8114,27836416,23996184,0.1692253858588673,0.06872428508662452,0.7862697504443439,2048,0,1,1,517.1260657368423,0.8668774571158517,0.010664960855342905,406.60058265517233
2048,512,143.69275861006008,30538,8443,27836416,24361456,0.25675390723689717,0.15195572909062458,1,2048,0,1,1,370.31263579999995,0.873052383067305,0.012225495160417673,406.60058265517233
256,1024,117.45759863457474,40883,392,25792512,14988760,0.23554784545165228,0.13452075891763793,1,256,0,1,1,332.75657185,0.6642293430889528,0.0568056642564113,406.60058265517233
256,128,181.5012274355188,10440,437,28622848,24429144,0.12376942294959764,0.05634086883305167,0.6756623516411833,256,0,1,1,601.7807291875,0.8650959874192095,0.011626876621557137,406.60058265517233
256,1536,162.7996363499764,68074,4893,42524672,27870576,0.2372512209355479,0.1685673764236479,1,256,0,1,1,357.27417660000003,0.565434337658091,0.10485416544883742,406.60058265517233
256,2048,132.8727892459718,51768,4702,34574336,15163584,0.20900334880986562,0.11314813654687464,1,256,0,1,1,285.15617354999995,0.5424243371925164,0.050162569548770214,406.60058265517233
256,256,137.7379141712153,53904,4857,27574272,24377528,0.164450069157406,0.0670153801949372,0.810888643560293,256,0,1,1,501.4259181999999,0.8713845063965963,0.01342482794936213,406.60058265517233
256,512,122.81792482186589,51599,7902,27574272,24370400,0.19674140722897426,0.10151680377862611,1,256,0,1,1,400.2459558500001,0.8741504341694345,0.015247518789966018,406.60058265517233
512,1024,102.64130692255563,91579,28,33742848,28436920,0.2634371663404113,0.15347104322539457,1,512,0,1,1,335.8392089,0.672705225082644,0.07703319905895292,406.60058265517233
512,128,163.63908016780815,119543,4335,27836416,23871816,0.17293633379512136,0.08922242794432575,1,512,0,1,1,401.3569999411765,0.8633997055120947,0.01086159657801749,406.60058265517233
512,1536,151.12636996798682,97591,3339,41476096,29394392,0.1883180738983528,0.17187750062347149,1,512,0,1,1,361.8812965999999,0.5212780098059707,0.0758508090646122,406.60058265517233
512,2048,107.75897517577063,60403,4190,34574336,15167336,0.17212089299042824,0.11964834179158901,1,512,0,1,1,368.31401909999994,0.5400387894222736,0.06517781459584036,406.60058265517233
512,256,190.35035586236182,33706,2494,27836416,23892640,0.1484129307570506,0.07090849088387637,0.8624448240926943,512,0,1,1,471.4511251,0.8710479808322384,0.014061963954385023,406.60058265517233
512,512,137.07518568619523,88553,506,27574272,24365648,0.1702171699806146,0.12616765686103898,0.8569328579768608,512,0,1,1,474.48359445000006,0.8801722944255472,0.015842933777956845,406.60058265517233
