cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,192.6705182565698,6232,29,25530368,14580528,0.019462467216644422,0.019164538625290762,1,1024,0,1,1,865.9720502499998,0.6354261072408133,0.04557856086891384,897.273357483333
1024,128,231.31774932309182,8891,29,23896064,21025088,0.009314747586364216,0.001416738347020663,0.9366006666473101,1024,0,1,1,958.01059025,0.8479433587435119,0.016851677577430803,897.273357483333
1024,1536,228.84832009824478,29088,303,34312192,14698704,0.01850048274981776,0.016394764869460954,1,1024,0,1,1,836.1087225499999,0.6135702129362712,0.0921491567956348,897.273357483333
1024,2048,191.06622182041798,5941,305,34574336,14716768,0.01995509754791653,0.02752484067486765,0.9384806387387065,1024,0,1,1,956.0914955999999,0.5433319146921656,0.113099563018514,897.273357483333
1024,256,218.6102775040236,7868,736,24420352,20982520,0.013386762070349936,0.02255916036202059,1,1024,0,1,1,859.4115990999999,0.8496284156239797,0.015464660624434872,897.273357483333
1024,512,209.7449081344412,9247,175,24682496,20669760,0.021412372962502438,0.02037722137949704,0.9184488143928864,1024,0,1,1,976.9443254999999,0.857670487181978,0.01927421308891354,897.273357483333
128,1024,239.4330964867718,172,6449,25792512,14583624,0.023936923403544037,0.024924557603474062,0.883143200208661,128,0,1,1,1015.9998483499998,0.639565946850692,0.05472096780872733,897.273357483333
128,128,261.93192265484043,7953,68,24158208,20525056,0.008660119400309476,0.0018929367402824937,1,128,0,1,1,896.106628368421,0.8467566062695071,0.010757381476508492,897.273357483333
128,1536,243.86039875216272,5746,353,38060032,25468128,0.023043810890345826,0.023771043965535463,0.9379678942884648,128,0,1,1,956.6141473999999,0.5547156827054363,0.10794817115348365,897.273357483333
128,2048,245.53897517873793,5156,190,39108608,24330488,0.025735965021518276,0.029009684282797835,0.9484078513401346,128,0,1,1,946.0838564500002,0.5459854424605701,0.10737453080631128,897.273357483333
128,256,196.42391403809765,6118,512,24420352,20865944,0.02279344191051201,0.032567459070427754,0.9784721607624226,128,0,1,1,917.0147025789474,0.8507163149100073,0.011310170929157908,897.273357483333
128,512,198.30211862219292,6246,35,24420352,20992448,0.029273470072801778,0.03625265068968096,1,128,0,1,1,890.92619445,0.8596797010348339,0.01579746634126168,897.273357483333
1536,1024,265.47867147845704,5436,3660,25530368,14584504,0.023553054783771878,0.025298403885091046,0.990522690617357,1536,0,1,1,905.85845835,0.641998120526425,0.05454383019894869,897.273357483333
1536,128,224.64495443293717,6595,25,24944640,20677280,0.008871197664969922,0.0015726338160888108,0.9250659357277656,1536,0,1,1,969.9561110500002,0.8399466767065453,0.014744169840348322,897.273357483333
1536,1536,280.26560450243096,144,6199,38060032,25574384,0.029273668742411985,0.03531067177189775,0.9580408172522895,1536,0,1,1,936.5711161000002,0.5326143766498144,0.09316525673685765,897.273357483333
1536,2048,230.7068792884724,5809,852,38846464,24090040,0.02703643021639012,0.037806012719084965,1,1536,0,1,1,841.1129834999999,0.5326750576400899,0.08367752383881523,897.273357483333
1536,256,254.94385024289267,6354,294,24682496,20607128,0.017703761944760893,0.021885561831027342,0.9831017727939355,1536,0,1,1,912.69630705,0.8498121766725129,0.014624781799706174,897.273357483333
1536,512,185.66493230791212,8981,979,24158208,20521320,0.023675242969723037,0.02738433902233767,1,1536,0,1,1,817.44516885,0.8616083021987008,0.016103923203233592,897.273357483333
2048,1024,269.9276860635205,24557,3383,25792512,14566640,0.02331163128475737,0.017517079045960716,1,2048,0,1,1,876.2584786,0.6489983187785898,0.06797609794472717,897.273357483333
2048,128,205.54461564332928,6157,3258,24420352,21022920,0.009988466610623883,0.002539699458382256,1,2048,0,1,1,794.8510115500002,0.8441771512988087,0.014948797572009625,897.273357483333
2048,1536,191.36423485767645,6187,400,38584320,24543544,0.02425994103023982,0.026775886629634222,0.9741392392224754,2048,0,1,1,921.0935371000002,0.6413681857236047,0.09334685756503353,897.273357483333
2048,2048,217.35978390569213,3229,3880,39108608,24130984,0.027714465624500095,0.028439734201468298,1,2048,0,1,1,896.2066698000001,0.5624768560482801,0.13363093253175715,897.273357483333
2048,256,191.7086406812471,7462,729,24420352,20840736,0.00833664158241548,0.0019350244327269019,1,2048,0,1,1,884.1380804999999,0.849357118454852,0.0122053685726522,897.273357483333
2048,512,313.483665946016,10936,505,24944640,20601264,0.03067390255202008,0.0385277556275331,0.9840311589440182,2048,0,1,1,911.8342944,0.8580300517100575,0.01696814153926171,897.273357483333
256,1024,276.97775690823346,7219,462,25792512,14583104,0.025527277069765358,0.018446644016724904,0.9144136807819065,256,0,1,1,981.2553949500001,0.6300291300654731,0.039544136556627606,897.273357483333
256,128,245.78344514615068,8236,481,24682496,20680928,0.01001579333051097,0.007994247980645335,0.9385197848355283,256,0,1,1,956.0516165789477,0.8446012548682013,0.011102296882541433,897.273357483333
256,1536,239.8450649020952,5995,20,38846464,24309888,0.038356364514942065,0.06634331952328043,0.9485361747036829,256,0,1,1,945.95586485,0.5565560113959745,0.10217262187943606,897.273357483333
256,2048,259.24715512981373,15434,11527,34574336,14705344,0.040061652920953136,0.040312783561176554,1,256,0,1,1,860.6928266499999,0.5673482689536437,0.13999542641504795,897.273357483333
256,256,245.1587471845171,1418,4196,24420352,20853096,0.020916860255253758,0.024762705749037994,0.8526044964309555,256,0,1,1,1052.3910690588234,0.8515156721991385,0.014083877855306669,897.273357483333
256,512,249.67180154575266,5935,353,24682496,20990800,0.02706442737208271,0.03171012261913168,0.9937111972719872,256,0,1,1,902.9518435,0.86336588616545,0.020013000384513053,897.273357483333
512,1024,253.7022187501968,7582,30,25530368,14582576,0.02906148777717954,0.031438833901903725,1,512,0,1,1,860.9132783499999,0.6396293782672797,0.05678909768998593,897.273357483333
512,128,231.07229036479956,4815,4225,24158208,21016880,0.010090371271091057,0.005996571561582617,0.9684392664401472,512,0,1,1,926.5148456666668,0.8484602261328096,0.010111391761041044,897.273357483333
512,1536,291.3671577242063,23302,23,34574336,14702424,0.0353144486394732,0.049706432191728045,1,512,0,1,1,826.11618725,0.4997163203675041,0.05215386756517794,897.273357483333
512,2048,171.72453841531197,5188,1153,39108608,24092344,0.029966238410787355,0.029057127780856475,0.938476803572658,512,0,1,1,956.09540275,0.5761236474537661,0.14315048939573208,897.273357483333
512,256,231.2354616083062,8817,699,24682496,20904688,0.025304416426958368,0.050826115680515094,0.9378833221322804,512,0,1,1,956.7004085789472,0.8450912430447887,0.01627990003947516,897.273357483333
512,512,235.77798580760842,4416,4674,24944640,20674432,0.04329320183649806,0.041275560216113116,1,512,0,1,1,846.8466717500002,0.8551723118083754,0.01737726231938286,897.273357483333
