cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,112.96055467361934,333312,51809,39956480,30142296,0.9849371461991441,0.15031660394220145,1,1024,0,1,1,308.94977665000005,0.7765156743853163,0.10618232421307189,313.5776217017542
1024,128,317.9742380345862,352944,66491,33005568,30165296,0.8680285349772996,0.23233127117279023,0.6208697606120331,1024,0,1,1,505.06183678947355,0.9089362235006776,0.018296908509633072,313.5776217017542
1024,1536,78.9332604995337,263215,29520,48738304,30768336,1.3662362452152732,0.17907357108477243,1,1024,0,1,1,174.44858345,0.7358709617887782,0.08031365479322389,313.5776217017542
1024,2048,44.696946460760486,238572,45581,43757568,30845024,1.5999076695641286,0.16466381018629642,1,1024,0,1,1,140.2884775,0.6705670941461219,0.10514373411337044,313.5776217017542
1024,256,62.421931435566016,216455,57145,32743424,30185432,1.422356680795516,0.17881131869710032,1,1024,0,1,1,244.99027185000006,0.9112900906184764,0.018308647137108617,313.5776217017542
1024,512,81.68691845410414,304710,57330,20938752,15794584,1.0432058239990272,0.17263069204606346,0.8678117867810757,1024,0,1,1,361.34289309999997,0.9002420703389916,0.03873170737811058,313.5776217017542
128,1024,110.89409121607073,439691,56642,39432192,31216008,0.9992095823843735,0.1604622189996662,1,128,0,1,1,307.9193567,0.7658987768029766,0.10324414287390468,313.5776217017542
128,128,442.45194357938067,417115,105151,32743424,30100472,0.6323752220661655,0.20398786351633388,0.3882446745925075,128,0,1,1,807.6804196500001,0.9168197616508553,0.010508019577144367,313.5776217017542
128,1536,103.82184734933848,341606,56938,50573312,30365784,1.0181295058245354,0.17141066155192436,1,128,0,1,1,305.39440720000005,0.6703897249929838,0.11015704547002254,313.5776217017542
128,2048,60.86853184540326,266494,67587,44544000,31137848,1.4104781930719938,0.16360737722492774,1,128,0,1,1,170.95393529999996,0.7327633251571265,0.09902655390240557,313.5776217017542
128,256,105.36333662243375,479704,48087,32743424,30128472,0.8043263384197736,0.16982630036763965,0.6135299784163174,128,0,1,1,511.10399285000005,0.9091621274861355,0.030480919399031952,313.5776217017542
128,512,126.95861613489043,342148,46899,33267712,30116352,0.8047537899535968,0.10097414417640718,0.6615924321038535,128,0,1,1,473.97401555,0.911806093669799,0.02596557465164319,313.5776217017542
