cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,78.58470590185651,129885,31670,25792512,14946776,0.7369905323146981,0.10699349360824018,1,1024,0,1,1,240.31217242105268,0.7420958147444389,0.08800684862944837,333.3413042631581
1024,128,212.56106118967176,281789,34070,29540352,25220016,0.4648788467405067,0.13023280217985767,0.6852715122880877,1024,0,1,1,486.43683311764704,0.8560198662229385,0.04116341268020449,333.3413042631581
1024,1536,62.06499639367576,122305,19680,52047872,34513512,0.9394870467664742,0.16516158221672456,1,1024,0,1,1,151.02907565,0.6252015770329272,0.06422012010236525,333.3413042631581
1024,2048,42.048713731917225,132451,44570,34836480,14993640,1.1104828735456782,0.1515861097971841,1,1024,0,1,1,115.09324545000001,0.6431146986863198,0.08611049764775014,333.3413042631581
1024,256,213.82393647708795,35816,3930,36974592,33341440,0.6610097775908799,0.269755788660057,0.8208193647588011,1024,0,1,1,406.10799230000003,0.85350947234703,0.04803039121473496,333.3413042631581
1024,512,160.57701063552142,48077,15676,32280576,28717176,0.4876217256905746,0.12150473576319179,0.9090120650276717,1024,0,1,1,366.7072386470588,0.8716347207152131,0.040903575874635605,333.3413042631581
128,1024,105.10409302097173,200256,45831,48959488,37979560,0.725329632257167,0.14249845867354385,1,128,0,1,1,269.90279545000004,0.7636583580523215,0.06349659570456345,333.3413042631581
128,128,235.4196969452994,196213,46914,18317312,14708656,0.3642890190246462,0.15280335502173972,0.6075032929052299,128,0,1,1,548.7069916428571,0.8660170266844401,0.041623791331423105,333.3413042631581
128,1536,70.40271322393785,88587,35771,51523584,34497232,0.8847687793503609,0.19126912122822784,1,128,0,1,1,181.6100159411765,0.6598634554011489,0.07570077923706563,333.3413042631581
128,2048,45.16155881591234,143207,53292,52584448,35807640,0.9866328884198978,0.17051555330229315,1,128,0,1,1,139.5517845,0.6683078521127997,0.061769157113266894,333.3413042631581
128,256,273.71365945486605,307666,27122,29278208,25063816,0.3179032528890549,0.09991226869879809,0.4397120476287753,128,0,1,1,758.0899956250001,0.8728192067445258,0.03387068981186565,333.3413042631581
128,512,247.7921937072076,51614,2372,32153600,28897672,0.431213245837315,0.14818845365560768,0.7282171017230685,128,0,1,1,457.7498983125,0.8769240845669306,0.037045931890093066,333.3413042631581
1536,1024,82.34567062423235,224281,14289,25530368,14872864,0.7567828043221001,0.12759238354156788,1,1536,0,1,1,258.66403069999996,0.7437033760808129,0.07964558079726591,333.3413042631581
1536,128,262.1619719233938,106193,9444,32018432,28703576,0.6106605444828734,0.20700898746171617,0.7290161975572419,1536,0,1,1,457.2481453500001,0.8527876238295728,0.05340364910908114,333.3413042631581
1536,1536,62.10445392125627,83722,14100,42205184,27812040,0.9309498753671992,0.10127045704595432,1,1536,0,1,1,149.77234504999996,0.6210504469757157,0.06737872374809095,333.3413042631581
1536,2048,50.67010085316473,169565,24371,52047872,34513552,1.0715351693761852,0.16675209952131906,1,1536,0,1,1,115.85785524999999,0.6797400230930484,0.05962195110577397,333.3413042631581
1536,256,335.4133834733723,127269,40218,18841600,14865496,0.4493899391374494,0.25203657124684664,0.5761119161097696,1536,0,1,1,578.6051198421052,0.8689162705402846,0.040335692285977824,333.3413042631581
1536,512,164.39154732455512,206352,28446,18841600,14846840,0.43788091770848775,0.11734155774484062,0.6778385768675395,1536,0,1,1,491.77092546666665,0.871091779933939,0.04459310398981971,333.3413042631581
2048,1024,102.52389616211536,280980,51803,26054656,14811976,0.7860016736205697,0.1464405835289855,1,2048,0,1,1,234.93239915000004,0.7442783008246174,0.06827391457487088,333.3413042631581
2048,128,225.85937323536373,186390,41710,25800704,21560480,0.38365493007892026,0.1392805233013571,0.5708337196158936,2048,0,1,1,583.95517435,0.8569492630975442,0.038569101829076406,333.3413042631581
2048,1536,48.516937288748814,142361,15302,44048384,27916920,0.8762815684637146,0.12265705860582729,1,2048,0,1,1,161.15661515000002,0.656708832605952,0.07441419320152806,333.3413042631581
2048,2048,42.721119804718064,176993,39256,52322304,33176136,1.0984474920688325,0.1525040201603871,1,2048,0,1,1,137.55771415,0.697169361807324,0.062924158023471,333.3413042631581
2048,256,338.140551854795,172220,41325,25538560,21565008,0.4193194669576399,0.27362410455524755,0.5218318824081396,2048,0,1,1,638.7906057499997,0.8615730808867372,0.037568742786332605,333.3413042631581
2048,512,246.45110829641015,233600,64533,28753920,24949312,0.4867014613947324,0.1811930335602599,0.6746262875426094,2048,0,1,1,494.11253373684207,0.8863395703535524,0.029557023213204383,333.3413042631581
256,1024,96.93177090573877,260538,42531,25792512,14922304,0.7564059535153652,0.140632658385183,1,256,0,1,1,232.4657014,0.7480704749923929,0.07036630617711137,333.3413042631581
256,128,562.8299638345926,127587,22237,18841600,14863328,0.4055881840483569,0.2709903218367118,0.3763923223394527,256,0,1,1,885.6219547499999,0.8294519522209843,0.048010305088479206,333.3413042631581
256,1536,59.18131262307603,51703,7954,41943040,27831248,0.9084839962623434,0.13182781299792395,1,256,0,1,1,155.49539220000003,0.6701801986401325,0.056300966780738336,333.3413042631581
256,2048,47.4054146256858,124382,12756,51785728,34502856,1.031793737107002,0.20081546058444916,1,256,0,1,1,126.90615595000001,0.6424379469971508,0.0653444626607615,333.3413042631581
256,256,364.8807051930812,261369,39025,37212160,33450008,0.34762057933374246,0.21553682268635574,0.4114853189603512,256,0,1,1,810.0928244666667,0.8540315033012198,0.042239897034956175,333.3413042631581
256,512,182.99546476707587,178815,35371,30703616,26463928,0.5147071138304102,0.2038892898834394,0.7329339944211692,256,0,1,1,454.8039889,0.8797004781967981,0.028544048050278024,333.3413042631581
512,1024,79.73514648581889,58399,11690,31547392,21988160,0.7612276285254514,0.13575560196094547,1,512,0,1,1,200.0680085789474,0.761467320016871,0.0609296744274113,333.3413042631581
512,128,157.16247474155207,227904,34080,25538560,21620624,0.47432295746374614,0.09942249005179984,0.6730542749674746,512,0,1,1,495.2666027999999,0.8746940969605322,0.04015217806064005,333.3413042631581
512,1536,79.18207553524057,84406,13746,44310528,28476864,0.8939648745237353,0.1469575494624518,1,512,0,1,1,161.35828450000002,0.6816487105673773,0.07498705054137737,333.3413042631581
512,2048,42.20511607868238,176121,56494,67133440,47598344,1.0386995908078474,0.12704889244557838,1,512,0,1,1,128.4235183,0.6646228706984498,0.04653632858664546,333.3413042631581
512,256,84.76246175864888,221125,28559,45182976,40739392,0.9333951975375421,0.1236869932551205,1,512,0,1,1,201.65316434999997,0.8704421872017931,0.03814676149435371,333.3413042631581
512,512,80.74009862666115,132074,34747,30965760,26458320,0.9670448846265962,0.1488141870943361,1,512,0,1,1,208.33335054999998,0.8805466406441489,0.03285058458833062,333.3413042631581
