cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,50.24190792515273,179625,51484,44687360,33156056,0.9640080404390661,0.17785592182523285,0.927995853827572,1024,0,1,1,123.06121100000003,0.7739053245291219,0.03959961502614406,114.20029357500002
1024,128,105.56718007449365,86385,16561,41672704,38119584,0.7505375182088733,0.14739785241597905,0.6601246104890776,1024,0,1,1,172.99808514999998,0.8833524903521901,0.023085292003900314,114.20029357500002
1024,1536,38.64062918184885,44239,24130,45641728,25755672,1.0212284168427135,0.1556992965881759,1.0,1024,0,1,1,73.13935054999999,0.6575748875262885,0.055114322354778957,114.20029357500002
1024,2048,24.78873695030115,23248,11860,59256832,42443416,1.1811329361079186,0.2401103905372695,1.0,1024,0,1,1,72.57445915000002,0.692626551979611,0.06051583281225319,114.20029357500002
1024,256,43.84758048110451,47883,6472,52879360,48588528,1.263967491927474,0.18139094708477643,1.0,1024,0,1,1,107.73214845000003,0.8794514771526301,0.04919062087904756,114.20029357500002
1024,512,61.51319320984277,92597,31713,36851712,32184880,1.0406579277831027,0.2318690576221286,0.9252979334910513,1024,0,1,1,123.42002445,0.8739493971032279,0.03182691732474323,114.20029357500002
128,1024,92.08311909786819,117845,26840,48959488,37510992,0.8286193595658464,0.19913503937495974,0.8674086320134202,128,0,1,1,131.65685625,0.7609376884471537,0.05657024457657911,114.20029357500002
128,128,92.26497703493396,32967,8181,33124352,28574096,0.7172113698936229,0.20324534810199002,0.7500585302761538,128,0,1,1,152.25517604999996,0.8746701170764748,0.03262172928074497,114.20029357500002
128,1536,34.78652614081103,118305,13137,60792832,43093976,1.0655877274352372,0.14390376650938652,1.0,128,0,1,1,66.77530355,0.6643147670742853,0.06224804063506467,114.20029357500002
128,2048,26.5572848296012,88495,35351,61317120,43146920,1.1550159601166332,0.2100107385822839,1.0,128,0,1,1,65.02245485000002,0.6842103660458386,0.05927845038310866,114.20029357500002
128,256,76.77027659053356,101995,21009,27320320,23209472,0.9196803793832146,0.1503976562164372,0.6908898894141254,128,0,1,1,165.29449240000002,0.8809489049740076,0.01879865854203124,114.20029357500002
128,512,56.58092757951018,192223,29265,37736448,33794680,0.9799222950654054,0.19818069169333022,1.0,128,0,1,1,104.19747835000001,0.8817264922876914,0.023256812537403273,114.20029357500002
1536,1024,67.59224162509864,94721,40959,25792512,14488576,0.8734223180431234,0.13431961926044336,0.9283960447139329,1536,0,1,1,123.0081647,0.7336526691878613,0.07987122421123422,114.20029357500002
1536,128,129.49580144213812,169722,44723,37212160,33767504,0.6111273397463456,0.08772251523201502,0.42075709295927677,1536,0,1,1,271.41620542105267,0.8748490591984325,0.03724863104784011,114.20029357500002
1536,1536,43.8676962964495,121887,24381,52060160,34872104,0.8414830061988632,0.19488512724485357,1.0,1536,0,1,1,97.60158090000002,0.6699248573223954,0.059086208566063295,114.20029357500002
1536,2048,31.36212308215247,143430,15249,66609152,47245176,1.0041525770388169,0.200941237642514,1.0,1536,0,1,1,61.660711400000004,0.6694769558537961,0.046814786498913574,114.20029357500002
1536,256,65.65450985651694,111243,35641,30703616,26038976,0.8810408536892771,0.21029063410790902,0.9772825594319533,1536,0,1,1,116.8549387,0.8752115312098763,0.03533297625011718,114.20029357500002
1536,512,77.5403014751796,110693,19845,36851712,32689600,0.9833810159058867,0.16217211745122712,0.7796963611482761,1536,0,1,1,146.46764979999998,0.8844959581861846,0.03219294384107549,114.20029357500002
2048,1024,69.28647262057181,187279,38168,25530368,14490376,0.8854137888589195,0.15347689512381804,0.7814558679183294,2048,0,1,1,146.13786685,0.7537775288639292,0.0765617741867276,114.20029357500002
2048,128,54.63065801503024,106785,34408,30441472,25981664,0.7744485005387284,0.1902171403394982,0.7883373061260793,2048,0,1,1,144.86222165,0.8725720475327099,0.034647455890300854,114.20029357500002
2048,1536,27.56841498192743,25777,5487,42467328,27996072,1.0844883193838233,0.19701247573665873,1.0,2048,0,1,1,76.58121179999999,0.6678105014829868,0.05349644803682979,114.20029357500002
2048,2048,21.735114366923796,47480,13901,48242688,28431920,1.143488878237819,0.18160755113992935,1.0,2048,0,1,1,58.40410539999999,0.6440550020214509,0.04609879317635796,114.20029357500002
2048,256,69.99764957854359,66543,20354,42323968,38539768,1.0269703819684461,0.14842265604926064,0.8182702784464067,2048,0,1,1,139.5630473,0.8765705742581276,0.03756367378287643,114.20029357500002
2048,512,83.32528352645869,99482,41411,36327424,33004896,0.7580298360445628,0.16796663013155835,0.6878562155069041,2048,0,1,1,166.0234959,0.8937376476060296,0.015346843332195506,114.20029357500002
256,1024,58.802593635645806,48489,12787,41066496,29970280,0.7574369093383891,0.16767814759472047,1.0,256,0,1,1,112.63749733333334,0.7606477168170983,0.04838133892204005,114.20029357500002
256,128,122.29141912747929,191522,29640,37474304,33927880,0.6072905348967297,0.13717196572321774,0.514207627886733,256,0,1,1,222.08984733333335,0.8697807860236264,0.03741493679556017,114.20029357500002
256,1536,47.494262424388204,123433,52815,64806912,44941832,0.9133868118569632,0.17229678854940328,1.0,256,0,1,1,110.37978110000002,0.6567444883756601,0.0664602740097439,114.20029357500002
256,2048,33.8615678739871,85663,26315,51523584,34037600,0.9849319231784459,0.23292808855408284,1.0,256,0,1,1,75.96356320000001,0.6456162387332074,0.03967713891371684,114.20029357500002
256,256,73.72986958061597,154333,45120,37474304,33371296,0.9014122839762806,0.16265185276769684,0.742709239748651,256,0,1,1,153.76177845,0.8711335306326701,0.04836632758571862,114.20029357500002
256,512,70.12694721314465,172569,27455,37474304,33320496,0.9113280921292171,0.21802523095053647,0.7755792809763892,256,0,1,1,147.24515775000003,0.8860738131810043,0.01856496294069132,114.20029357500002
512,1024,53.80442744294756,104698,23409,40214528,30371632,0.9930395316430192,0.17253304744056333,0.8981850281010995,512,0,1,1,127.14562145000002,0.7640014896831273,0.07383169170030827,114.20029357500002
512,128,107.41024241126242,57230,19994,37662720,34107200,0.787013884019828,0.17092825365983694,0.7439026637322665,512,0,1,1,153.51510236842108,0.8814068912167696,0.01840117690699464,114.20029357500002
512,1536,37.290477409597116,106453,47692,66871296,47412608,1.055029656579548,0.22856600662510485,1.0,512,0,1,1,70.01208820000001,0.6566313311205152,0.034119459645680215,114.20029357500002
512,2048,22.121733819715356,37524,23992,52047872,34163760,1.0960180130133734,0.1431888503472586,1.0,512,0,1,1,57.87468289999998,0.6597775639635446,0.04212696051819508,114.20029357500002
512,256,62.18186257919672,105179,11636,27844608,23264256,0.9392299213360455,0.17814380921755033,1.0,512,0,1,1,106.47320495,0.8832683392239804,0.02406878187169107,114.20029357500002
512,512,60.06763128215349,59252,30234,41934848,38081320,0.967356886260499,0.20280212716850643,1.0,512,0,1,1,113.22389854999999,0.8796384887290325,0.030691210372616465,114.20029357500002
